Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,missed,Centre,1186.0,616.0
offensive rebound,,Centre,,
foul,,cetre college,1175.0,19.0
free throw,missed,Centre,1172.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,1172.0,30.0
jumper,missed,cetre college,1156.0,11.0
defensive rebound,,Centre,,
layup,missed,Centre,1134.0,8.0
jumper,missed,cetre college,1120.0,16.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1106.0,16.0
defensive rebound,,cetre college,,
foul,,Centre,1088.0,12.0
free throw,good,cetre college,1088.0,30.0
free throw,good,cetre college,1088.0,30.0
subbing in,,Centre,1088.0,30.0
subbing out,,Centre,1088.0,30.0
turnover,,Centre,1063.0,5.0
subbing in,,cetre college,1049.0,16.0
subbing in,,cetre college,1049.0,16.0
subbing out,,cetre college,1049.0,16.0
subbing out,,cetre college,1049.0,16.0
three pointer,missed,cetre college,1045.0,12.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1035.0,20.0
defensive rebound,,cetre college,,
three pointer,good,cetre college,1009.0,4.0
assist,,cetre college,,
jumper,good,Centre,990.0,11.0
assist,,Centre,,
jumper,missed,cetre college,968.0,8.0
defensive rebound,,Centre,,
jumper,missed,Centre,953.0,15.0
offensive rebound,,Centre,,
turnover,,cetre college,915.0,22.0
turnover,,Centre,912.0,27.0
jumper,good,cetre college,900.0,18.0
assist,,cetre college,,
subbing in,,cetre college,897.0,27.0
subbing in,,cetre college,897.0,27.0
subbing out,,cetre college,897.0,27.0
subbing out,,cetre college,897.0,27.0
subbing in,,Centre,897.0,27.0
subbing out,,Centre,897.0,27.0
foul,,cetre college,886.0,16.0
subbing in,,cetre college,886.0,30.0
subbing out,,cetre college,886.0,30.0
subbing in,,Centre,886.0,30.0
subbing out,,Centre,886.0,30.0
layup,missed,Centre,882.0,26.0
block,,cetre college,882.0,30.0
defensive rebound,,cetre college,,
three pointer,good,cetre college,863.0,11.0
assist,,cetre college,,
layup,missed,Centre,843.0,10.0
defensive rebound,,cetre college,,
jumper,good,cetre college,835.0,22.0
timeout,,Centre,831.0,26.0
timeout,,Centre,831.0,26.0
layup,missed,Centre,807.0,2.0
defensive rebound,,cetre college,,
layup,good,cetre college,795.0,18.0
assist,,cetre college,,
turnover,,Centre,780.0,15.0
subbing in,,cetre college,780.0,30.0
subbing out,,cetre college,780.0,30.0
subbing in,,Centre,780.0,30.0
subbing in,,Centre,780.0,30.0
subbing in,,Centre,780.0,30.0
subbing out,,Centre,780.0,30.0
subbing out,,Centre,780.0,30.0
subbing out,,Centre,780.0,30.0
jumper,good,cetre college,773.0,23.0
assist,,cetre college,,
three pointer,good,Centre,756.0,13.0
assist,,Centre,,
turnover,,cetre college,748.0,22.0
subbing in,,cetre college,748.0,30.0
subbing out,,cetre college,748.0,30.0
three pointer,missed,Centre,741.0,23.0
defensive rebound,,cetre college,,
layup,good,cetre college,728.0,17.0
assist,,cetre college,,
foul,,cetre college,711.0,13.0
subbing in,,cetre college,711.0,30.0
subbing out,,cetre college,711.0,30.0
jumper,missed,Centre,698.0,17.0
defensive rebound,,cetre college,,
jumper,missed,cetre college,690.0,22.0
defensive rebound,,Centre,,
jumper,missed,Centre,657.0,27.0
defensive rebound,,cetre college,,
layup,good,cetre college,650.0,23.0
layup,good,Centre,630.0,10.0
jumper,good,cetre college,608.0,8.0
assist,,cetre college,,
turnover,,Centre,577.0,29.0
steal,,cetre college,575.0,28.0
jumper,missed,cetre college,568.0,23.0
defensive rebound,,Centre,,
jumper,good,Centre,559.0,21.0
timeout,,Centre,555.0,26.0
subbing in,,cetre college,555.0,26.0
subbing in,,cetre college,555.0,26.0
subbing in,,cetre college,555.0,26.0
subbing out,,cetre college,555.0,26.0
subbing out,,cetre college,555.0,26.0
subbing out,,cetre college,555.0,26.0
subbing in,,Centre,555.0,26.0
subbing in,,Centre,555.0,26.0
subbing out,,Centre,555.0,26.0
subbing out,,Centre,555.0,26.0
turnover,,cetre college,532.0,3.0
steal,,Centre,529.0,27.0
jumper,missed,Centre,517.0,18.0
defensive rebound,,cetre college,,
foul,,Centre,514.0,27.0
subbing in,,Centre,514.0,30.0
subbing out,,Centre,514.0,30.0
jumper,missed,cetre college,493.0,9.0
defensive rebound,,Centre,,
foul,,cetre college,484.0,21.0
subbing in,,cetre college,480.0,26.0
subbing out,,cetre college,480.0,26.0
foul,,cetre college,466.0,12.0
subbing in,,cetre college,466.0,30.0
subbing out,,cetre college,466.0,30.0
jumper,good,Centre,457.0,21.0
assist,,Centre,,
jumper,missed,cetre college,431.0,4.0
defensive rebound,,Centre,,
foul,,cetre college,419.0,18.0
free throw,good,Centre,419.0,30.0
free throw,good,Centre,419.0,30.0
subbing in,,cetre college,419.0,30.0
subbing in,,cetre college,419.0,30.0
subbing out,,cetre college,419.0,30.0
subbing out,,cetre college,419.0,30.0
subbing in,,Centre,419.0,30.0
subbing in,,Centre,419.0,30.0
subbing out,,Centre,419.0,30.0
subbing out,,Centre,419.0,30.0
three pointer,good,cetre college,410.0,21.0
assist,,cetre college,,
turnover,,Centre,389.0,9.0
steal,,cetre college,386.0,27.0
layup,good,cetre college,381.0,25.0
turnover,,Centre,364.0,13.0
steal,,cetre college,361.0,27.0
foul,,cetre college,358.0,27.0
subbing in,,cetre college,358.0,30.0
subbing out,,cetre college,358.0,30.0
layup,good,Centre,343.0,15.0
assist,,Centre,,
layup,missed,cetre college,314.0,1.0
offensive rebound,,cetre college,,
layup,good,cetre college,307.0,23.0
turnover,,Centre,295.0,18.0
foul,,Centre,271.0,6.0
free throw,good,cetre college,271.0,30.0
free throw,good,cetre college,271.0,30.0
subbing in,,Centre,271.0,30.0
subbing in,,Centre,271.0,30.0
subbing out,,Centre,271.0,30.0
subbing out,,Centre,271.0,30.0
three pointer,good,Centre,256.0,15.0
assist,,Centre,,
layup,missed,cetre college,242.0,16.0
defensive rebound,,Centre,,
layup,good,Centre,228.0,16.0
assist,,Centre,,
jumper,missed,cetre college,208.0,10.0
defensive rebound,,Centre,,
layup,missed,Centre,193.0,15.0
defensive rebound,,cetre college,,
timeout,,Centre,189.0,26.0
subbing in,,cetre college,189.0,26.0
subbing out,,cetre college,189.0,26.0
subbing in,,Centre,189.0,26.0
subbing out,,Centre,189.0,26.0
turnover,,cetre college,177.0,14.0
three pointer,missed,Centre,157.0,10.0
defensive rebound,,cetre college,,
three pointer,missed,cetre college,137.0,10.0
defensive rebound,,Centre,,
jumper,missed,Centre,114.0,7.0
defensive rebound,,cetre college,,
jumper,good,cetre college,94.0,10.0
assist,,cetre college,,
turnover,,Centre,71.0,7.0
steal,,cetre college,69.0,28.0
three pointer,good,cetre college,63.0,24.0
assist,,cetre college,,
turnover,,Centre,33.0,0.0
steal,,cetre college,27.0,27.0
three pointer,missed,cetre college,24.0,24.0
defensive rebound,,Centre,,
foul,,cetre college,8.0,8.0
free throw,good,Centre,5.0,5.0
free throw,missed,Centre,5.0,5.0
defensive rebound,,cetre college,,
foul,,cetre college,5.0,5.0
,,,,
subbing in,,cetre college,1200.0,1197.0
subbing out,,cetre college,1200.0,1197.0
three pointer,missed,Centre,1190.0,1187.0
offensive rebound,,Centre,,
jumper,missed,Centre,1179.0,19.0
defensive rebound,,cetre college,,
jumper,good,cetre college,1158.0,9.0
assist,,cetre college,,
jumper,missed,Centre,1139.0,11.0
offensive rebound,,Centre,,
layup,good,Centre,1133.0,24.0
three pointer,missed,cetre college,1113.0,10.0
defensive rebound,,Centre,,
foul,,cetre college,1100.0,17.0
free throw,good,Centre,1100.0,30.0
free throw,good,Centre,1100.0,30.0
subbing in,,cetre college,1100.0,30.0
subbing in,,cetre college,1100.0,30.0
subbing out,,cetre college,1100.0,30.0
subbing out,,cetre college,1100.0,30.0
turnover,,cetre college,1091.0,21.0
jumper,missed,Centre,1082.0,21.0
defensive rebound,,Centre,,
subbing in,,cetre college,1076.0,24.0
subbing out,,cetre college,1076.0,24.0
turnover,,cetre college,1069.0,17.0
layup,missed,Centre,1054.0,15.0
defensive rebound,,cetre college,,
foul,,Centre,1046.0,22.0
free throw,missed,cetre college,1046.0,30.0
deadball rebound,,Centre,,
free throw,missed,cetre college,1046.0,30.0
defensive rebound,,Centre,,
three pointer,good,Centre,1029.0,13.0
assist,,Centre,,
foul,,cetre college,1029.0,30.0
timeout,,Centre,1029.0,30.0
subbing in,,cetre college,1029.0,30.0
subbing out,,cetre college,1029.0,30.0
layup,good,Centre,1012.0,13.0
foul,,cetre college,1012.0,30.0
free throw,missed,Centre,1012.0,30.0
defensive rebound,,cetre college,,
subbing in,,cetre college,1012.0,30.0
subbing out,,cetre college,1012.0,30.0
subbing in,,Centre,1012.0,30.0
subbing out,,Centre,1012.0,30.0
jumper,missed,cetre college,994.0,12.0
defensive rebound,,Centre,,
jumper,missed,Centre,972.0,8.0
defensive rebound,,cetre college,,
jumper,missed,cetre college,953.0,11.0
defensive rebound,,Centre,,
foul,,cetre college,947.0,24.0
subbing in,,Centre,947.0,30.0
subbing in,,cetre college,944.0,27.0
subbing out,,cetre college,944.0,27.0
subbing out,,Centre,944.0,27.0
turnover,,Centre,925.0,8.0
layup,good,cetre college,913.0,18.0
foul,,Centre,913.0,30.0
free throw,good,cetre college,913.0,30.0
subbing in,,Centre,913.0,30.0
subbing in,,Centre,913.0,30.0
subbing in,,Centre,913.0,30.0
subbing out,,Centre,913.0,30.0
subbing out,,Centre,913.0,30.0
subbing out,,Centre,913.0,30.0
jumper,missed,cetre college,904.0,21.0
defensive rebound,,Centre,,
jumper,good,cetre college,883.0,9.0
subbing in,,cetre college,878.0,25.0
subbing out,,cetre college,878.0,25.0
foul,,cetre college,868.0,15.0
free throw,good,Centre,868.0,30.0
free throw,good,Centre,868.0,30.0
subbing in,,cetre college,868.0,30.0
subbing in,,cetre college,868.0,30.0
subbing out,,cetre college,868.0,30.0
subbing out,,cetre college,868.0,30.0
three pointer,missed,cetre college,862.0,24.0
defensive rebound,,Centre,,
foul,,cetre college,839.0,7.0
subbing in,,cetre college,839.0,30.0
subbing out,,cetre college,839.0,30.0
three pointer,missed,Centre,810.0,1.0
defensive rebound,,cetre college,,
foul,,Centre,795.0,15.0
subbing in,,Centre,795.0,30.0
subbing in,,Centre,795.0,30.0
subbing out,,Centre,795.0,30.0
subbing out,,Centre,795.0,30.0
turnover,,cetre college,793.0,28.0
three pointer,good,Centre,780.0,17.0
assist,,Centre,,
layup,good,cetre college,751.0,1.0
three pointer,missed,Centre,731.0,10.0
defensive rebound,,cetre college,,
three pointer,missed,cetre college,715.0,14.0
