Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,missed,averett,584.0,14.0
defensive rebound,,Centre,,
layup,good,Centre,556.0,2.0
jumper,missed,averett,525.0,29.0
defensive rebound,,Centre,,
jumper,missed,Centre,507.0,12.0
defensive rebound,,averett,,
foul,,Centre,498.0,21.0
free throw,missed,averett,498.0,30.0
deadball rebound,,Centre,,
free throw,missed,averett,498.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,498.0,30.0
subbing out,,Centre,498.0,30.0
jumper,missed,Centre,486.0,18.0
defensive rebound,,averett,,
turnover,,averett,483.0,27.0
jumper,good,Centre,481.0,28.0
assist,,Centre,,
three pointer,missed,averett,463.0,12.0
offensive rebound,,averett,,
foul,,Centre,437.0,4.0
free throw,missed,averett,437.0,30.0
deadball rebound,,Centre,,
free throw,good,averett,437.0,30.0
subbing in,,Centre,437.0,30.0
subbing out,,Centre,437.0,30.0
subbing in,,averett,437.0,30.0
subbing out,,averett,437.0,30.0
three pointer,missed,Centre,413.0,6.0
defensive rebound,,averett,,
turnover,,averett,406.0,23.0
subbing in,,Centre,406.0,30.0
subbing in,,Centre,406.0,30.0
subbing in,,Centre,406.0,30.0
subbing out,,Centre,406.0,30.0
subbing out,,Centre,406.0,30.0
subbing out,,Centre,406.0,30.0
subbing in,,averett,406.0,30.0
subbing out,,averett,406.0,30.0
turnover,,Centre,395.0,19.0
layup,good,averett,372.0,7.0
assist,,averett,,
foul,,averett,358.0,16.0
free throw,missed,Centre,358.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,358.0,30.0
subbing in,,Centre,358.0,30.0
subbing out,,Centre,358.0,30.0
jumper,missed,averett,347.0,19.0
block,,Centre,347.0,30.0
defensive rebound,,Centre,,
jumper,good,Centre,336.0,19.0
assist,,Centre,,
jumper,missed,averett,311.0,5.0
offensive rebound,,averett,,
layup,good,averett,307.0,26.0
layup,good,Centre,287.0,10.0
assist,,Centre,,
layup,good,averett,279.0,22.0
turnover,,Centre,272.0,23.0
timeout,,Centre,272.0,30.0
subbing in,,Centre,272.0,30.0
subbing in,,Centre,272.0,30.0
subbing in,,Centre,272.0,30.0
subbing in,,Centre,272.0,30.0
subbing out,,Centre,272.0,30.0
subbing out,,Centre,272.0,30.0
subbing out,,Centre,272.0,30.0
subbing out,,Centre,272.0,30.0
subbing in,,averett,272.0,30.0
subbing out,,averett,272.0,30.0
jumper,missed,averett,268.0,26.0
defensive rebound,,Centre,,
layup,good,Centre,253.0,15.0
assist,,Centre,,
jumper,good,averett,233.0,10.0
jumper,missed,Centre,212.0,9.0
defensive rebound,,averett,,
turnover,,averett,206.0,24.0
layup,missed,Centre,189.0,13.0
defensive rebound,,averett,,
turnover,,averett,180.0,21.0
subbing in,,Centre,180.0,30.0
subbing in,,Centre,180.0,30.0
subbing in,,Centre,180.0,30.0
subbing in,,Centre,180.0,30.0
subbing out,,Centre,180.0,30.0
subbing out,,Centre,180.0,30.0
subbing out,,Centre,180.0,30.0
subbing out,,Centre,180.0,30.0
subbing in,,averett,180.0,30.0
subbing out,,averett,180.0,30.0
turnover,,Centre,165.0,15.0
steal,,averett,164.0,29.0
foul,,averett,162.0,28.0
turnover,,averett,162.0,30.0
three pointer,good,Centre,157.0,25.0
assist,,Centre,,
three pointer,good,averett,142.0,15.0
layup,missed,Centre,125.0,13.0
defensive rebound,,averett,,
layup,good,averett,105.0,10.0
jumper,good,Centre,87.0,12.0
turnover,,averett,62.0,5.0
subbing in,,averett,61.0,29.0
subbing in,,averett,61.0,29.0
subbing out,,averett,61.0,29.0
subbing out,,averett,61.0,29.0
foul,,averett,44.0,12.0
subbing in,,averett,44.0,30.0
subbing out,,averett,44.0,30.0
foul,,averett,39.0,25.0
subbing in,,averett,39.0,30.0
subbing out,,averett,39.0,30.0
jumper,missed,Centre,36.0,27.0
offensive rebound,,Centre,,
layup,missed,Centre,30.0,30.0
defensive rebound,,averett,,
layup,good,averett,15.0,15.0
three pointer,missed,Centre,1.0,1.0
defensive rebound,,averett,,
,,,,
subbing in,,Centre,600.0,594.0
subbing in,,Centre,600.0,594.0
subbing in,,Centre,600.0,594.0
subbing in,,Centre,600.0,594.0
subbing out,,Centre,600.0,594.0
subbing out,,Centre,600.0,594.0
subbing out,,Centre,600.0,594.0
subbing out,,Centre,600.0,594.0
subbing in,,averett,600.0,594.0
subbing in,,averett,600.0,594.0
subbing out,,averett,600.0,594.0
subbing out,,averett,600.0,594.0
jumper,missed,Centre,588.0,582.0
offensive rebound,,Centre,,
jumper,missed,Centre,581.0,23.0
offensive rebound,,Centre,,
turnover,,Centre,575.0,24.0
steal,,averett,573.0,28.0
jumper,good,averett,567.0,24.0
assist,,averett,,
foul,,Centre,548.0,11.0
turnover,,Centre,548.0,30.0
jumper,good,averett,529.0,11.0
assist,,averett,,
foul,,Centre,529.0,30.0
free throw,good,averett,529.0,30.0
subbing in,,Centre,529.0,30.0
subbing out,,Centre,529.0,30.0
subbing in,,averett,529.0,30.0
subbing out,,averett,529.0,30.0
turnover,,Centre,502.0,3.0
steal,,averett,500.0,28.0
three pointer,missed,averett,469.0,29.0
defensive rebound,,Centre,,
jumper,good,Centre,445.0,6.0
assist,,Centre,,
foul,,averett,427.0,12.0
turnover,,averett,427.0,30.0
subbing in,,Centre,427.0,30.0
subbing in,,Centre,427.0,30.0
subbing in,,Centre,427.0,30.0
subbing in,,Centre,427.0,30.0
subbing in,,Centre,427.0,30.0
subbing out,,Centre,427.0,30.0
subbing out,,Centre,427.0,30.0
subbing out,,Centre,427.0,30.0
subbing out,,Centre,427.0,30.0
subbing out,,Centre,427.0,30.0
subbing in,,averett,427.0,30.0
subbing in,,averett,427.0,30.0
subbing in,,averett,427.0,30.0
subbing out,,averett,427.0,30.0
subbing out,,averett,427.0,30.0
jumper,missed,averett,418.0,21.0
defensive rebound,,Centre,,
foul,,averett,408.0,20.0
jumper,missed,Centre,403.0,25.0
