Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,good,Centre,1195.0,25.0
jumper,missed,grove city,1170.0,5.0
defensive rebound,,Centre,,
three pointer,good,Centre,1161.0,21.0
assist,,Centre,,
turnover,,grove city,1131.0,0.0
steal,,Centre,1130.0,29.0
jumper,missed,Centre,1119.0,19.0
defensive rebound,,grove city,,
layup,good,grove city,1088.0,29.0
assist,,grove city,,
layup,good,Centre,1076.0,18.0
assist,,Centre,,
jumper,missed,grove city,1060.0,14.0
defensive rebound,,Centre,,
turnover,,Centre,1054.0,24.0
subbing in,,grove city,1054.0,30.0
subbing out,,grove city,1054.0,30.0
turnover,,grove city,1039.0,15.0
steal,,Centre,1032.0,23.0
foul,,grove city,1031.0,29.0
free throw,missed,Centre,1031.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,1031.0,30.0
turnover,,grove city,1026.0,25.0
timeout,,Centre,1026.0,30.0
turnover,,Centre,1023.0,27.0
foul,,Centre,1023.0,30.0
subbing in,,Centre,1023.0,30.0
subbing out,,Centre,1023.0,30.0
turnover,,grove city,999.0,6.0
steal,,Centre,998.0,29.0
layup,good,Centre,995.0,27.0
turnover,,grove city,982.0,17.0
subbing in,,grove city,982.0,30.0
subbing in,,grove city,982.0,30.0
subbing in,,grove city,982.0,30.0
subbing out,,grove city,982.0,30.0
subbing out,,grove city,982.0,30.0
subbing out,,grove city,982.0,30.0
layup,missed,Centre,955.0,3.0
defensive rebound,,grove city,,
jumper,missed,grove city,924.0,29.0
offensive rebound,,grove city,,
subbing in,,Centre,906.0,12.0
subbing in,,Centre,906.0,12.0
subbing in,,Centre,906.0,12.0
subbing out,,Centre,906.0,12.0
subbing out,,Centre,906.0,12.0
subbing out,,Centre,906.0,12.0
foul,,Centre,902.0,8.0
free throw,missed,grove city,902.0,30.0
deadball rebound,,Centre,,
free throw,good,grove city,902.0,30.0
subbing in,,grove city,902.0,30.0
subbing out,,grove city,902.0,30.0
turnover,,Centre,894.0,22.0
steal,,grove city,892.0,28.0
jumper,good,grove city,886.0,24.0
assist,,grove city,,
turnover,,Centre,873.0,17.0
steal,,grove city,872.0,29.0
foul,,Centre,865.0,23.0
free throw,missed,grove city,865.0,30.0
deadball rebound,,Centre,,
free throw,missed,grove city,865.0,30.0
offensive rebound,,Centre,,
subbing in,,grove city,865.0,30.0
subbing out,,grove city,865.0,30.0
subbing in,,Centre,865.0,30.0
subbing in,,Centre,865.0,30.0
subbing out,,Centre,865.0,30.0
subbing out,,Centre,865.0,30.0
jumper,missed,grove city,860.0,25.0
offensive rebound,,grove city,,
jumper,good,grove city,841.0,11.0
assist,,grove city,,
subbing in,,grove city,828.0,17.0
subbing out,,grove city,828.0,17.0
turnover,,Centre,826.0,15.0
jumper,missed,grove city,806.0,10.0
defensive rebound,,Centre,,
foul,,grove city,796.0,20.0
free throw,good,Centre,796.0,30.0
free throw,good,Centre,796.0,30.0
subbing in,,Centre,796.0,30.0
subbing out,,Centre,796.0,30.0
jumper,missed,grove city,775.0,9.0
defensive rebound,,Centre,,
subbing in,,grove city,772.0,27.0
subbing in,,grove city,772.0,27.0
subbing out,,grove city,772.0,27.0
subbing out,,grove city,772.0,27.0
subbing in,,Centre,772.0,27.0
subbing out,,Centre,772.0,27.0
turnover,,Centre,763.0,18.0
jumper,missed,grove city,757.0,24.0
defensive rebound,,Centre,,
foul,,grove city,747.0,20.0
subbing in,,grove city,747.0,30.0
subbing in,,grove city,747.0,30.0
subbing in,,grove city,747.0,30.0
subbing out,,grove city,747.0,30.0
subbing in,,Centre,747.0,30.0
subbing out,,Centre,747.0,30.0
jumper,missed,Centre,745.0,28.0
defensive rebound,,grove city,,
foul,,Centre,729.0,14.0
subbing out,,grove city,729.0,30.0
subbing out,,grove city,729.0,30.0
turnover,,grove city,723.0,24.0
subbing in,,grove city,723.0,30.0
