Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,missed,huntingdon,590.0,20.0
defensive rebound,,Centre,,
layup,good,Centre,582.0,22.0
assist,,Centre,,
layup,missed,huntingdon,568.0,16.0
defensive rebound,,Centre,,
foul,,huntingdon,553.0,15.0
layup,missed,Centre,545.0,22.0
defensive rebound,,huntingdon,,
three pointer,missed,huntingdon,531.0,16.0
offensive rebound,,huntingdon,,
jumper,missed,huntingdon,516.0,15.0
defensive rebound,,Centre,,
jumper,missed,Centre,498.0,12.0
defensive rebound,,huntingdon,,
layup,good,huntingdon,483.0,15.0
layup,missed,Centre,463.0,10.0
defensive rebound,,huntingdon,,
layup,good,huntingdon,441.0,8.0
assist,,huntingdon,,
foul,,Centre,441.0,30.0
free throw,good,huntingdon,441.0,30.0
subbing in,,Centre,441.0,30.0
subbing in,,Centre,441.0,30.0
subbing out,,Centre,441.0,30.0
subbing out,,Centre,441.0,30.0
foul,,huntingdon,426.0,15.0
free throw,good,Centre,426.0,30.0
free throw,missed,Centre,426.0,30.0
offensive rebound,,Centre,,
foul,,huntingdon,423.0,27.0
free throw,missed,Centre,423.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,423.0,30.0
jumper,missed,huntingdon,404.0,11.0
offensive rebound,,huntingdon,,
layup,good,huntingdon,389.0,15.0
turnover,,Centre,385.0,26.0
steal,,huntingdon,382.0,27.0
jumper,good,huntingdon,378.0,26.0
layup,missed,Centre,368.0,20.0
defensive rebound,,huntingdon,,
subbing in,,Centre,349.0,11.0
subbing out,,Centre,349.0,11.0
turnover,,huntingdon,345.0,7.0
steal,,Centre,345.0,30.0
foul,,huntingdon,345.0,30.0
subbing in,,huntingdon,345.0,30.0
subbing out,,huntingdon,345.0,30.0
turnover,,Centre,331.0,16.0
steal,,huntingdon,330.0,29.0
jumper,good,huntingdon,311.0,11.0
assist,,huntingdon,,
foul,,huntingdon,291.0,10.0
timeout,,Centre,291.0,30.0
free throw,good,Centre,291.0,30.0
free throw,good,Centre,291.0,30.0
subbing in,,Centre,291.0,30.0
subbing out,,Centre,291.0,30.0
layup,missed,huntingdon,270.0,9.0
defensive rebound,,Centre,,
three pointer,missed,Centre,262.0,22.0
defensive rebound,,huntingdon,,
layup,good,huntingdon,239.0,7.0
jumper,good,Centre,221.0,12.0
jumper,missed,huntingdon,201.0,10.0
offensive rebound,,Centre,,
subbing in,,Centre,193.0,22.0
subbing in,,Centre,193.0,22.0
subbing out,,Centre,193.0,22.0
subbing out,,Centre,193.0,22.0
three pointer,missed,huntingdon,189.0,18.0
offensive rebound,,huntingdon,,
turnover,,huntingdon,178.0,19.0
steal,,Centre,177.0,29.0
three pointer,missed,Centre,162.0,15.0
offensive rebound,,Centre,,
layup,missed,Centre,152.0,20.0
defensive rebound,,huntingdon,,
