Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,good,lasell,573.0,3.0
three pointer,good,Centre,554.0,11.0
assist,,Centre,,
layup,missed,lasell,525.0,1.0
defensive rebound,,Centre,,
foul,,lasell,525.0,30.0
three pointer,missed,Centre,511.0,16.0
defensive rebound,,Centre,,
jumper,missed,lasell,488.0,7.0
defensive rebound,,Centre,,
jumper,missed,Centre,476.0,18.0
defensive rebound,,lasell,,
layup,missed,lasell,455.0,9.0
defensive rebound,,Centre,,
three pointer,missed,Centre,441.0,16.0
defensive rebound,,lasell,,
layup,missed,lasell,428.0,17.0
block,,Centre,428.0,17.0
offensive rebound,,lasell,,
subbing in,,lasell,427.0,16.0
subbing in,,lasell,427.0,16.0
subbing out,,lasell,427.0,16.0
subbing out,,lasell,427.0,16.0
subbing in,,Centre,427.0,16.0
subbing out,,Centre,427.0,16.0
turnover,,lasell,425.0,14.0
steal,,Centre,425.0,30.0
jumper,missed,Centre,407.0,12.0
defensive rebound,,lasell,,
turnover,,lasell,385.0,8.0
subbing in,,Centre,385.0,30.0
subbing in,,Centre,385.0,30.0
subbing out,,Centre,385.0,30.0
subbing out,,Centre,385.0,30.0
jumper,good,Centre,370.0,15.0
assist,,Centre,,
turnover,,lasell,356.0,16.0
steal,,Centre,356.0,30.0
jumper,missed,Centre,334.0,8.0
defensive rebound,,Centre,,
subbing in,,lasell,334.0,30.0
subbing out,,lasell,334.0,30.0
subbing in,,Centre,334.0,30.0
subbing out,,Centre,334.0,30.0
three pointer,missed,lasell,323.0,19.0
defensive rebound,,Centre,,
jumper,missed,Centre,310.0,17.0
defensive rebound,,lasell,,
layup,missed,lasell,286.0,6.0
offensive rebound,,lasell,,
jumper,missed,lasell,276.0,20.0
defensive rebound,,Centre,,
layup,good,Centre,257.0,11.0
foul,,Centre,243.0,16.0
subbing in,,lasell,243.0,30.0
subbing in,,lasell,243.0,30.0
subbing out,,lasell,243.0,30.0
subbing out,,lasell,243.0,30.0
subbing in,,Centre,243.0,30.0
subbing in,,Centre,243.0,30.0
