Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,letourneau,588.0,18.0
defensive rebound,,Centre,,
three pointer,missed,Centre,558.0,0.0
defensive rebound,,letourneau,,
jumper,missed,letourneau,540.0,12.0
offensive rebound,,letourneau,,
jumper,missed,letourneau,518.0,8.0
offensive rebound,,letourneau,,
turnover,,letourneau,513.0,25.0
steal,,Centre,511.0,28.0
layup,missed,Centre,493.0,12.0
block,,letourneau,493.0,30.0
defensive rebound,,letourneau,,
jumper,missed,letourneau,478.0,15.0
defensive rebound,,Centre,,
three pointer,good,Centre,467.0,19.0
assist,,Centre,,
turnover,,letourneau,452.0,15.0
turnover,,Centre,445.0,23.0
steal,,letourneau,444.0,29.0
foul,,Centre,441.0,27.0
free throw,good,letourneau,441.0,30.0
free throw,good,letourneau,441.0,30.0
subbing in,,Centre,441.0,30.0
subbing out,,Centre,441.0,30.0
jumper,good,Centre,429.0,18.0
layup,good,letourneau,410.0,11.0
assist,,letourneau,,
three pointer,missed,Centre,388.0,8.0
defensive rebound,,letourneau,,
turnover,,letourneau,368.0,10.0
steal,,Centre,366.0,28.0
foul,,letourneau,356.0,20.0
free throw,good,Centre,356.0,30.0
free throw,good,Centre,356.0,30.0
subbing in,,Centre,356.0,30.0
subbing in,,Centre,356.0,30.0
subbing out,,Centre,356.0,30.0
subbing out,,Centre,356.0,30.0
subbing in,,letourneau,356.0,30.0
subbing in,,letourneau,356.0,30.0
subbing in,,letourneau,356.0,30.0
subbing out,,letourneau,356.0,30.0
subbing out,,letourneau,356.0,30.0
subbing out,,letourneau,356.0,30.0
three pointer,missed,letourneau,348.0,22.0
defensive rebound,,Centre,,
foul,,letourneau,343.0,25.0
jumper,missed,Centre,326.0,13.0
defensive rebound,,letourneau,,
layup,missed,letourneau,317.0,21.0
offensive rebound,,letourneau,,
turnover,,letourneau,309.0,22.0
foul,,letourneau,290.0,11.0
jumper,missed,Centre,288.0,28.0
defensive rebound,,letourneau,,
subbing in,,Centre,288.0,30.0
subbing out,,Centre,288.0,30.0
foul,,Centre,287.0,29.0
free throw,good,letourneau,287.0,30.0
subbing in,,letourneau,287.0,30.0
subbing out,,letourneau,287.0,30.0
free throw,good,letourneau,283.0,30.0
layup,missed,Centre,271.0,14.0
defensive rebound,,letourneau,,
subbing in,,Centre,247.0,6.0
subbing in,,Centre,247.0,6.0
subbing in,,Centre,247.0,6.0
subbing out,,Centre,247.0,6.0
subbing out,,Centre,247.0,6.0
subbing out,,Centre,247.0,6.0
jumper,good,letourneau,246.0,5.0
layup,missed,Centre,219.0,3.0
offensive rebound,,Centre,,
layup,missed,Centre,215.0,26.0
defensive rebound,,letourneau,,
turnover,,letourneau,173.0,18.0
jumper,missed,Centre,151.0,8.0
offensive rebound,,Centre,,
jumper,missed,Centre,139.0,18.0
offensive rebound,,Centre,,
layup,missed,Centre,135.0,26.0
offensive rebound,,Centre,,
turnover,,Centre,130.0,25.0
steal,,letourneau,128.0,28.0
subbing in,,letourneau,120.0,22.0
subbing in,,letourneau,120.0,22.0
subbing out,,letourneau,120.0,22.0
subbing out,,letourneau,120.0,22.0
deadball rebound,,Centre,,
foul,,Centre,103.0,5.0
free throw,missed,letourneau,103.0,30.0
free throw,missed,letourneau,103.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,103.0,30.0
subbing out,,Centre,103.0,30.0
foul,,letourneau,101.0,28.0
jumper,missed,Centre,88.0,17.0
defensive rebound,,letourneau,,
layup,missed,letourneau,70.0,12.0
defensive rebound,,Centre,,
turnover,,Centre,40.0,0.0
three pointer,missed,letourneau,29.0,29.0
offensive rebound,,letourneau,,
turnover,,letourneau,21.0,21.0
subbing in,,Centre,18.0,18.0
subbing out,,Centre,18.0,18.0
,,,,
subbing in,,letourneau,600.0,590.0
subbing in,,letourneau,600.0,590.0
subbing in,,letourneau,600.0,590.0
subbing out,,letourneau,600.0,590.0
subbing out,,letourneau,600.0,590.0
subbing out,,letourneau,600.0,590.0
jumper,missed,letourneau,590.0,580.0
block,,Centre,590.0,30.0
defensive rebound,,Centre,,
three pointer,good,Centre,556.0,26.0
assist,,Centre,,
three pointer,missed,letourneau,538.0,12.0
defensive rebound,,Centre,,
foul,,letourneau,534.0,26.0
subbing in,,letourneau,532.0,28.0
subbing in,,letourneau,532.0,28.0
subbing out,,letourneau,532.0,28.0
subbing out,,letourneau,532.0,28.0
layup,missed,Centre,512.0,8.0
offensive rebound,,Centre,,
jumper,good,Centre,495.0,13.0
three pointer,good,letourneau,476.0,11.0
assist,,letourneau,,
turnover,,Centre,468.0,22.0
steal,,letourneau,466.0,28.0
three pointer,good,letourneau,458.0,22.0
assist,,letourneau,,
timeout,,Centre,454.0,26.0
foul,,letourneau,453.0,25.0
subbing in,,letourneau,453.0,30.0
subbing out,,letourneau,453.0,30.0
three pointer,missed,Centre,432.0,9.0
defensive rebound,,letourneau,,
foul,,Centre,412.0,10.0
free throw,good,letourneau,412.0,30.0
free throw,missed,letourneau,412.0,30.0
defensive rebound,,Centre,,
jumper,good,Centre,385.0,3.0
layup,good,letourneau,362.0,7.0
three pointer,good,Centre,326.0,24.0
assist,,Centre,,
layup,missed,letourneau,307.0,11.0
defensive rebound,,Centre,,
three pointer,missed,Centre,279.0,2.0
offensive rebound,,Centre,,
turnover,,Centre,259.0,10.0
steal,,letourneau,258.0,29.0
foul,,Centre,258.0,30.0
subbing in,,Centre,258.0,30.0
subbing in,,Centre,258.0,30.0
subbing in,,Centre,258.0,30.0
subbing out,,Centre,258.0,30.0
subbing out,,Centre,258.0,30.0
subbing out,,Centre,258.0,30.0
subbing in,,letourneau,258.0,30.0
subbing out,,letourneau,258.0,30.0
turnover,,letourneau,254.0,26.0
three pointer,good,Centre,247.0,23.0
assist,,Centre,,
three pointer,missed,letourneau,232.0,15.0
defensive rebound,,Centre,,
jumper,missed,Centre,221.0,19.0
defensive rebound,,letourneau,,
foul,,Centre,205.0,14.0
free throw,missed,letourneau,205.0,30.0
deadball rebound,,Centre,,
free throw,good,letourneau,205.0,30.0
subbing in,,Centre,205.0,30.0
subbing out,,Centre,205.0,30.0
subbing in,,letourneau,205.0,30.0
subbing in,,letourneau,205.0,30.0
subbing out,,letourneau,205.0,30.0
subbing out,,letourneau,205.0,30.0
three pointer,good,Centre,192.0,17.0
assist,,Centre,,
foul,,Centre,175.0,13.0
layup,good,letourneau,156.0,11.0
assist,,letourneau,,
layup,missed,Centre,137.0,11.0
defensive rebound,,letourneau,,
layup,missed,letourneau,132.0,25.0
defensive rebound,,Centre,,
foul,,letourneau,128.0,26.0
subbing in,,Centre,128.0,30.0
subbing in,,Centre,128.0,30.0
subbing in,,Centre,128.0,30.0
subbing out,,Centre,128.0,30.0
subbing out,,Centre,128.0,30.0
subbing out,,Centre,128.0,30.0
foul,,letourneau,124.0,26.0
layup,missed,Centre,99.0,5.0
defensive rebound,,Centre,,
turnover,,letourneau,78.0,9.0
subbing in,,letourneau,67.0,19.0
subbing out,,letourneau,67.0,19.0
three pointer,good,Centre,57.0,9.0
assist,,Centre,,
assist,,letourneau,,
assist,,letourneau,,
turnover,,letourneau,33.0,6.0
steal,,Centre,33.0,30.0
turnover,,Centre,33.0,30.0
steal,,letourneau,33.0,30.0
layup,good,letourneau,33.0,30.0
subbing in,,Centre,33.0,30.0
subbing out,,Centre,33.0,30.0
subbing in,,letourneau,33.0,30.0
subbing out,,letourneau,33.0,30.0
foul,,letourneau,28.0,28.0
free throw,missed,Centre,28.0,28.0
deadball rebound,,Centre,,
free throw,good,Centre,28.0,28.0
subbing in,,Centre,28.0,28.0
subbing out,,Centre,28.0,28.0
subbing in,,letourneau,28.0,28.0
subbing in,,letourneau,28.0,28.0
subbing out,,letourneau,28.0,28.0
subbing out,,letourneau,28.0,28.0
three pointer,missed,letourneau,15.0,15.0
defensive rebound,,Centre,,
,,,,
subbing in,,letourneau,600.0,597.0
subbing out,,letourneau,600.0,597.0
three pointer,good,letourneau,586.0,583.0
three pointer,good,Centre,571.0,15.0
assist,,Centre,,
turnover,,letourneau,554.0,13.0
turnover,,Centre,536.0,12.0
steal,,letourneau,535.0,29.0
foul,,Centre,535.0,30.0
layup,good,letourneau,523.0,18.0
assist,,letourneau,,
layup,missed,Centre,513.0,20.0
defensive rebound,,letourneau,,
jumper,good,letourneau,504.0,21.0
assist,,letourneau,,
three pointer,missed,Centre,473.0,29.0
defensive rebound,,letourneau,,
foul,,Centre,467.0,24.0
foul,,letourneau,458.0,21.0
subbing in,,letourneau,450.0,22.0
subbing out,,letourneau,450.0,22.0
jumper,missed,Centre,441.0,13.0
offensive rebound,,Centre,,
layup,good,Centre,439.0,28.0
jumper,good,letourneau,424.0,15.0
three pointer,missed,Centre,385.0,21.0
defensive rebound,,letourneau,,
subbing in,,Centre,385.0,30.0
subbing out,,Centre,385.0,30.0
layup,good,letourneau,378.0,23.0
assist,,letourneau,,
timeout,,Centre,367.0,19.0
jumper,missed,Centre,365.0,17.0
offensive rebound,,Centre,,
foul,,letourneau,349.0,14.0
free throw,good,Centre,349.0,30.0
free throw,good,Centre,349.0,30.0
turnover,,letourneau,339.0,20.0
turnover,,Centre,339.0,30.0
steal,,letourneau,339.0,30.0
three pointer,good,letourneau,335.0,26.0
assist,,letourneau,,
jumper,missed,Centre,316.0,11.0
offensive rebound,,Centre,,
three pointer,good,Centre,310.0,24.0
assist,,Centre,,
turnover,,letourneau,291.0,11.0
steal,,Centre,287.0,26.0
layup,good,Centre,279.0,22.0
assist,,Centre,,
foul,,Centre,263.0,14.0
timeout,,letourneau,263.0,30.0
free throw,good,letourneau,263.0,30.0
free throw,good,letourneau,263.0,30.0
subbing in,,Centre,263.0,30.0
subbing in,,Centre,263.0,30.0
subbing in,,Centre,263.0,30.0
subbing out,,Centre,263.0,30.0
subbing out,,Centre,263.0,30.0
subbing out,,Centre,263.0,30.0
subbing in,,letourneau,263.0,30.0
subbing in,,letourneau,263.0,30.0
subbing in,,letourneau,263.0,30.0
subbing in,,letourneau,263.0,30.0
subbing out,,letourneau,263.0,30.0
subbing out,,letourneau,263.0,30.0
subbing out,,letourneau,263.0,30.0
subbing out,,letourneau,263.0,30.0
three pointer,good,Centre,251.0,18.0
assist,,Centre,,
foul,,letourneau,232.0,11.0
turnover,,letourneau,232.0,30.0
subbing in,,letourneau,232.0,30.0
subbing out,,letourneau,232.0,30.0
turnover,,Centre,223.0,21.0
steal,,letourneau,223.0,30.0
foul,,Centre,219.0,26.0
free throw,good,letourneau,219.0,30.0
free throw,good,letourneau,219.0,30.0
layup,good,Centre,206.0,17.0
foul,,letourneau,206.0,30.0
free throw,good,Centre,206.0,30.0
jumper,good,letourneau,181.0,5.0
layup,missed,Centre,153.0,2.0
defensive rebound,,letourneau,,
three pointer,missed,letourneau,147.0,24.0
offensive rebound,,letourneau,,
layup,good,letourneau,135.0,18.0
jumper,good,Centre,117.0,12.0
foul,,Centre,106.0,19.0
free throw,good,letourneau,106.0,30.0
free throw,good,letourneau,106.0,30.0
subbing in,,Centre,106.0,30.0
subbing in,,Centre,106.0,30.0
subbing in,,Centre,106.0,30.0
subbing in,,Centre,106.0,30.0
subbing in,,Centre,106.0,30.0
subbing out,,Centre,106.0,30.0
subbing out,,Centre,106.0,30.0
subbing out,,Centre,106.0,30.0
subbing out,,Centre,106.0,30.0
subbing out,,Centre,106.0,30.0
three pointer,missed,Centre,85.0,9.0
defensive rebound,,letourneau,,
three pointer,missed,letourneau,73.0,18.0
defensive rebound,,Centre,,
layup,good,Centre,65.0,22.0
jumper,missed,letourneau,48.0,13.0
offensive rebound,,letourneau,,
layup,missed,letourneau,44.0,26.0
deadball rebound,,Centre,,
foul,,Centre,40.0,26.0
free throw,missed,letourneau,40.0,30.0
deadball rebound,,Centre,,
free throw,missed,letourneau,40.0,30.0
offensive rebound,,letourneau,,
subbing in,,Centre,30.0,30.0
subbing out,,Centre,30.0,30.0
foul,,Centre,21.0,21.0
free throw,good,letourneau,21.0,21.0
free throw,good,letourneau,21.0,21.0
jumper,missed,Centre,1.0,1.0
block,,letourneau,1.0,1.0
defensive rebound,,letourneau,,
,,,,
subbing in,,Centre,600.0,590.0
subbing out,,Centre,600.0,590.0
subbing in,,letourneau,600.0,590.0
subbing in,,letourneau,600.0,590.0
subbing in,,letourneau,600.0,590.0
subbing out,,letourneau,600.0,590.0
subbing out,,letourneau,600.0,590.0
subbing out,,letourneau,600.0,590.0
subbing in,,Centre,596.0,586.0
subbing out,,Centre,596.0,586.0
layup,good,Centre,589.0,579.0
foul,,Centre,575.0,16.0
subbing in,,Centre,575.0,30.0
subbing in,,Centre,575.0,30.0
subbing out,,Centre,575.0,30.0
subbing out,,Centre,575.0,30.0
turnover,,letourneau,571.0,26.0
turnover,,Centre,557.0,16.0
subbing in,,letourneau,552.0,25.0
subbing out,,letourneau,552.0,25.0
