,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,RIPONW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,10,ripon,Centre College,RIPON COLLEGE,70-56,70,56,"27, 43, 70","34, 22, 56",27,43,70,34,22,56,9-1,2-6,12/29/11,Win,173,No Location Recorded,3 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,10,ripon,Centre College,RIPON COLLEGE,70-56,70,56,"27, 43, 70","34, 22, 56",27,43,70,34,22,56,9-1,2-6,12/29/11,Win,173,No Location Recorded,3 p.m.,A,1,19:47,,,,,"TURNOVER  by RAYMOND,KATIE",,,"TURNOVER  by RAYMOND,KATIE",1,turnover,,ripon college,katie raymond,,1187
2,10,ripon,Centre College,RIPON COLLEGE,70-56,70,56,"27, 43, 70","34, 22, 56",27,43,70,34,22,56,9-1,2-6,12/29/11,Win,173,No Location Recorded,3 p.m.,A,2,19:45,"STEAL  by HUTER,LAUREN",,,,,,,"STEAL  by HUTER,LAUREN",1,steal,,Centre,,,1185
3,10,ripon,Centre College,RIPON COLLEGE,70-56,70,56,"27, 43, 70","34, 22, 56",27,43,70,34,22,56,9-1,2-6,12/29/11,Win,173,No Location Recorded,3 p.m.,A,3,19:32,"GOOD LAYUP by HUTER,LAUREN(in the paint)",2 (+2),,0,,CENTREW 2-0 (+2),,"GOOD LAYUP by HUTER,LAUREN(in the paint)",1,layup,good,Centre,lauren huter,2,1172
4,10,ripon,Centre College,RIPON COLLEGE,70-56,70,56,"27, 43, 70","34, 22, 56",27,43,70,34,22,56,9-1,2-6,12/29/11,Win,173,No Location Recorded,3 p.m.,A,4,19:12,,2,,2,"GOOD LAYUP by VAN EPEREN,JILL(in the paint)",RIPONW 2-2 (0),,"GOOD LAYUP by VAN EPEREN,JILL(in the paint)",1,layup,good,ripon college,jill van eperen,2,1152
5,10,ripon,Centre College,RIPON COLLEGE,70-56,70,56,"27, 43, 70","34, 22, 56",27,43,70,34,22,56,9-1,2-6,12/29/11,Win,173,No Location Recorded,3 p.m.,A,5,18:46,"MISS 3PTR by WINSTEAD,BRIDGET",,,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,1126
6,10,ripon,Centre College,RIPON COLLEGE,70-56,70,56,"27, 43, 70","34, 22, 56",27,43,70,34,22,56,9-1,2-6,12/29/11,Win,173,No Location Recorded,3 p.m.,A,6,--,,,,,"REBOUND DEF by AICHER,CHELSEA",,,"REBOUND DEF by AICHER,CHELSEA",1,defensive rebound,,ripon college,chelsea aicher,,
7,10,ripon,Centre College,RIPON COLLEGE,70-56,70,56,"27, 43, 70","34, 22, 56",27,43,70,34,22,56,9-1,2-6,12/29/11,Win,173,No Location Recorded,3 p.m.,A,7,18:29,,,,,"TURNOVER  by CULLEN,KACIE",,,"TURNOVER  by CULLEN,KACIE",1,turnover,,ripon college,kacie cullen,,1109
8,10,ripon,Centre College,RIPON COLLEGE,70-56,70,56,"27, 43, 70","34, 22, 56",27,43,70,34,22,56,9-1,2-6,12/29/11,Win,173,No Location Recorded,3 p.m.,A,8,18:17,"GOOD LAYUP by PREWITT,MAGGIE(in the paint)",4 (+2),,2,,CENTREW 4-2 (+2),,"GOOD LAYUP by PREWITT,MAGGIE(in the paint)",1,layup,good,Centre,maggie prewitt,2,1097
9,10,ripon,Centre College,RIPON COLLEGE,70-56,70,56,"27, 43, 70","34, 22, 56",27,43,70,34,22,56,9-1,2-6,12/29/11,Win,173,No Location Recorded,3 p.m.,A,9,17:54,,,,,"MISS 3PTR by CULLEN,KACIE",,,"MISS 3PTR by CULLEN,KACIE",1,three pointer,missed,ripon college,kacie cullen,,1074
