,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,1,19:32,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,1172
2,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,2,--,"REBOUND DEF by BROWN,CAITLIN",,,,,,,"REBOUND DEF by BROWN,CAITLIN",1,defensive rebound,,mississippi college,caitlin brown,,
3,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,3,19:02,"MISS JUMPER by BROWN,CAITLIN",,,,,,,"MISS JUMPER by BROWN,CAITLIN",1,jumper,missed,mississippi college,caitlin brown,,1142
4,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,4,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
5,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,5,18:45,,,,,"MISS 3PTR by PREWITT,MAGGIE",,,"MISS 3PTR by PREWITT,MAGGIE",1,three pointer,missed,Centre,maggie prewitt,,1125
6,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,6,--,,,,,"REBOUND OFF by BENHAM,CHELSEA",,,"REBOUND OFF by BENHAM,CHELSEA",1,offensive rebound,,Centre,chelsea benham,,
7,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,7,18:40,,,,,"TURNOVER  by BENHAM,CHELSEA",,,"TURNOVER  by BENHAM,CHELSEA",1,turnover,,Centre,chelsea benham,,1120
8,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,8,18:38,"STEAL  by BROOKS,ELIZABETH",,,,,,,"STEAL  by BROOKS,ELIZABETH",1,steal,,mississippi college,,,1118
9,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,9,18:21,"GOOD LAYUP by BROOKS,ELIZABETH(in the paint)",2 (+2),,0,,MC 2-0 (-2),,"GOOD LAYUP by BROOKS,ELIZABETH(in the paint)",1,layup,good,mississippi college,elizabeth brooks,2,1101
