,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TU,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,1,19:50,,,,,"FOUL  by BENHAM,CHELSEA",,,"FOUL  by BENHAM,CHELSEA",1,foul,,Centre,chelsea benham,,1190
2,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,2,19:50,"GOOD FT by KRUSE,LIBBY",1 (+1),,0,,TU 1-0 (-1),,"GOOD FT by KRUSE,LIBBY",1,free throw,good,trinity university,libby kruse,1,1190
3,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,3,19:50,"GOOD FT by KRUSE,LIBBY",2 (+2),,0,,TU 2-0 (-2),,"GOOD FT by KRUSE,LIBBY",1,free throw,good,trinity university,libby kruse,1,1190
4,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,4,19:43,,2,,3 (+1),"GOOD 3PTR by BURKE,ALYSON",CENTRE_W 2-3 (+1),,"GOOD 3PTR by BURKE,ALYSON",1,three pointer,good,Centre,alyson burke,3,1183
5,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,5,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
6,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,6,19:35,"MISS 3PTR by BURNS,MURPHY",,,,,,,"MISS 3PTR by BURNS,MURPHY",1,three pointer,missed,trinity university,murphy burns,,1175
7,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,7,--,"REBOUND OFF by KRUSE,LIBBY",,,,,,,"REBOUND OFF by KRUSE,LIBBY",1,offensive rebound,,trinity university,libby kruse,,
8,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,8,19:30,"GOOD LAYUP by BURNS,MURPHY(in the paint)",4 (+1),,3,,TU 4-3 (-1),,"GOOD LAYUP by BURNS,MURPHY(in the paint)",1,layup,good,trinity university,murphy burns,2,1170
9,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,9,--,"ASSIST  by KRUSE,LIBBY",,,,,,,"ASSIST  by KRUSE,LIBBY",1,assist,,trinity university,libby kruse,,
10,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,10,19:19,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,1159
11,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,11,--,"REBOUND DEF by KRUSE,LIBBY",,,,,,,"REBOUND DEF by KRUSE,LIBBY",1,defensive rebound,,trinity university,libby kruse,,
12,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,12,19:02,"MISS 3PTR by COLEY,HANNAH",,,,,,,"MISS 3PTR by COLEY,HANNAH",1,three pointer,missed,trinity university,hannah coley,,1142
13,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,13,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
14,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,14,18:53,,,,,"MISS JUMPER by PREWITT,MAGGIE",,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,1133
15,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,15,--,"REBOUND DEF by BURNS,MURPHY",,,,,,,"REBOUND DEF by BURNS,MURPHY",1,defensive rebound,,trinity university,murphy burns,,
16,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,16,18:51,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,1131
17,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,17,18:51,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,1131
18,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,18,18:42,"MISS JUMPER by KRUSE,LIBBY",,,,,,,"MISS JUMPER by KRUSE,LIBBY",1,jumper,missed,trinity university,libby kruse,,1122
19,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,19,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
20,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,20,18:26,,,,,"MISS JUMPER by PREWITT,MAGGIE",,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,1106
21,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,21,--,"REBOUND DEF by DANIEL,KELSEY",,,,,,,"REBOUND DEF by DANIEL,KELSEY",1,defensive rebound,,trinity university,kelsey daniel,,
22,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,22,18:07,,,,,"FOUL  by WINSTEAD,BRIDGET",,,"FOUL  by WINSTEAD,BRIDGET",1,foul,,Centre,bridget winstead,,1087
23,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,23,18:07,"GOOD FT by KRUSE,LIBBY",5 (+2),,3,,TU 5-3 (-2),,"GOOD FT by KRUSE,LIBBY",1,free throw,good,trinity university,libby kruse,1,1087
24,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,24,18:07,"GOOD FT by KRUSE,LIBBY",6 (+3),,3,,TU 6-3 (-3),,"GOOD FT by KRUSE,LIBBY",1,free throw,good,trinity university,libby kruse,1,1087
25,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,25,18:07,"SUB IN by TUCKER,JANA",,,,,,,"SUB IN by TUCKER,JANA",1,subbing in,,trinity university,jana tucker,,1087
26,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,26,18:07,"SUB OUT by DANIEL,KELSEY",,,,,,,"SUB OUT by DANIEL,KELSEY",1,subbing out,,trinity university,kelsey daniel,,1087
27,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,27,18:07,,,,,"SUB IN by GOATLEY,JANE",,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,1087
28,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,28,18:07,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,1087
29,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,29,17:48,,6,,6,"GOOD 3PTR by GOATLEY,JANE",CENTRE_W 6-6 (0),,"GOOD 3PTR by GOATLEY,JANE",1,three pointer,good,Centre,jane goatley,3,1068
30,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,30,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
31,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,31,17:33,"MISS JUMPER by TUCKER,JANA",,,,,,,"MISS JUMPER by TUCKER,JANA",1,jumper,missed,trinity university,jana tucker,,1053
32,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,32,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
33,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,33,17:10,,6,,8 (+2),"GOOD LAYUP by PREWITT,MAGGIE(in the paint)",CENTRE_W 6-8 (+2),,"GOOD LAYUP by PREWITT,MAGGIE(in the paint)",1,layup,good,Centre,maggie prewitt,2,1030
34,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,34,16:56,"MISS LAYUP by COLEY,HANNAH",,,,,,,"MISS LAYUP by COLEY,HANNAH",1,layup,missed,trinity university,hannah coley,,1016
35,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,35,16:56,,,,,"BLOCK  by HUTER,LAUREN",,,"BLOCK  by HUTER,LAUREN",1,block,,Centre,lauren huter,,1016
36,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,36,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
37,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,37,16:46,"FOUL  by TUCKER,JANA",,,,,,,"FOUL  by TUCKER,JANA",1,foul,,trinity university,jana tucker,,1006
38,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,38,16:46,"TURNOVER  by TUCKER,JANA",,,,,,,"TURNOVER  by TUCKER,JANA",1,turnover,,trinity university,jana tucker,,1006
39,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,39,16:42,,,,,"MISS JUMPER by PREWITT,MAGGIE",,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,1002
40,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,40,--,"REBOUND DEF by COLEY,HANNAH",,,,,,,"REBOUND DEF by COLEY,HANNAH",1,defensive rebound,,trinity university,hannah coley,,
41,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,41,16:30,"TURNOVER  by BURNS,MURPHY",,,,,,,"TURNOVER  by BURNS,MURPHY",1,turnover,,trinity university,murphy burns,,990
42,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,42,16:28,,,,,"STEAL  by BAECHLE,PAIGE",,,"STEAL  by BAECHLE,PAIGE",1,steal,,Centre,,,988
43,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,43,16:25,,6,,11 (+5),"GOOD 3PTR by BURKE,ALYSON",CENTRE_W 6-11 (+5),,"GOOD 3PTR by BURKE,ALYSON",1,three pointer,good,Centre,alyson burke,3,985
44,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,44,--,,,,,"ASSIST  by BAECHLE,PAIGE",,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
