,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,UDWB,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,18,dallas,Centre College (KY),University of Dallas,58-48,58,48,"25, 33, 58","16, 32, 48",25,33,58,16,32,48,"17-1, 11-0 SCAC","6-13, 2-9 SCAC",01/29/12,Win,181,No Location Recorded,1:00 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,18,dallas,Centre College (KY),University of Dallas,58-48,58,48,"25, 33, 58","16, 32, 48",25,33,58,16,32,48,"17-1, 11-0 SCAC","6-13, 2-9 SCAC",01/29/12,Win,181,No Location Recorded,1:00 p.m.,A,1,19:33,"GOOD 3PTR by PREWITT,MAGGIE",3 (+3),,0,,CENTRE_W 3-0 (+3),,"GOOD 3PTR by PREWITT,MAGGIE",1,three pointer,good,Centre,maggie prewitt,3,1173
2,18,dallas,Centre College (KY),University of Dallas,58-48,58,48,"25, 33, 58","16, 32, 48",25,33,58,16,32,48,"17-1, 11-0 SCAC","6-13, 2-9 SCAC",01/29/12,Win,181,No Location Recorded,1:00 p.m.,A,2,--,"ASSIST  by WINSTEAD,BRIDGET",,,,,,,"ASSIST  by WINSTEAD,BRIDGET",1,assist,,Centre,bridget winstead,,
3,18,dallas,Centre College (KY),University of Dallas,58-48,58,48,"25, 33, 58","16, 32, 48",25,33,58,16,32,48,"17-1, 11-0 SCAC","6-13, 2-9 SCAC",01/29/12,Win,181,No Location Recorded,1:00 p.m.,A,3,19:14,,3 (+1),,2,"GOOD JUMPER by ALLEN,CHRISTY",UDWB 3-2 (+1),,"GOOD JUMPER by ALLEN,CHRISTY",1,jumper,good,university of dallas,christy allen,2,1154
4,18,dallas,Centre College (KY),University of Dallas,58-48,58,48,"25, 33, 58","16, 32, 48",25,33,58,16,32,48,"17-1, 11-0 SCAC","6-13, 2-9 SCAC",01/29/12,Win,181,No Location Recorded,1:00 p.m.,A,4,--,,,,,"ASSIST  by YOSHIMURA,KYLIE",,,"ASSIST  by YOSHIMURA,KYLIE",1,assist,,university of dallas,kylie yoshimura,,
5,18,dallas,Centre College (KY),University of Dallas,58-48,58,48,"25, 33, 58","16, 32, 48",25,33,58,16,32,48,"17-1, 11-0 SCAC","6-13, 2-9 SCAC",01/29/12,Win,181,No Location Recorded,1:00 p.m.,A,5,18:55,,,,,"STEAL  by ALLEN,CHRISTY",,,"STEAL  by ALLEN,CHRISTY",1,steal,,university of dallas,,,1135
6,18,dallas,Centre College (KY),University of Dallas,58-48,58,48,"25, 33, 58","16, 32, 48",25,33,58,16,32,48,"17-1, 11-0 SCAC","6-13, 2-9 SCAC",01/29/12,Win,181,No Location Recorded,1:00 p.m.,A,6,18:53,"TURNOVER  by WINSTEAD,BRIDGET",,,,,,,"TURNOVER  by WINSTEAD,BRIDGET",1,turnover,,Centre,bridget winstead,,1133
7,18,dallas,Centre College (KY),University of Dallas,58-48,58,48,"25, 33, 58","16, 32, 48",25,33,58,16,32,48,"17-1, 11-0 SCAC","6-13, 2-9 SCAC",01/29/12,Win,181,No Location Recorded,1:00 p.m.,A,7,18:48,,,,,"MISS 3PTR by HAGEMANN,BROOKE",,,"MISS 3PTR by HAGEMANN,BROOKE",1,three pointer,missed,university of dallas,brooke hagemann,,1128
8,18,dallas,Centre College (KY),University of Dallas,58-48,58,48,"25, 33, 58","16, 32, 48",25,33,58,16,32,48,"17-1, 11-0 SCAC","6-13, 2-9 SCAC",01/29/12,Win,181,No Location Recorded,1:00 p.m.,A,8,--,"REBOUND DEF by BENHAM,CHELSEA",,,,,,,"REBOUND DEF by BENHAM,CHELSEA",1,defensive rebound,,Centre,chelsea benham,,
9,18,dallas,Centre College (KY),University of Dallas,58-48,58,48,"25, 33, 58","16, 32, 48",25,33,58,16,32,48,"17-1, 11-0 SCAC","6-13, 2-9 SCAC",01/29/12,Win,181,No Location Recorded,1:00 p.m.,A,9,18:34,"MISS 3PTR by WINSTEAD,BRIDGET",,,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,1114
