,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SUWB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,1,19:39,"TURNOVER  by GUY,JESSICA",,,,,,,"TURNOVER  by GUY,JESSICA",1,turnover,,spalding univ.,jessica guy,,1179
2,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,2,19:38,,,,,"STEAL  by PREWITT,MAGGIE",,,"STEAL  by PREWITT,MAGGIE",1,steal,,Centre,,,1178
3,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,3,19:34,,0,,2 (+2),"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",CENTRE_W 0-2 (+2),,"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",1,layup,good,Centre,chelsea benham,2,1174
4,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,4,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
5,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,5,19:19,"GOOD JUMPER by WRIGHT,TESHA",2,,2,,SUWB 2-2 (0),,"GOOD JUMPER by WRIGHT,TESHA",1,jumper,good,spalding univ.,tesha wright,2,1159
6,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,6,19:00,,2,,5 (+3),"GOOD 3PTR by WINSTEAD,BRIDGET",CENTRE_W 2-5 (+3),,"GOOD 3PTR by WINSTEAD,BRIDGET",1,three pointer,good,Centre,bridget winstead,3,1140
7,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,7,--,,,,,"ASSIST  by BURKE,ALYSON",,,"ASSIST  by BURKE,ALYSON",1,assist,,Centre,alyson burke,,
8,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,8,18:51,"TURNOVER  by LEAVELL,MELINDA",,,,,,,"TURNOVER  by LEAVELL,MELINDA",1,turnover,,spalding univ.,melinda leavell,,1131
9,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,9,18:50,,,,,"STEAL  by BURKE,ALYSON",,,"STEAL  by BURKE,ALYSON",1,steal,,Centre,,,1130
10,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,10,18:45,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,1125
11,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,11,--,"REBOUND DEF by GUY,JESSICA",,,,,,,"REBOUND DEF by GUY,JESSICA",1,defensive rebound,,spalding univ.,jessica guy,,
12,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,12,18:27,"MISS JUMPER by LEAVELL,MELINDA",,,,,,,"MISS JUMPER by LEAVELL,MELINDA",1,jumper,missed,spalding univ.,melinda leavell,,1107
13,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,13,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
14,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,14,18:19,,2,,7 (+5),"GOOD LAYUP by WINSTEAD,BRIDGET(in the paint)",CENTRE_W 2-7 (+5),,"GOOD LAYUP by WINSTEAD,BRIDGET(in the paint)",1,layup,good,Centre,bridget winstead,2,1099
15,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,15,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
16,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,16,18:05,"GOOD LAYUP by WRIGHT,TESHA(in the paint)",4,,7 (+3),,SUWB 4-7 (+3),,"GOOD LAYUP by WRIGHT,TESHA(in the paint)",1,layup,good,spalding univ.,tesha wright,2,1085
17,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,17,--,"ASSIST  by HAYES,KERSTIN",,,,,,,"ASSIST  by HAYES,KERSTIN",1,assist,,spalding univ.,kerstin hayes,,
18,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,18,17:46,,,,,"TURNOVER  by PREWITT,MAGGIE",,,"TURNOVER  by PREWITT,MAGGIE",1,turnover,,Centre,maggie prewitt,,1066
19,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,19,17:33,"MISS LAYUP by DAVIS,MEGAN",,,,,,,"MISS LAYUP by DAVIS,MEGAN",1,layup,missed,spalding univ.,megan davis,,1053
20,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,20,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
21,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,21,17:23,,,,,"MISS JUMPER by WINSTEAD,BRIDGET",,,"MISS JUMPER by WINSTEAD,BRIDGET",1,jumper,missed,Centre,bridget winstead,,1043
22,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,22,--,"REBOUND DEF by GUY,JESSICA",,,,,,,"REBOUND DEF by GUY,JESSICA",1,defensive rebound,,spalding univ.,jessica guy,,
23,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,23,17:11,"MISS LAYUP by GUY,JESSICA",,,,,,,"MISS LAYUP by GUY,JESSICA",1,layup,missed,spalding univ.,jessica guy,,1031
24,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,24,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
25,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,25,17:03,,,,,"MISS JUMPER by PREWITT,MAGGIE",,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,1023
26,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,26,--,,,,,"REBOUND OFF by HUTER,LAUREN",,,"REBOUND OFF by HUTER,LAUREN",1,offensive rebound,,Centre,lauren huter,,
27,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,27,16:58,"FOUL  by DAVIS,MEGAN",,,,,,,"FOUL  by DAVIS,MEGAN",1,foul,,spalding univ.,megan davis,,1018
28,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,28,16:58,,,,,"MISS FT by BENHAM,CHELSEA",,,"MISS FT by BENHAM,CHELSEA",1,free throw,missed,Centre,chelsea benham,,1018
29,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,29,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
30,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,30,16:58,,,,,"MISS FT by BENHAM,CHELSEA",,,"MISS FT by BENHAM,CHELSEA",1,free throw,missed,Centre,chelsea benham,,1018
31,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,31,--,"REBOUND DEF by GUY,JESSICA",,,,,,,"REBOUND DEF by GUY,JESSICA",1,defensive rebound,,spalding univ.,jessica guy,,
32,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,32,16:58,,,,,"SUB IN by WEST,CAILYNN",,,"SUB IN by WEST,CAILYNN",1,subbing in,,Centre,cailynn west,,1018
33,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,33,16:58,,,,,"SUB IN by HARTLAGE,MAGGIE",,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,1018
34,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,34,16:58,,,,,"SUB OUT by HUTER,LAUREN",,,"SUB OUT by HUTER,LAUREN",1,subbing out,,Centre,lauren huter,,1018
35,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,35,16:58,,,,,"SUB OUT by BURKE,ALYSON",,,"SUB OUT by BURKE,ALYSON",1,subbing out,,Centre,alyson burke,,1018
36,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,36,16:53,"TURNOVER  by HAYES,KERSTIN",,,,,,,"TURNOVER  by HAYES,KERSTIN",1,turnover,,spalding univ.,kerstin hayes,,1013
37,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,37,16:52,,,,,"STEAL  by HARTLAGE,MAGGIE",,,"STEAL  by HARTLAGE,MAGGIE",1,steal,,Centre,,,1012
38,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,38,16:50,,,,,"MISS LAYUP by HARTLAGE,MAGGIE",,,"MISS LAYUP by HARTLAGE,MAGGIE",1,layup,missed,Centre,maggie hartlage,,1010
39,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,39,--,"REBOUND DEF by GUY,JESSICA",,,,,,,"REBOUND DEF by GUY,JESSICA",1,defensive rebound,,spalding univ.,jessica guy,,
40,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,40,16:45,"GOOD JUMPER by WRIGHT,TESHA",6,,7 (+1),,SUWB 6-7 (+1),,"GOOD JUMPER by WRIGHT,TESHA",1,jumper,good,spalding univ.,tesha wright,2,1005
41,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,41,16:21,,,,,"MISS JUMPER by BENHAM,CHELSEA",,,"MISS JUMPER by BENHAM,CHELSEA",1,jumper,missed,Centre,chelsea benham,,981
42,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,42,--,"REBOUND DEF by WRIGHT,TESHA",,,,,,,"REBOUND DEF by WRIGHT,TESHA",1,defensive rebound,,spalding univ.,tesha wright,,
