,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,WSEW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,1,19:40,"MISS 3PTR by HOWELL,MICHELLE",,,,,,,"MISS 3PTR by HOWELL,MICHELLE",1,three pointer,missed,sewanee,michelle howell,,1180
2,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,2,--,,,,,"REBOUND DEF by BENHAM,CHELSEA",,,"REBOUND DEF by BENHAM,CHELSEA",1,defensive rebound,,Centre,chelsea benham,,
3,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,3,19:22,,0,,3 (+3),"GOOD 3PTR by BURKE,ALYSON",CENTRE_W 0-3 (+3),,"GOOD 3PTR by BURKE,ALYSON",1,three pointer,good,Centre,alyson burke,3,1162
4,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,4,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
5,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,5,19:10,"MISS 3PTR by HOWELL,MICHELLE",,,,,,,"MISS 3PTR by HOWELL,MICHELLE",1,three pointer,missed,sewanee,michelle howell,,1150
6,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,6,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
7,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,7,19:00,,,,,"TURNOVER  by WINSTEAD,BRIDGET",,,"TURNOVER  by WINSTEAD,BRIDGET",1,turnover,,Centre,bridget winstead,,1140
8,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,8,18:59,"STEAL  by MIDDLETON,DANA",,,,,,,"STEAL  by MIDDLETON,DANA",1,steal,,sewanee,,,1139
9,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,9,18:57,"GOOD LAYUP by MIDDLETON,DANA(in the paint)",2,,3 (+1),,WSEW 2-3 (+1),,"GOOD LAYUP by MIDDLETON,DANA(in the paint)",1,layup,good,sewanee,dana middleton,2,1137
10,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,10,18:43,"BLOCK  by SEWELL,KAYLA",,,,,,,"BLOCK  by SEWELL,KAYLA",1,block,,sewanee,kayla sewell,,1123
11,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,11,18:43,,,,,"MISS LAYUP by PREWITT,MAGGIE",,,"MISS LAYUP by PREWITT,MAGGIE",1,layup,missed,Centre,maggie prewitt,,1123
12,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,12,--,,,,,"REBOUND OFF by HUTER,LAUREN",,,"REBOUND OFF by HUTER,LAUREN",1,offensive rebound,,Centre,lauren huter,,
13,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,13,18:40,,2,,5 (+3),"GOOD LAYUP by HUTER,LAUREN(in the paint)",CENTRE_W 2-5 (+3),,"GOOD LAYUP by HUTER,LAUREN(in the paint)",1,layup,good,Centre,lauren huter,2,1120
14,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,14,18:29,"TURNOVER  by SEWELL,KAYLA",,,,,,,"TURNOVER  by SEWELL,KAYLA",1,turnover,,sewanee,kayla sewell,,1109
15,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,15,18:15,,2,,8 (+6),"GOOD 3PTR by WINSTEAD,BRIDGET",CENTRE_W 2-8 (+6),,"GOOD 3PTR by WINSTEAD,BRIDGET",1,three pointer,good,Centre,bridget winstead,3,1095
16,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,16,--,,,,,"ASSIST  by BURKE,ALYSON",,,"ASSIST  by BURKE,ALYSON",1,assist,,Centre,alyson burke,,
17,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,17,18:04,"MISS LAYUP by MIDDLETON,DANA",,,,,,,"MISS LAYUP by MIDDLETON,DANA",1,layup,missed,sewanee,dana middleton,,1084
18,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,18,18:04,,,,,"BLOCK  by HUTER,LAUREN",,,"BLOCK  by HUTER,LAUREN",1,block,,Centre,lauren huter,,1084
19,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,19,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
20,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,20,17:42,"TURNOVER  by MIDDLETON,DANA",,,,,,,"TURNOVER  by MIDDLETON,DANA",1,turnover,,sewanee,dana middleton,,1062
21,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,21,17:35,,,,,"MISS 3PTR by BURKE,ALYSON",,,"MISS 3PTR by BURKE,ALYSON",1,three pointer,missed,Centre,alyson burke,,1055
22,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,22,--,,,,,"REBOUND OFF by BENHAM,CHELSEA",,,"REBOUND OFF by BENHAM,CHELSEA",1,offensive rebound,,Centre,chelsea benham,,
23,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,23,17:23,,,,,"TURNOVER  by HUTER,LAUREN",,,"TURNOVER  by HUTER,LAUREN",1,turnover,,Centre,lauren huter,,1043
24,20,sewanee,Sewanee,Centre College,81-49,81,49,"37, 44, 81","26, 23, 49",37,44,81,26,23,49,"19-1, 12-0 SCAC","9-11, 3-9 SCAC",02/04/12,Win,521,No Location Recorded,1:00 p.m.,H,24,17:22,"STEAL  by MIDDLETON,DANA",,,,,,,"STEAL  by MIDDLETON,DANA",1,steal,,sewanee,,,1042
