,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,1,19:39,"MISS 3PTR by WINSTEAD,BRIDGET",,,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,1179
2,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,2,--,,,,,"REBOUND DEF by BRANDON,MORGHAN",,,"REBOUND DEF by BRANDON,MORGHAN",1,defensive rebound,,oglethorpe,morghan brandon,,
3,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,3,19:09,,0,,2 (+2),"GOOD LAYUP by JONES,SARAH(in the paint)",OUW 0-2 (-2),,"GOOD LAYUP by JONES,SARAH(in the paint)",1,layup,good,oglethorpe,sarah jones,2,1149
4,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,4,18:47,,,,,"FOUL  by JENKINS,KYANA",,,"FOUL  by JENKINS,KYANA",1,foul,,oglethorpe,kyana jenkins,,1127
5,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,5,18:47,"GOOD FT by HUTER,LAUREN",1,,2 (+1),,CENTRE_W 1-2 (-1),,"GOOD FT by HUTER,LAUREN",1,free throw,good,Centre,lauren huter,1,1127
6,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,6,18:47,"GOOD FT by HUTER,LAUREN",2,,2,,CENTRE_W 2-2 (0),,"GOOD FT by HUTER,LAUREN",1,free throw,good,Centre,lauren huter,1,1127
7,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,7,18:29,,,,,"MISS LAYUP by BRANDON,MORGHAN",,,"MISS LAYUP by BRANDON,MORGHAN",1,layup,missed,oglethorpe,morghan brandon,,1109
8,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,8,--,,,,,"REBOUND OFF by BRANDON,MORGHAN",,,"REBOUND OFF by BRANDON,MORGHAN",1,offensive rebound,,oglethorpe,morghan brandon,,
9,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,9,18:27,,,,,"MISS JUMPER by WEEKS,KATIE",,,"MISS JUMPER by WEEKS,KATIE",1,jumper,missed,oglethorpe,katie weeks,,1107
