,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MILLW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,1,19:47,"MISS JUMPER by JOHNSON,VELVET",,,,,,,"MISS JUMPER by JOHNSON,VELVET",1,jumper,missed,millsaps college,velvet johnson,,1187
2,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,2,--,"REBOUND OFF by MORTON,SHANTE",,,,,,,"REBOUND OFF by MORTON,SHANTE",1,offensive rebound,,millsaps college,shante morton,,
3,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,3,19:41,,,,,"FOUL  by PREWITT,MAGGIE",,,"FOUL  by PREWITT,MAGGIE",1,foul,,Centre,maggie prewitt,,1181
4,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,4,19:41,"GOOD FT by OKEKE,JANICE",1 (+1),,0,,MILLW 1-0 (-1),,"GOOD FT by OKEKE,JANICE",1,free throw,good,millsaps college,janice okeke,1,1181
5,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,5,19:41,"MISS FT by OKEKE,JANICE",,,,,,,"MISS FT by OKEKE,JANICE",1,free throw,missed,millsaps college,janice okeke,,1181
6,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,6,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
7,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,7,19:16,,,,,"MISS 3PTR by BENHAM,CHELSEA",,,"MISS 3PTR by BENHAM,CHELSEA",1,three pointer,missed,Centre,chelsea benham,,1156
8,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,8,--,,,,,"REBOUND OFF by BURKE,ALYSON",,,"REBOUND OFF by BURKE,ALYSON",1,offensive rebound,,Centre,alyson burke,,
9,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,9,19:11,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1,turnover,,Centre,,,1151
10,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,10,18:57,"TURNOVER  by LOVE,LOVIE",,,,,,,"TURNOVER  by LOVE,LOVIE",1,turnover,,millsaps college,lovie love,,1137
11,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,11,18:39,,,,,"TURNOVER  by WINSTEAD,BRIDGET",,,"TURNOVER  by WINSTEAD,BRIDGET",1,turnover,,Centre,bridget winstead,,1119
12,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,12,18:37,"STEAL  by WHITE,SHATOYA",,,,,,,"STEAL  by WHITE,SHATOYA",1,steal,,millsaps college,,,1117
13,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,13,18:32,"GOOD LAYUP by WHITE,SHATOYA(in the paint)",3 (+3),,0,,MILLW 3-0 (-3),,"GOOD LAYUP by WHITE,SHATOYA(in the paint)",1,layup,good,millsaps college,shatoya white,2,1112
14,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,14,18:04,,3 (+1),,2,"GOOD JUMPER by BENHAM,CHELSEA",CENTRE_W 3-2 (-1),,"GOOD JUMPER by BENHAM,CHELSEA",1,jumper,good,Centre,chelsea benham,2,1084
15,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,15,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
16,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,16,17:35,"MISS JUMPER by LOVE,LOVIE",,,,,,,"MISS JUMPER by LOVE,LOVIE",1,jumper,missed,millsaps college,lovie love,,1055
17,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,17,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
18,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,18,17:20,,,,,"TURNOVER  by HUTER,LAUREN",,,"TURNOVER  by HUTER,LAUREN",1,turnover,,Centre,lauren huter,,1040
