,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,1,19:30,"MISS 3PTR by ASHLEY-PAULEY,KATY",,,,,,,"MISS 3PTR by ASHLEY-PAULEY,KATY",1,three pointer,missed,hendrix college,katy ashley-pauley,,1170
2,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,2,--,"REBOUND OFF by BIGGS-SCRIBNER,MAGG",,,,,,,"REBOUND OFF by BIGGS-SCRIBNER,MAGG",1,offensive rebound,,hendrix college,magg biggs-scribner,,
3,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,3,19:23,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1,turnover,,Centre,,,1163
4,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,4,19:10,,0,,3 (+3),"GOOD 3PTR by WINSTEAD,BRIDGET",CENTRE 0-3 (+3),,"GOOD 3PTR by WINSTEAD,BRIDGET",1,three pointer,good,Centre,bridget winstead,3,1150
5,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,5,--,,,,,"ASSIST  by BURKE,ALYSON",,,"ASSIST  by BURKE,ALYSON",1,assist,,Centre,alyson burke,,
6,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,6,18:41,"GOOD LAYUP by ROLLER,AVERY(in the paint)",2,,3 (+1),,HENDRIX 2-3 (+1),,"GOOD LAYUP by ROLLER,AVERY(in the paint)",1,layup,good,hendrix college,avery roller,2,1121
7,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,7,18:20,,2,,5 (+3),"GOOD JUMPER by HUTER,LAUREN(in the paint)",CENTRE 2-5 (+3),,"GOOD JUMPER by HUTER,LAUREN(in the paint)",1,jumper,good,Centre,lauren huter,2,1100
8,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,8,17:57,"MISS JUMPER by DEVLIN,SAMANTHA",,,,,,,"MISS JUMPER by DEVLIN,SAMANTHA",1,jumper,missed,hendrix college,samantha devlin,,1077
9,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,9,--,"REBOUND OFF by DEVLIN,SAMANTHA",,,,,,,"REBOUND OFF by DEVLIN,SAMANTHA",1,offensive rebound,,hendrix college,samantha devlin,,
