,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,opponentScorePeriod1,opponentScorePeriod2,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,1,19:43,,,,,"TURNOVER  by BURKE,ALYSON",,,"TURNOVER  by BURKE,ALYSON",1,turnover,,Centre,alyson burke,,1183
2,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,2,19:34,,,,,"TURNOVER  by PREWITT,MAGGIE",,,"TURNOVER  by PREWITT,MAGGIE",1,turnover,,Centre,maggie prewitt,,1174
3,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,3,19:16,"STEAL  by BELL,SHARWIL",,,,,,,"STEAL  by BELL,SHARWIL",1,steal,,rhodes college,,,1156
4,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,4,19:15,"GOOD LAYUP by BELL,SHARWIL(fastbreak)(in the paint)",2 (+2),,0,,RHODES 2-0 (-2),,"GOOD LAYUP by BELL,SHARWIL(fastbreak)(in the paint)",1,layup,good,rhodes college,sharwil(fastbreak) bell,2,1155
5,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,5,19:09,,2,,3 (+1),"GOOD 3PTR by WINSTEAD,BRIDGET",CENTRE_W 2-3 (+1),,"GOOD 3PTR by WINSTEAD,BRIDGET",1,three pointer,good,Centre,bridget winstead,3,1149
6,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,6,--,,,,,"ASSIST  by BURKE,ALYSON",,,"ASSIST  by BURKE,ALYSON",1,assist,,Centre,alyson burke,,
7,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,7,18:43,"MISS JUMPER by JOHNSON,SARAH",,,,,,,"MISS JUMPER by JOHNSON,SARAH",1,jumper,missed,rhodes college,sarah johnson,,1123
8,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,8,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
9,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,9,18:43,"FOUL  by HANDELMAN,AMY",,,,,,,"FOUL  by HANDELMAN,AMY",1,foul,,rhodes college,amy handelman,,1123
10,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,10,18:30,,,,,"MISS JUMPER by HUTER,LAUREN",,,"MISS JUMPER by HUTER,LAUREN",1,jumper,missed,Centre,lauren huter,,1110
11,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,11,--,"REBOUND DEF by BELL,SHARWIL",,,,,,,"REBOUND DEF by BELL,SHARWIL",1,defensive rebound,,rhodes college,sharwil bell,,
12,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,12,18:12,"TURNOVER  by JOHNSON,SARAH",,,,,,,"TURNOVER  by JOHNSON,SARAH",1,turnover,,rhodes college,sarah johnson,,1092
