,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,CARTHAGE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,1,19:31,,,,,"MISS LAYUP by JACKLIN,DIANA",,,"MISS LAYUP by JACKLIN,DIANA",1,layup,missed,carthage (wis.),diana jacklin,,1171
2,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,2,--,"REBOUND DEF by PREWITT,MAGGIE",,,,,,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
3,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,3,19:18,"GOOD 3PTR by BURKE,ALYSON(fastbreak)",3 (+3),,0,,CENTRE_W 3-0 (+3),,"GOOD 3PTR by BURKE,ALYSON(fastbreak)",1,three pointer,good,Centre,alyson(fastbreak) burke,3,1158
4,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,4,--,"ASSIST  by PREWITT,MAGGIE",,,,,,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
5,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,5,18:25,,,,,"MISS 3PTR by RIPKEY,DANI",,,"MISS 3PTR by RIPKEY,DANI",1,three pointer,missed,carthage (wis.),dani ripkey,,1105
6,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,6,--,"REBOUND DEF by PREWITT,MAGGIE",,,,,,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
7,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,7,18:00,"TURNOVER  by PREWITT,MAGGIE",,,,,,,"TURNOVER  by PREWITT,MAGGIE",1,turnover,,Centre,maggie prewitt,,1080
8,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,8,17:57,,,,,"STEAL  by JACKLIN,DIANA",,,"STEAL  by JACKLIN,DIANA",1,steal,,carthage (wis.),,,1077
9,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,9,17:54,"GOOD JUMPER by BENHAM,CHELSEA(in the paint)",5 (+5),,0,,CENTRE_W 5-0 (+5),,"GOOD JUMPER by BENHAM,CHELSEA(in the paint)",1,jumper,good,Centre,chelsea benham,2,1074
