,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHIT,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,1,19:55,,,,,"MISS 3PTR by BURKE,ALYSON",,,"MISS 3PTR by BURKE,ALYSON",1,three pointer,missed,Centre,alyson burke,,1195
2,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,2,--,"REBOUND DEF by DICKERSON,ALISA",,,,,,,"REBOUND DEF by DICKERSON,ALISA",1,defensive rebound,,rose-hulman,alisa dickerson,,
3,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,3,19:42,"GOOD JUMPER by DICKERSON,ALISA",2 (+2),,0,,RHIT 2-0 (-2),,"GOOD JUMPER by DICKERSON,ALISA",1,jumper,good,rose-hulman,alisa dickerson,2,1182
4,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,4,19:19,,,,,"MISS 3PTR by PREWITT,MAGGIE",,,"MISS 3PTR by PREWITT,MAGGIE",1,three pointer,missed,Centre,maggie prewitt,,1159
5,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,5,--,,,,,"REBOUND OFF by HUTER,LAUREN",,,"REBOUND OFF by HUTER,LAUREN",1,offensive rebound,,Centre,lauren huter,,
6,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,6,18:53,,2,,2,"GOOD JUMPER by PREWITT,MAGGIE",CENTRE 2-2 (0),,"GOOD JUMPER by PREWITT,MAGGIE",1,jumper,good,Centre,maggie prewitt,2,1133
7,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,7,18:42,,,,,"FOUL  by BENHAM,CHELSEA",,,"FOUL  by BENHAM,CHELSEA",1,foul,,Centre,chelsea benham,,1122
8,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,8,18:33,"MISS JUMPER by FINNELL,HEATHER",,,,,,,"MISS JUMPER by FINNELL,HEATHER",1,jumper,missed,rose-hulman,heather finnell,,1113
9,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,9,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
10,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,10,18:26,,,,,"MISS 3PTR by BURKE,ALYSON",,,"MISS 3PTR by BURKE,ALYSON",1,three pointer,missed,Centre,alyson burke,,1106
11,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,11,--,,,,,"REBOUND OFF by BENHAM,CHELSEA",,,"REBOUND OFF by BENHAM,CHELSEA",1,offensive rebound,,Centre,chelsea benham,,
12,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,12,18:22,,2,,4 (+2),"GOOD JUMPER by BENHAM,CHELSEA",CENTRE 2-4 (+2),,"GOOD JUMPER by BENHAM,CHELSEA",1,jumper,good,Centre,chelsea benham,2,1102
