,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TMC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,1,19:44,"GOOD JUMPER by LONG,ALLISON",2 (+2),,0,,TMC 2-0 (-2),,"GOOD JUMPER by LONG,ALLISON",1,jumper,good,thomas more,allison long,2,1184
2,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,2,19:13,,,,,"MISS JUMPER by PREWITT,MAGGIE",,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,1153
3,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,3,--,"REBOUND DEF by KITCHEN,KATIE",,,,,,,"REBOUND DEF by KITCHEN,KATIE",1,defensive rebound,,thomas more,katie kitchen,,
4,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,4,18:58,"MISS 3PTR by LONG,ALLISON",,,,,,,"MISS 3PTR by LONG,ALLISON",1,three pointer,missed,thomas more,allison long,,1138
5,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,5,--,"REBOUND OFF by DIXON,KELLI",,,,,,,"REBOUND OFF by DIXON,KELLI",1,offensive rebound,,thomas more,kelli dixon,,
6,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,6,18:53,"GOOD LAYUP by DIXON,KELLI(in the paint)",4 (+4),,0,,TMC 4-0 (-4),,"GOOD LAYUP by DIXON,KELLI(in the paint)",1,layup,good,thomas more,kelli dixon,2,1133
7,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,7,18:34,,,,,"TURNOVER  by PREWITT,MAGGIE",,,"TURNOVER  by PREWITT,MAGGIE",1,turnover,,Centre,maggie prewitt,,1114
8,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,8,18:32,"STEAL  by BRUNSMAN,JILL",,,,,,,"STEAL  by BRUNSMAN,JILL",1,steal,,thomas more,,,1112
9,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,9,18:29,,,,,"FOUL  by BENHAM,CHELSEA",,,"FOUL  by BENHAM,CHELSEA",1,foul,,Centre,chelsea benham,,1109
