,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,opponentScorePeriod1,opponentScorePeriod2,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,RCWBB12,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,1,20:00,"GOOD 3PTR by BURKE,ALYSON",3 (+3),,0,,CENTRE_W 3-0 (+3),,"GOOD 3PTR by BURKE,ALYSON",1,three pointer,good,Centre,alyson burke,3,1200
2,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,2,19:53,"MISS JUMPER by PREWITT,MAGGIE",,,,,,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,1193
3,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,3,--,"REBOUND OFF by HUTER,LAUREN",,,,,,,"REBOUND OFF by HUTER,LAUREN",1,offensive rebound,,Centre,lauren huter,,
4,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,4,19:38,"GOOD JUMPER by HUTER,LAUREN",5 (+5),,0,,CENTRE_W 5-0 (+5),,"GOOD JUMPER by HUTER,LAUREN",1,jumper,good,Centre,lauren huter,2,1178
5,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,5,19:27,,,,,"TURNOVER  by BELL,SHARWIL",,,"TURNOVER  by BELL,SHARWIL",1,turnover,,rhodes,sharwil bell,,1167
6,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,6,19:11,"MISS JUMPER by BENHAM,CHELSEA",,,,,,,"MISS JUMPER by BENHAM,CHELSEA",1,jumper,missed,Centre,chelsea benham,,1151
7,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,7,--,,,,,"REBOUND DEF by HANDELMAN,AMY",,,"REBOUND DEF by HANDELMAN,AMY",1,defensive rebound,,rhodes,amy handelman,,
8,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,8,18:58,,,,,"MISS JUMPER by WOMACK,SARAH",,,"MISS JUMPER by WOMACK,SARAH",1,jumper,missed,rhodes,sarah womack,,1138
9,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,9,--,"REBOUND DEF by BENHAM,CHELSEA",,,,,,,"REBOUND DEF by BENHAM,CHELSEA",1,defensive rebound,,Centre,chelsea benham,,
10,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,10,17:09,,,,,"FOUL  by MAXEY,JAMIE",,,"FOUL  by MAXEY,JAMIE",1,foul,,rhodes,jamie maxey,,1029
11,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,11,16:40,,5 (+3),,2,"GOOD JUMPER by HANDELMAN,AMY",RCWBB12 5-2 (+3),,"GOOD JUMPER by HANDELMAN,AMY",1,jumper,good,rhodes,amy handelman,2,1000
12,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,12,15:43,"GOOD JUMPER by PREWITT,MAGGIE",7 (+5),,2,,CENTRE_W 7-2 (+5),,"GOOD JUMPER by PREWITT,MAGGIE",1,jumper,good,Centre,maggie prewitt,2,943
13,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,13,15:27,,,,,"FOUL  by BELL,SHARWIL",,,"FOUL  by BELL,SHARWIL",1,foul,,rhodes,sharwil bell,,927
14,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,14,15:16,"MISS JUMPER by GOATLEY,JANE",,,,,,,"MISS JUMPER by GOATLEY,JANE",1,jumper,missed,Centre,jane goatley,,916
15,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,15,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
16,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,16,14:43,"FOUL  by BENHAM,CHELSEA",,,,,,,"FOUL  by BENHAM,CHELSEA",1,foul,,Centre,chelsea benham,,883
17,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,17,14:33,,7 (+2),,5,"GOOD 3PTR by MAXEY,JAMIE",RCWBB12 7-5 (+2),,"GOOD 3PTR by MAXEY,JAMIE",1,three pointer,good,rhodes,jamie maxey,3,873
18,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,18,--,,,,,"ASSIST  by JOHNSON,SARAH",,,"ASSIST  by JOHNSON,SARAH",1,assist,,rhodes,sarah johnson,,
19,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,19,14:33,"MISS JUMPER by BENHAM,CHELSEA",,,,,,,"MISS JUMPER by BENHAM,CHELSEA",1,jumper,missed,Centre,chelsea benham,,873
20,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,20,--,,,,,"REBOUND DEF by BARBER,MARY",,,"REBOUND DEF by BARBER,MARY",1,defensive rebound,,rhodes,mary barber,,
