,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,FCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,1,19:30,,0,,2 (+2),"GOOD JUMPER by BENHAM,CHELSEA(in the paint)",CENTRE_W 0-2 (+2),,"GOOD JUMPER by BENHAM,CHELSEA(in the paint)",1,jumper,good,Centre,chelsea benham,2,1170
2,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,2,19:13,,,,,"FOUL  by WINSTEAD,BRIDGET",,,"FOUL  by WINSTEAD,BRIDGET",1,foul,,Centre,bridget winstead,,1153
3,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,3,19:13,"GOOD FT by SMITH,SHEA",1,,2 (+1),,FCW 1-2 (+1),,"GOOD FT by SMITH,SHEA",1,free throw,good,ferrum,shea smith,1,1153
4,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,4,19:13,"GOOD FT by SMITH,SHEA",2,,2,,FCW 2-2 (0),,"GOOD FT by SMITH,SHEA",1,free throw,good,ferrum,shea smith,1,1153
5,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,5,18:56,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,1136
6,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,6,18:56,"BLOCK  by CULLER,KYLENE",,,,,,,"BLOCK  by CULLER,KYLENE",1,block,,ferrum,kylene culler,,1136
7,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,7,--,"REBOUND DEF by KIPPS,KATY",,,,,,,"REBOUND DEF by KIPPS,KATY",1,defensive rebound,,ferrum,katy kipps,,
8,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,8,18:46,"GOOD LAYUP by HAIRSTON,JACOLE(in the paint)",4 (+2),,2,,FCW 4-2 (-2),,"GOOD LAYUP by HAIRSTON,JACOLE(in the paint)",1,layup,good,ferrum,jacole hairston,2,1126
9,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,9,18:24,,,,,"MISS JUMPER by BENHAM,CHELSEA",,,"MISS JUMPER by BENHAM,CHELSEA",1,jumper,missed,Centre,chelsea benham,,1104
10,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,10,--,"REBOUND DEF by HAIRSTON,JACOLE",,,,,,,"REBOUND DEF by HAIRSTON,JACOLE",1,defensive rebound,,ferrum,jacole hairston,,
11,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,11,18:11,"TURNOVER  by SMITH,SHEA",,,,,,,"TURNOVER  by SMITH,SHEA",1,turnover,,ferrum,shea smith,,1091
12,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,12,18:09,,,,,"STEAL  by BAECHLE,PAIGE",,,"STEAL  by BAECHLE,PAIGE",1,steal,,Centre,,,1089
13,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,13,17:51,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,1071
14,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,14,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
15,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,15,17:50,,,,,"SUB IN by MOORE,HILLARY",,,"SUB IN by MOORE,HILLARY",1,subbing in,,Centre,hillary moore,,1070
16,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,16,17:50,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,1070
17,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,17,17:45,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,1065
18,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,18,--,"REBOUND DEF by CULLER,KYLENE",,,,,,,"REBOUND DEF by CULLER,KYLENE",1,defensive rebound,,ferrum,kylene culler,,
19,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,19,17:21,"GOOD JUMPER by SMITH,SHEA(in the paint)",6 (+4),,2,,FCW 6-2 (-4),,"GOOD JUMPER by SMITH,SHEA(in the paint)",1,jumper,good,ferrum,shea smith,2,1041
20,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,20,17:01,,,,,"TURNOVER  by BENHAM,CHELSEA",,,"TURNOVER  by BENHAM,CHELSEA",1,turnover,,Centre,chelsea benham,,1021
21,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,21,17:01,,,,,"SUB IN by WINSTEAD,MARY",,,"SUB IN by WINSTEAD,MARY",1,subbing in,,Centre,mary winstead,,1021
22,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,22,17:01,,,,,"SUB OUT by MIRE,JENNA",,,"SUB OUT by MIRE,JENNA",1,subbing out,,Centre,jenna mire,,1021
23,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,23,16:45,"GOOD 3PTR by AKERS,TESLA",9 (+7),,2,,FCW 9-2 (-7),,"GOOD 3PTR by AKERS,TESLA",1,three pointer,good,ferrum,tesla akers,3,1005
24,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,24,--,"ASSIST  by SMITH,SHEA",,,,,,,"ASSIST  by SMITH,SHEA",1,assist,,ferrum,shea smith,,
25,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,25,16:18,,,,,"MISS LAYUP by BAECHLE,PAIGE",,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,978
26,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,26,--,,,,,"REBOUND OFF by BAECHLE,PAIGE",,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
27,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,27,16:16,,,,,"MISS LAYUP by BAECHLE,PAIGE",,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,976
28,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,28,16:16,"BLOCK  by KIPPS,KATY",,,,,,,"BLOCK  by KIPPS,KATY",1,block,,ferrum,katy kipps,,976
29,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,29,--,,,,,"REBOUND OFF by BAECHLE,PAIGE",,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
30,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,30,16:08,,,,,"MISS LAYUP by BAECHLE,PAIGE",,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,968
31,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,31,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
32,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,32,16:05,,,,,"FOUL  by BENHAM,CHELSEA",,,"FOUL  by BENHAM,CHELSEA",1,foul,,Centre,chelsea benham,,965
33,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,33,16:01,"MISS LAYUP by HAIRSTON,JACOLE",,,,,,,"MISS LAYUP by HAIRSTON,JACOLE",1,layup,missed,ferrum,jacole hairston,,961
34,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,34,--,"REBOUND OFF by KIPPS,KATY",,,,,,,"REBOUND OFF by KIPPS,KATY",1,offensive rebound,,ferrum,katy kipps,,
35,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,35,15:57,"GOOD LAYUP by KIPPS,KATY(in the paint)",11 (+9),,2,,FCW 11-2 (-9),,"GOOD LAYUP by KIPPS,KATY(in the paint)",1,layup,good,ferrum,katy kipps,2,957
36,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,36,15:39,"FOUL  by KIPPS,KATY",,,,,,,"FOUL  by KIPPS,KATY",1,foul,,ferrum,katy kipps,,939
37,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,37,15:39,,,,,"MISS FT by BENHAM,CHELSEA",,,"MISS FT by BENHAM,CHELSEA",1,free throw,missed,Centre,chelsea benham,,939
38,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,38,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
39,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,39,15:39,,11 (+8),,3,"GOOD FT by BENHAM,CHELSEA",CENTRE_W 11-3 (-8),,"GOOD FT by BENHAM,CHELSEA",1,free throw,good,Centre,chelsea benham,1,939
40,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,40,15:39,"SUB IN by GOINS,KAYLA",,,,,,,"SUB IN by GOINS,KAYLA",1,subbing in,,ferrum,kayla goins,,939
41,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,41,15:39,"SUB IN by CRAWFORD,KEMANI",,,,,,,"SUB IN by CRAWFORD,KEMANI",1,subbing in,,ferrum,kemani crawford,,939
42,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,42,15:39,"SUB OUT by AKERS,TESLA",,,,,,,"SUB OUT by AKERS,TESLA",1,subbing out,,ferrum,tesla akers,,939
43,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,43,15:39,"SUB OUT by CULLER,KYLENE",,,,,,,"SUB OUT by CULLER,KYLENE",1,subbing out,,ferrum,kylene culler,,939
44,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,44,15:39,,,,,"SUB IN by STOUGH,MARY",,,"SUB IN by STOUGH,MARY",1,subbing in,,Centre,mary stough,,939
45,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,45,15:39,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,939
46,11,ferrum,Ferrum,CENTRE,68-79,68,79,"31, 37, 68","35, 44, 79",31,37,68,35,44,79,3-7,7-0,12/29/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,H,46,15:18,"MISS JUMPER by SMITH,SHEA",,,,,,,"MISS JUMPER by SMITH,SHEA",1,jumper,missed,ferrum,shea smith,,918
