,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,RCWBB13,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,1,19:36,,0,,3 (+3),"GOOD 3PTR by JOHNSON,SARAH",RCWBB13 0-3 (-3),,"GOOD 3PTR by JOHNSON,SARAH",1,three pointer,good,rhodes,sarah johnson,3,1176
2,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,2,--,,,,,"ASSIST  by WOMACK,SARAH",,,"ASSIST  by WOMACK,SARAH",1,assist,,rhodes,sarah womack,,
3,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,3,19:11,"TURNOVER  by BAECHLE,PAIGE",,,,,,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,1151
4,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,4,19:11,,,,,"STEAL  by AVANT,LAUREN",,,"STEAL  by AVANT,LAUREN",1,steal,,rhodes,,,1151
5,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,5,19:10,,0,,5 (+5),"GOOD LAYUP by AVANT,LAUREN(fastbreak)(in the paint)",RCWBB13 0-5 (-5),,"GOOD LAYUP by AVANT,LAUREN(fastbreak)(in the paint)",1,layup,good,rhodes,lauren(fastbreak) avant,2,1150
6,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,6,18:46,"GOOD 3PTR by MIRE,JENNA",3,,5 (+2),,CENTREW 3-5 (-2),,"GOOD 3PTR by MIRE,JENNA",1,three pointer,good,Centre,jenna mire,3,1126
7,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,7,18:19,,3,,8 (+5),"GOOD 3PTR by WOMACK,SARAH",RCWBB13 3-8 (-5),,"GOOD 3PTR by WOMACK,SARAH",1,three pointer,good,rhodes,sarah womack,3,1099
8,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,8,--,,,,,"ASSIST  by ECKERT,CATHERINE",,,"ASSIST  by ECKERT,CATHERINE",1,assist,,rhodes,catherine eckert,,
9,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,9,18:06,,,,,"FOUL  by AVANT,LAUREN",,,"FOUL  by AVANT,LAUREN",1,foul,,rhodes,lauren avant,,1086
