,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,1,19:50,"MISS JUMPER by BROBERG,KATI",,,,,,,"MISS JUMPER by BROBERG,KATI",1,jumper,missed,hendrixw,kati broberg,,1190
2,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,2,--,,,,,"REBOUND DEF by BENHAM,CHELSEA",,,"REBOUND DEF by BENHAM,CHELSEA",1,defensive rebound,,Centre,chelsea benham,,
3,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,3,19:50,,0,,3 (+3),"GOOD 3PTR by MIRE,JENNA",CENTRE_W 0-3 (+3),,"GOOD 3PTR by MIRE,JENNA",1,three pointer,good,Centre,jenna mire,3,1190
4,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,4,--,,,,,"ASSIST  by BAECHLE,PAIGE",,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
5,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,5,19:43,,0,,5 (+5),"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",CENTRE_W 0-5 (+5),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,1183
6,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,6,19:35,"TURNOVER  by GALLIEN,KATY",,,,,,,"TURNOVER  by GALLIEN,KATY",1,turnover,,hendrixw,katy gallien,,1175
7,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,7,19:06,,,,,"MISS JUMPER by MIRE,JENNA",,,"MISS JUMPER by MIRE,JENNA",1,jumper,missed,Centre,jenna mire,,1146
8,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,8,--,,,,,"REBOUND OFF by BENHAM,CHELSEA",,,"REBOUND OFF by BENHAM,CHELSEA",1,offensive rebound,,Centre,chelsea benham,,
9,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,9,18:32,"MISS 3PTR by KRIESEL-BIGLER,CAIT",,,,,,,"MISS 3PTR by KRIESEL-BIGLER,CAIT",1,three pointer,missed,hendrixw,cait kriesel-bigler,,1112
10,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,10,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
11,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,11,18:03,,,,,"TURNOVER  by HARTLAGE,MAGGIE",,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,1083
12,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,12,17:41,"MISS LAYUP by KRIESEL-BIGLER,CAIT",,,,,,,"MISS LAYUP by KRIESEL-BIGLER,CAIT",1,layup,missed,hendrixw,cait kriesel-bigler,,1061
