,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,DC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,1,19:44,,0,,3 (+3),"GOOD 3PTR by WINSTEAD,BRIDGET",CENTRE_W 0-3 (+3),,"GOOD 3PTR by WINSTEAD,BRIDGET",1,three pointer,good,Centre,bridget winstead,3,1184
2,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,2,19:15,"GOOD LAYUP by ZACHRICH,MEGAN(in the paint)",2,,3 (+1),,DC 2-3 (+1),,"GOOD LAYUP by ZACHRICH,MEGAN(in the paint)",1,layup,good,defiance college,megan zachrich,2,1155
3,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,3,18:47,,,,,"TURNOVER  by HARTLAGE,MAGGIE",,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,1127
4,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,4,18:47,"STEAL  by ZACHRICH,MEGAN",,,,,,,"STEAL  by ZACHRICH,MEGAN",1,steal,,defiance college,,,1127
5,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,5,18:36,"MISS LAYUP by HARSHMAN,HANNAH",,,,,,,"MISS LAYUP by HARSHMAN,HANNAH",1,layup,missed,defiance college,hannah harshman,,1116
6,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,6,--,,,,,"REBOUND DEF by WINSTEAD,BRIDGET",,,"REBOUND DEF by WINSTEAD,BRIDGET",1,defensive rebound,,Centre,bridget winstead,,
7,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,7,18:25,"FOUL  by COMDEN,KIM",,,,,,,"FOUL  by COMDEN,KIM",1,foul,,defiance college,kim comden,,1105
8,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,8,18:15,,2,,5 (+3),"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",CENTRE_W 2-5 (+3),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,1095
9,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,9,--,,,,,"ASSIST  by MIRE,JENNA",,,"ASSIST  by MIRE,JENNA",1,assist,,Centre,jenna mire,,
10,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,10,17:43,"GOOD 3PTR by KING,ERICA",5,,5,,DC 5-5 (0),,"GOOD 3PTR by KING,ERICA",1,three pointer,good,defiance college,erica king,3,1063
11,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,11,--,"ASSIST  by CIMINILLO,RACHEL",,,,,,,"ASSIST  by CIMINILLO,RACHEL",1,assist,,defiance college,rachel ciminillo,,
12,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,12,17:17,"FOUL  by ZACHRICH,MEGAN",,,,,,,"FOUL  by ZACHRICH,MEGAN",1,foul,,defiance college,megan zachrich,,1037
