,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,1,19:40,"TURNOVER  by HARTLAGE,MAGGIE",,,,,,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,1180
2,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,2,19:39,,,,,"STEAL  by LONG,ALLISON",,,"STEAL  by LONG,ALLISON",1,steal,,thomas more,,,1179
3,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,3,19:37,,0,,2 (+2),"GOOD LAYUP by LONG,ALLISON(fastbreak)(in the paint)",TMC 0-2 (-2),,"GOOD LAYUP by LONG,ALLISON(fastbreak)(in the paint)",1,layup,good,thomas more,allison(fastbreak) long,2,1177
4,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,4,19:12,"GOOD JUMPER by BENHAM,CHELSEA(in the paint)",2,,2,,CENTRE_W 2-2 (0),,"GOOD JUMPER by BENHAM,CHELSEA(in the paint)",1,jumper,good,Centre,chelsea benham,2,1152
5,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,5,18:58,,,,,"MISS 3PTR by KITCHEN,KATIE",,,"MISS 3PTR by KITCHEN,KATIE",1,three pointer,missed,thomas more,katie kitchen,,1138
6,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,6,--,,,,,"REBOUND OFF by GAINES,NAKHARRA",,,"REBOUND OFF by GAINES,NAKHARRA",1,offensive rebound,,thomas more,nakharra gaines,,
7,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,7,18:40,,2,,5 (+3),"GOOD 3PTR by LONG,ALLISON",TMC 2-5 (-3),,"GOOD 3PTR by LONG,ALLISON",1,three pointer,good,thomas more,allison long,3,1120
8,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,8,--,,,,,"ASSIST  by KITCHEN,KATIE",,,"ASSIST  by KITCHEN,KATIE",1,assist,,thomas more,katie kitchen,,
9,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,9,18:22,"TURNOVER  by GUY,ALANNA",,,,,,,"TURNOVER  by GUY,ALANNA",1,turnover,,Centre,alanna guy,,1102
10,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,10,18:20,,,,,"STEAL  by KITCHEN,KATIE",,,"STEAL  by KITCHEN,KATIE",1,steal,,thomas more,,,1100
11,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,11,18:15,,,,,"MISS LAYUP by LONG,ALLISON",,,"MISS LAYUP by LONG,ALLISON",1,layup,missed,thomas more,allison long,,1095
