,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,CALVINW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,1,19:54,,,,,"MISS 3PTR by ENGELHARD,KAYLA",,,"MISS 3PTR by ENGELHARD,KAYLA",1,three pointer,missed,calvin,kayla engelhard,,1194
2,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,2,--,"REBOUND DEF by HARTLAGE,MAGGIE",,,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
3,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,3,19:35,"MISS JUMPER by BENHAM,CHELSEA",,,,,,,"MISS JUMPER by BENHAM,CHELSEA",1,jumper,missed,Centre,chelsea benham,,1175
4,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,4,--,"REBOUND OFF by BAECHLE,PAIGE",,,,,,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
5,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,5,19:31,"GOOD JUMPER by BENHAM,CHELSEA",2 (+2),,0,,CENTRE_W 2-0 (+2),,"GOOD JUMPER by BENHAM,CHELSEA",1,jumper,good,Centre,chelsea benham,2,1171
6,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,6,--,"ASSIST  by BAECHLE,PAIGE",,,,,,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
7,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,7,19:14,,,,,"MISS 3PTR by VERKAIK,CARISSA",,,"MISS 3PTR by VERKAIK,CARISSA",1,three pointer,missed,calvin,carissa verkaik,,1154
8,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,8,--,"REBOUND DEF by BENHAM,CHELSEA",,,,,,,"REBOUND DEF by BENHAM,CHELSEA",1,defensive rebound,,Centre,chelsea benham,,
9,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,9,18:55,"MISS 3PTR by WINSTEAD,BRIDGET",,,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,1135
10,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,10,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,calvin,,,
