,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TMC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,1,19:50,"MISS LAYUP by BURGOYNE,JENNY",,,,,,,"MISS LAYUP by BURGOYNE,JENNY",1,layup,missed,thomas more college,jenny burgoyne,,1190
2,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,2,--,"REBOUND OFF by KITCHEN,KATIE",,,,,,,"REBOUND OFF by KITCHEN,KATIE",1,offensive rebound,,thomas more college,katie kitchen,,
3,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,3,19:48,"GOOD LAYUP by KITCHEN,KATIE(in the paint)",2 (+2),,0,,TMC 2-0 (-2),,"GOOD LAYUP by KITCHEN,KATIE(in the paint)",1,layup,good,thomas more college,katie kitchen,2,1188
4,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,4,19:48,,,,,"FOUL  by HARTLAGE,MAGGIE",,,"FOUL  by HARTLAGE,MAGGIE",1,foul,,Centre,maggie hartlage,,1188
5,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,5,19:48,"GOOD FT by KITCHEN,KATIE",3 (+3),,0,,TMC 3-0 (-3),,"GOOD FT by KITCHEN,KATIE",1,free throw,good,thomas more college,katie kitchen,1,1188
6,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,6,19:36,,,,,"MISS LAYUP by HARTLAGE,MAGGIE",,,"MISS LAYUP by HARTLAGE,MAGGIE",1,layup,missed,Centre,maggie hartlage,,1176
7,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,7,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
8,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,8,19:21,"MISS JUMPER by MOSS,SYDNEY",,,,,,,"MISS JUMPER by MOSS,SYDNEY",1,jumper,missed,thomas more college,sydney moss,,1161
9,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,9,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
