,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,AC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,11,asbury,Asbury University,Centre College,67-68,67,68,"39, 28, 67","35, 33, 68",39,28,67,35,33,68,6-5,10-5,01/02/14,Lose,110,No Location Recorded,7:00 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,11,asbury,Asbury University,Centre College,67-68,67,68,"39, 28, 67","35, 33, 68",39,28,67,35,33,68,6-5,10-5,01/02/14,Lose,110,No Location Recorded,7:00 p.m.,H,1,19:38,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,1178
2,11,asbury,Asbury University,Centre College,67-68,67,68,"39, 28, 67","35, 33, 68",39,28,67,35,33,68,6-5,10-5,01/02/14,Lose,110,No Location Recorded,7:00 p.m.,H,2,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
3,11,asbury,Asbury University,Centre College,67-68,67,68,"39, 28, 67","35, 33, 68",39,28,67,35,33,68,6-5,10-5,01/02/14,Lose,110,No Location Recorded,7:00 p.m.,H,3,19:26,"TURNOVER  by BURR,SAM",,,,,,,"TURNOVER  by BURR,SAM",1,turnover,,asbury university,sam burr,,1166
4,11,asbury,Asbury University,Centre College,67-68,67,68,"39, 28, 67","35, 33, 68",39,28,67,35,33,68,6-5,10-5,01/02/14,Lose,110,No Location Recorded,7:00 p.m.,H,4,19:11,,0,,3 (+3),"GOOD 3PTR by RHULE,BONNIE",CENTRE_W 0-3 (+3),,"GOOD 3PTR by RHULE,BONNIE",1,three pointer,good,Centre,bonnie rhule,3,1151
5,11,asbury,Asbury University,Centre College,67-68,67,68,"39, 28, 67","35, 33, 68",39,28,67,35,33,68,6-5,10-5,01/02/14,Lose,110,No Location Recorded,7:00 p.m.,H,5,--,,,,,"ASSIST  by GUY,ALANNA",,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
6,11,asbury,Asbury University,Centre College,67-68,67,68,"39, 28, 67","35, 33, 68",39,28,67,35,33,68,6-5,10-5,01/02/14,Lose,110,No Location Recorded,7:00 p.m.,H,6,18:42,"GOOD 3PTR by STEINER,ELLIE",3,,3,,AC 3-3 (0),,"GOOD 3PTR by STEINER,ELLIE",1,three pointer,good,asbury university,ellie steiner,3,1122
7,11,asbury,Asbury University,Centre College,67-68,67,68,"39, 28, 67","35, 33, 68",39,28,67,35,33,68,6-5,10-5,01/02/14,Lose,110,No Location Recorded,7:00 p.m.,H,7,--,"ASSIST  by GORBY,KYLEE",,,,,,,"ASSIST  by GORBY,KYLEE",1,assist,,asbury university,kylee gorby,,
8,11,asbury,Asbury University,Centre College,67-68,67,68,"39, 28, 67","35, 33, 68",39,28,67,35,33,68,6-5,10-5,01/02/14,Lose,110,No Location Recorded,7:00 p.m.,H,8,18:14,"FOUL  by STEINER,ELLIE",,,,,,,"FOUL  by STEINER,ELLIE",1,foul,,asbury university,ellie steiner,,1094
9,11,asbury,Asbury University,Centre College,67-68,67,68,"39, 28, 67","35, 33, 68",39,28,67,35,33,68,6-5,10-5,01/02/14,Lose,110,No Location Recorded,7:00 p.m.,H,9,18:08,,,,,"MISS 3PTR by GUY,ALANNA",,,"MISS 3PTR by GUY,ALANNA",1,three pointer,missed,Centre,alanna guy,,1088
