,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CNTRW,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,1,19:45,,,,,"MISS LAYUP by BUCK,EMILY",,,"MISS LAYUP by BUCK,EMILY",1,layup,missed,oglethorpe,emily buck,,1185
2,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,2,--,"REBOUND DEF by RHULE,BONNIE",,,,,,,"REBOUND DEF by RHULE,BONNIE",1,defensive rebound,,Centre,bonnie rhule,,
3,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,3,19:18,"GOOD LAYUP by STOUGH,MARY GORDON(in the paint)",2 (+2),,0,,CNTRW 2-0 (+2),,"GOOD LAYUP by STOUGH,MARY GORDON(in the paint)",1,layup,good,Centre,mary gordon stough,2,1158
4,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,4,18:55,,2,,2,"GOOD LAYUP by BUCK,EMILY(in the paint)",OUW 2-2 (0),,"GOOD LAYUP by BUCK,EMILY(in the paint)",1,layup,good,oglethorpe,emily buck,2,1135
5,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,5,18:36,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",4 (+2),,2,,CNTRW 4-2 (+2),,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",1,layup,good,Centre,maggie hartlage,2,1116
6,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,6,18:16,,,,,"MISS JUMPER by BUCK,EMILY",,,"MISS JUMPER by BUCK,EMILY",1,jumper,missed,oglethorpe,emily buck,,1096
7,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,7,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
8,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,8,17:59,"GOOD JUMPER by HARTLAGE,MAGGIE(in the paint)",6 (+4),,2,,CNTRW 6-2 (+4),,"GOOD JUMPER by HARTLAGE,MAGGIE(in the paint)",1,jumper,good,Centre,maggie hartlage,2,1079
9,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,9,17:44,,,,,"MISS LAYUP by JENKINS,KYANA",,,"MISS LAYUP by JENKINS,KYANA",1,layup,missed,oglethorpe,kyana jenkins,,1064
10,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,10,--,"REBOUND DEF by STOUGH,MARY GORDON",,,,,,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
11,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,11,17:29,"GOOD JUMPER by BAECHLE,PAIGE",8 (+6),,2,,CNTRW 8-2 (+6),,"GOOD JUMPER by BAECHLE,PAIGE",1,jumper,good,Centre,paige baechle,2,1049
12,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,12,--,"ASSIST  by RHULE,BONNIE",,,,,,,"ASSIST  by RHULE,BONNIE",1,assist,,Centre,bonnie rhule,,
13,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,13,17:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,1047
14,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,14,17:08,,,,,"MISS 3PTR by FORTSON,MCKENZIE",,,"MISS 3PTR by FORTSON,MCKENZIE",1,three pointer,missed,oglethorpe,mckenzie fortson,,1028
15,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,15,--,"REBOUND DEF by GUY,ALANNA",,,,,,,"REBOUND DEF by GUY,ALANNA",1,defensive rebound,,Centre,alanna guy,,
16,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,16,17:01,"TURNOVER  by GUY,ALANNA",,,,,,,"TURNOVER  by GUY,ALANNA",1,turnover,,Centre,alanna guy,,1021
17,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,17,16:31,,8 (+4),,4,"GOOD JUMPER by BENTLEY,ALANA",OUW 8-4 (+4),,"GOOD JUMPER by BENTLEY,ALANA",1,jumper,good,oglethorpe,alana bentley,2,991
18,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,18,--,,,,,"ASSIST  by BUCK,EMILY",,,"ASSIST  by BUCK,EMILY",1,assist,,oglethorpe,emily buck,,
19,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,19,16:02,"MISS 3PTR by RHULE,BONNIE",,,,,,,"MISS 3PTR by RHULE,BONNIE",1,three pointer,missed,Centre,bonnie rhule,,962
