,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,BCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,1,19:47,"TURNOVER  by HARTLAGE,MAGGIE",,,,,,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,1187
2,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,2,19:32,,0,,2 (+2),"GOOD LAYUP by MCLEAN,MEL(in the paint)",BCW 0-2 (-2),,"GOOD LAYUP by MCLEAN,MEL(in the paint)",1,layup,good,berry,mel mclean,2,1172
3,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,3,--,,,,,"ASSIST  by COOK,EMMA",,,"ASSIST  by COOK,EMMA",1,assist,,berry,emma cook,,
4,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,4,19:12,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",2,,2,,CENTRE_W 2-2 (0),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,1152
5,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,5,--,"ASSIST  by GUY,ALANNA",,,,,,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
6,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,6,18:59,,,,,"MISS LAYUP by COOK,EMMA",,,"MISS LAYUP by COOK,EMMA",1,layup,missed,berry,emma cook,,1139
7,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,7,--,"REBOUND DEF by STOUGH,MARY GORDON",,,,,,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
8,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,8,18:52,"GOOD 3PTR by RHULE,BONNIE(fastbreak)(in the paint)",5 (+3),,2,,CENTRE_W 5-2 (+3),,"GOOD 3PTR by RHULE,BONNIE(fastbreak)(in the paint)",1,three pointer,good,Centre,bonnie(fastbreak) rhule,3,1132
9,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,9,18:35,,,,,"MISS LAYUP by SEGARRA,CHANLIR",,,"MISS LAYUP by SEGARRA,CHANLIR",1,layup,missed,berry,chanlir segarra,,1115
10,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,10,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
11,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,11,18:32,,,,,"TURNOVER  by COOK,EMMA",,,"TURNOVER  by COOK,EMMA",1,turnover,,berry,emma cook,,1112
12,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,12,18:12,"MISS LAYUP by BAECHLE,PAIGE",,,,,,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,1092
13,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,13,--,"REBOUND OFF by BAECHLE,PAIGE",,,,,,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
14,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,14,18:11,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",7 (+5),,2,,CENTRE_W 7-2 (+5),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,1091
15,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,15,17:58,,,,,"MISS 3PTR by TRIMBLE,MAGGIE",,,"MISS 3PTR by TRIMBLE,MAGGIE",1,three pointer,missed,berry,maggie trimble,,1078
16,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,16,--,,,,,"REBOUND OFF by SEGARRA,CHANLIR",,,"REBOUND OFF by SEGARRA,CHANLIR",1,offensive rebound,,berry,chanlir segarra,,
17,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,17,17:44,,,,,"MISS LAYUP by COOK,EMMA",,,"MISS LAYUP by COOK,EMMA",1,layup,missed,berry,emma cook,,1064
18,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,18,--,"REBOUND DEF by STOUGH,MARY GORDON",,,,,,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
19,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,19,17:27,,,,,"FOUL  by MCLURE,VALERIE",,,"FOUL  by MCLURE,VALERIE",1,foul,,berry,valerie mclure,,1047
20,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,20,17:27,,,,,"SUB IN by WALSH,MEGAN",,,"SUB IN by WALSH,MEGAN",1,subbing in,,berry,megan walsh,,1047
21,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,21,17:27,,,,,"SUB OUT by COOK,EMMA",,,"SUB OUT by COOK,EMMA",1,subbing out,,berry,emma cook,,1047
22,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,22,17:10,"MISS LAYUP by STOUGH,MARY GORDON",,,,,,,"MISS LAYUP by STOUGH,MARY GORDON",1,layup,missed,Centre,mary gordon stough,,1030
23,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,23,--,,,,,"REBOUND DEF by SEGARRA,CHANLIR",,,"REBOUND DEF by SEGARRA,CHANLIR",1,defensive rebound,,berry,chanlir segarra,,
24,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,24,16:59,,,,,"MISS LAYUP by WALSH,MEGAN",,,"MISS LAYUP by WALSH,MEGAN",1,layup,missed,berry,megan walsh,,1019
25,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,25,--,"REBOUND DEF by STOUGH,MARY GORDON",,,,,,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
26,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,26,16:49,"GOOD LAYUP by STOUGH,MARY GORDON(in the paint)",9 (+7),,2,,CENTRE_W 9-2 (+7),,"GOOD LAYUP by STOUGH,MARY GORDON(in the paint)",1,layup,good,Centre,mary gordon stough,2,1009
27,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,27,--,"ASSIST  by BAECHLE,PAIGE",,,,,,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
28,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,28,16:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,1006
29,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,29,16:37,,,,,"TURNOVER  by SEGARRA,CHANLIR",,,"TURNOVER  by SEGARRA,CHANLIR",1,turnover,,berry,chanlir segarra,,997
30,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,30,16:35,"STEAL  by BAECHLE,PAIGE",,,,,,,"STEAL  by BAECHLE,PAIGE",1,steal,,Centre,,,995
31,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,31,16:14,"GOOD LAYUP by GUY,ALANNA(in the paint)",11 (+9),,2,,CENTRE_W 11-2 (+9),,"GOOD LAYUP by GUY,ALANNA(in the paint)",1,layup,good,Centre,alanna guy,2,974
32,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,32,16:14,,,,,"FOUL  by SEGARRA,CHANLIR",,,"FOUL  by SEGARRA,CHANLIR",1,foul,,berry,chanlir segarra,,974
33,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,33,16:14,"GOOD FT by GUY,ALANNA",12 (+10),,2,,CENTRE_W 12-2 (+10),,"GOOD FT by GUY,ALANNA",1,free throw,good,Centre,alanna guy,1,974
34,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,34,15:56,,12 (+8),,4,"GOOD LAYUP by MCLURE,VALERIE(in the paint)",BCW 12-4 (+8),,"GOOD LAYUP by MCLURE,VALERIE(in the paint)",1,layup,good,berry,valerie mclure,2,956
35,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,35,--,,,,,"ASSIST  by SEGARRA,CHANLIR",,,"ASSIST  by SEGARRA,CHANLIR",1,assist,,berry,chanlir segarra,,
36,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,36,15:39,"TURNOVER  by BAECHLE,PAIGE",,,,,,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,939
37,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,37,15:37,,,,,"STEAL  by WALSH,MEGAN",,,"STEAL  by WALSH,MEGAN",1,steal,,berry,,,937
38,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,38,15:32,,12 (+5),,7,"GOOD 3PTR by TRIMBLE,MAGGIE",BCW 12-7 (+5),,"GOOD 3PTR by TRIMBLE,MAGGIE",1,three pointer,good,berry,maggie trimble,3,932
39,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,39,15:29,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,929
40,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,40,15:22,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,922
41,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,41,15:22,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,922
42,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,42,15:19,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",14 (+7),,7,,CENTRE_W 14-7 (+7),,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",1,layup,good,Centre,maggie hartlage,2,919
43,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,43,15:01,,,,,"TURNOVER  by WALSH,MEGAN",,,"TURNOVER  by WALSH,MEGAN",1,turnover,,berry,megan walsh,,901
44,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,44,14:59,"STEAL  by BAECHLE,PAIGE",,,,,,,"STEAL  by BAECHLE,PAIGE",1,steal,,Centre,,,899
45,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,45,14:41,"TURNOVER  by STOUGH,MARY GORDON",,,,,,,"TURNOVER  by STOUGH,MARY GORDON",1,turnover,,Centre,mary gordon stough,,881
46,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,46,14:40,,,,,"STEAL  by MCLEAN,MEL",,,"STEAL  by MCLEAN,MEL",1,steal,,berry,,,880
47,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,47,14:37,,14 (+5),,9,"GOOD LAYUP by SEGARRA,CHANLIR(fastbreak)(in the paint)",BCW 14-9 (+5),,"GOOD LAYUP by SEGARRA,CHANLIR(fastbreak)(in the paint)",1,layup,good,berry,chanlir(fastbreak) segarra,2,877
48,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,48,--,,,,,"ASSIST  by MCLEAN,MEL",,,"ASSIST  by MCLEAN,MEL",1,assist,,berry,mel mclean,,
49,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,49,14:22,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",16 (+7),,9,,CENTRE_W 16-9 (+7),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,862
50,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,50,--,"ASSIST  by HARTLAGE,MAGGIE",,,,,,,"ASSIST  by HARTLAGE,MAGGIE",1,assist,,Centre,maggie hartlage,,
51,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,51,14:03,,,,,"MISS JUMPER by TRIMBLE,MAGGIE",,,"MISS JUMPER by TRIMBLE,MAGGIE",1,jumper,missed,berry,maggie trimble,,843
52,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,52,--,"REBOUND DEF by ANDREASSEN,CAROLINE",,,,,,,"REBOUND DEF by ANDREASSEN,CAROLINE",1,defensive rebound,,Centre,caroline andreassen,,
53,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,53,13:52,"TURNOVER  by STOUGH,MARY GORDON",,,,,,,"TURNOVER  by STOUGH,MARY GORDON",1,turnover,,Centre,mary gordon stough,,832
54,17,berry,Centre,Berry,70-77,70,77,"37, 33, 70","35, 42, 77",37,33,70,35,42,77,"11-6, 5-1","10-7, 3-3",01/26/14,Lose,300,No Location Recorded,1 p.m.,A,54,13:52,"SUB IN by GUY,ALEXIS",,,,,,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,832
