,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,1,19:49,,0,,2 (+2),"GOOD JUMPER by BAECHLE,PAIGE",CENTRE_W 0-2 (+2),,"GOOD JUMPER by BAECHLE,PAIGE",1,jumper,good,Centre,paige baechle,2,1189
2,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,2,--,,,,,"ASSIST  by GUY,ALANNA",,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
3,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,3,19:18,"GOOD JUMPER by CULPEPPER,KENDELLE",2,,2,,OUW 2-2 (0),,"GOOD JUMPER by CULPEPPER,KENDELLE",1,jumper,good,oglethorpe university,kendelle culpepper,2,1158
4,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,4,--,"ASSIST  by JENKINS,KYANA",,,,,,,"ASSIST  by JENKINS,KYANA",1,assist,,oglethorpe university,kyana jenkins,,
5,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,5,18:58,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,1138
6,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,6,--,"REBOUND DEF by CULPEPPER,KENDELLE",,,,,,,"REBOUND DEF by CULPEPPER,KENDELLE",1,defensive rebound,,oglethorpe university,kendelle culpepper,,
7,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,7,18:38,"TURNOVER  by JENKINS,KYANA",,,,,,,"TURNOVER  by JENKINS,KYANA",1,turnover,,oglethorpe university,kyana jenkins,,1118
8,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,8,18:38,,,,,"STEAL  by RHULE,BONNIE",,,"STEAL  by RHULE,BONNIE",1,steal,,Centre,,,1118
9,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,9,18:23,,2,,4 (+2),"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",CENTRE_W 2-4 (+2),,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",1,layup,good,Centre,maggie hartlage,2,1103
10,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,10,18:06,"MISS JUMPER by BLECKLEY,ALI",,,,,,,"MISS JUMPER by BLECKLEY,ALI",1,jumper,missed,oglethorpe university,ali bleckley,,1086
11,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,11,--,,,,,"REBOUND DEF by GUY,ALANNA",,,"REBOUND DEF by GUY,ALANNA",1,defensive rebound,,Centre,alanna guy,,
12,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,12,18:02,,,,,"TURNOVER  by GUY,ALANNA",,,"TURNOVER  by GUY,ALANNA",1,turnover,,Centre,alanna guy,,1082
13,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,13,18:00,"MISS 3PTR by CULPEPPER,KENDELLE",,,,,,,"MISS 3PTR by CULPEPPER,KENDELLE",1,three pointer,missed,oglethorpe university,kendelle culpepper,,1080
14,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,14,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
15,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,15,17:53,"FOUL  by CULPEPPER,KENDELLE",,,,,,,"FOUL  by CULPEPPER,KENDELLE",1,foul,,oglethorpe university,kendelle culpepper,,1073
