,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,1,19:48,,,,,"MISS 3PTR by RANDLE,KELLI",,,"MISS 3PTR by RANDLE,KELLI",1,three pointer,missed,millsapw,kelli randle,,1188
2,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,2,--,"REBOUND DEF by HARTLAGE,MAGGIE",,,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
3,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,3,19:38,"MISS 3PTR by HARTLAGE,MAGGIE",,,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,1178
4,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,4,--,,,,,"REBOUND DEF by JOHNSON,VELVET",,,"REBOUND DEF by JOHNSON,VELVET",1,defensive rebound,,millsapw,velvet johnson,,
5,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,5,19:28,,0,,2 (+2),"GOOD JUMPER by PEREZ,SAM(fastbreak)(in the paint)",MILLSAPW 0-2 (-2),,"GOOD JUMPER by PEREZ,SAM(fastbreak)(in the paint)",1,jumper,good,millsapw,sam(fastbreak) perez,2,1168
6,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,6,--,,,,,"ASSIST  by JOHNSON,VELVET",,,"ASSIST  by JOHNSON,VELVET",1,assist,,millsapw,velvet johnson,,
7,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,7,19:04,"MISS 3PTR by GUY,ALANNA",,,,,,,"MISS 3PTR by GUY,ALANNA",1,three pointer,missed,Centre,alanna guy,,1144
8,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,8,--,,,,,"REBOUND DEF by FREEMAN,KALA",,,"REBOUND DEF by FREEMAN,KALA",1,defensive rebound,,millsapw,kala freeman,,
9,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,9,18:57,"FOUL  by GUY,ALANNA",,,,,,,"FOUL  by GUY,ALANNA",1,foul,,Centre,alanna guy,,1137
10,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,10,18:49,,,,,"TURNOVER  by RANDLE,KELLI",,,"TURNOVER  by RANDLE,KELLI",1,turnover,,millsapw,kelli randle,,1129
11,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,11,18:48,"STEAL  by GUY,ALANNA",,,,,,,"STEAL  by GUY,ALANNA",1,steal,,Centre,,,1128
12,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,12,18:24,"MISS LAYUP by STOUGH,MARY GORDON",,,,,,,"MISS LAYUP by STOUGH,MARY GORDON",1,layup,missed,Centre,mary gordon stough,,1104
13,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,13,--,"REBOUND OFF by STOUGH,MARY GORDON",,,,,,,"REBOUND OFF by STOUGH,MARY GORDON",1,offensive rebound,,Centre,mary gordon stough,,
14,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,14,18:21,"MISS LAYUP by STOUGH,MARY GORDON",,,,,,,"MISS LAYUP by STOUGH,MARY GORDON",1,layup,missed,Centre,mary gordon stough,,1101
15,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,15,--,,,,,"REBOUND DEF by RANDLE,KELLI",,,"REBOUND DEF by RANDLE,KELLI",1,defensive rebound,,millsapw,kelli randle,,
16,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,16,17:58,,,,,"MISS LAYUP by FREEMAN,KALA",,,"MISS LAYUP by FREEMAN,KALA",1,layup,missed,millsapw,kala freeman,,1078
