,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODESWB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,1,19:38,"GOOD 3PTR by JOHNSON,SARAH",3 (+3),,0,,RHODESWB 3-0 (-3),,"GOOD 3PTR by JOHNSON,SARAH",1,three pointer,good,rhodes college,sarah johnson,3,1178
2,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,2,--,"ASSIST  by DANIELS,SYMONE",,,,,,,"ASSIST  by DANIELS,SYMONE",1,assist,,rhodes college,symone daniels,,
3,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,3,19:13,,,,,"TURNOVER  by BAECHLE,PAIGE",,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,1153
4,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,4,18:54,"GOOD 3PTR by GOODRUM,NATALIE",6 (+6),,0,,RHODESWB 6-0 (-6),,"GOOD 3PTR by GOODRUM,NATALIE",1,three pointer,good,rhodes college,natalie goodrum,3,1134
5,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,5,--,"ASSIST  by JOHNSON,SARAH",,,,,,,"ASSIST  by JOHNSON,SARAH",1,assist,,rhodes college,sarah johnson,,
6,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,6,18:33,,,,,"SUB IN by GUY,ALEXIS",,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,1113
7,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,7,18:33,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,1113
8,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,8,18:18,,6 (+4),,2,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",CENTRE_W 6-2 (-4),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,1098
9,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,9,18:04,"MISS JUMPER by AVANT,LAUREN",,,,,,,"MISS JUMPER by AVANT,LAUREN",1,jumper,missed,rhodes college,lauren avant,,1084
