,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,1,19:32,"GOOD JUMPER by NEAL,TAYLOR",2 (+2),,0,,HC 2-0 (-2),,"GOOD JUMPER by NEAL,TAYLOR",1,jumper,good,hendrix,taylor neal,2,1172
2,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,2,19:05,,,,,"MISS LAYUP by GUY,ALANNA",,,"MISS LAYUP by GUY,ALANNA",1,layup,missed,Centre,alanna guy,,1145
3,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,3,--,"REBOUND DEF by TATE,JAMIE",,,,,,,"REBOUND DEF by TATE,JAMIE",1,defensive rebound,,hendrix,jamie tate,,
4,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,4,18:49,"MISS 3PTR by KRIESEL-BIGLER,CAIT",,,,,,,"MISS 3PTR by KRIESEL-BIGLER,CAIT",1,three pointer,missed,hendrix,cait kriesel-bigler,,1129
5,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,5,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
6,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,6,18:27,"FOUL  by TATE,JAMIE",,,,,,,"FOUL  by TATE,JAMIE",1,foul,,hendrix,jamie tate,,1107
7,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,7,18:27,,2 (+1),,1,"GOOD FT by BAECHLE,PAIGE",CENTRE 2-1 (-1),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,1107
8,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,8,18:27,,2,,2,"GOOD FT by BAECHLE,PAIGE",CENTRE 2-2 (0),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,1107
9,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,9,18:07,"FOUL  by COUGHRAN,KATIE",,,,,,,"FOUL  by COUGHRAN,KATIE",1,foul,,hendrix,katie coughran,,1087
10,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,10,18:07,"TURNOVER  by COUGHRAN,KATIE",,,,,,,"TURNOVER  by COUGHRAN,KATIE",1,turnover,,hendrix,katie coughran,,1087
