,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,1,19:48,,,,,"TURNOVER  by JOHNSON,VELVET",,,"TURNOVER  by JOHNSON,VELVET",1,turnover,,millsaps college,velvet johnson,,1188
2,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,2,19:46,"STEAL  by BAECHLE,PAIGE",,,,,,,"STEAL  by BAECHLE,PAIGE",1,steal,,Centre,,,1186
3,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,3,19:27,"MISS 3PTR by GUY,ALANNA",,,,,,,"MISS 3PTR by GUY,ALANNA",1,three pointer,missed,Centre,alanna guy,,1167
4,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,4,--,"REBOUND OFF by BAECHLE,PAIGE",,,,,,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
5,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,5,19:24,"MISS LAYUP by BAECHLE,PAIGE",,,,,,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,1164
6,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,6,--,,,,,"REBOUND DEF by HOLMES,BEVERLY",,,"REBOUND DEF by HOLMES,BEVERLY",1,defensive rebound,,millsaps college,beverly holmes,,
7,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,7,19:13,,,,,"MISS JUMPER by FREEMAN,KALA",,,"MISS JUMPER by FREEMAN,KALA",1,jumper,missed,millsaps college,kala freeman,,1153
8,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,8,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
9,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,9,19:04,"GOOD LAYUP by GUY,ALANNA(in the paint)",2 (+2),,0,,CENTRE 2-0 (+2),,"GOOD LAYUP by GUY,ALANNA(in the paint)",1,layup,good,Centre,alanna guy,2,1144
10,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,10,18:37,,,,,"MISS 3PTR by JOHNSON,VELVET",,,"MISS 3PTR by JOHNSON,VELVET",1,three pointer,missed,millsaps college,velvet johnson,,1117
11,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,11,--,"REBOUND DEF by RHULE,BONNIE",,,,,,,"REBOUND DEF by RHULE,BONNIE",1,defensive rebound,,Centre,bonnie rhule,,
12,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,12,18:30,"TURNOVER  by GUY,ALANNA",,,,,,,"TURNOVER  by GUY,ALANNA",1,turnover,,Centre,alanna guy,,1110
13,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,13,18:28,,,,,"STEAL  by JOHNSON,VELVET",,,"STEAL  by JOHNSON,VELVET",1,steal,,millsaps college,,,1108
14,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,14,18:22,,,,,"TURNOVER  by PEREZ,SAM",,,"TURNOVER  by PEREZ,SAM",1,turnover,,millsaps college,sam perez,,1102
15,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,15,18:09,"MISS LAYUP by STOUGH,MARY GORDON",,,,,,,"MISS LAYUP by STOUGH,MARY GORDON",1,layup,missed,Centre,mary gordon stough,,1089
16,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,16,--,,,,,"REBOUND DEF by BROOKS,MIAH",,,"REBOUND DEF by BROOKS,MIAH",1,defensive rebound,,millsaps college,miah brooks,,
17,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,17,17:46,,2,,2,"GOOD JUMPER by FREEMAN,KALA(in the paint)",MILLSAPS 2-2 (0),,"GOOD JUMPER by FREEMAN,KALA(in the paint)",1,jumper,good,millsaps college,kala freeman,2,1066
18,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,18,--,,,,,"ASSIST  by BROOKS,MIAH",,,"ASSIST  by BROOKS,MIAH",1,assist,,millsaps college,miah brooks,,
19,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,19,17:21,"MISS 3PTR by HARTLAGE,MAGGIE",,,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,1041
20,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,20,--,,,,,"REBOUND DEF by JOHNSON,VELVET",,,"REBOUND DEF by JOHNSON,VELVET",1,defensive rebound,,millsaps college,velvet johnson,,
21,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,21,17:13,,,,,"MISS JUMPER by JOHNSON,VELVET",,,"MISS JUMPER by JOHNSON,VELVET",1,jumper,missed,millsaps college,velvet johnson,,1033
22,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,22,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
23,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,23,16:55,"GOOD JUMPER by BAECHLE,PAIGE(in the paint)",4 (+2),,2,,CENTRE 4-2 (+2),,"GOOD JUMPER by BAECHLE,PAIGE(in the paint)",1,jumper,good,Centre,paige baechle,2,1015
24,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,24,--,"ASSIST  by STOUGH,MARY GORDON",,,,,,,"ASSIST  by STOUGH,MARY GORDON",1,assist,,Centre,mary gordon stough,,
25,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,25,16:25,,,,,"MISS 3PTR by HOLMES,BEVERLY",,,"MISS 3PTR by HOLMES,BEVERLY",1,three pointer,missed,millsaps college,beverly holmes,,985
26,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,26,--,"REBOUND DEF by HARTLAGE,MAGGIE",,,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
27,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,27,16:15,,,,,"FOUL  by BROOKS,MIAH",,,"FOUL  by BROOKS,MIAH",1,foul,,millsaps college,miah brooks,,975
28,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,28,16:15,,,,,"SUB IN by KLUNK,KIM",,,"SUB IN by KLUNK,KIM",1,subbing in,,millsaps college,kim klunk,,975
29,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,29,16:15,,,,,"SUB IN by JOHNSON,BRIA",,,"SUB IN by JOHNSON,BRIA",1,subbing in,,millsaps college,bria johnson,,975
30,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,30,16:15,,,,,"SUB OUT by BROOKS,MIAH",,,"SUB OUT by BROOKS,MIAH",1,subbing out,,millsaps college,miah brooks,,975
31,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,31,16:15,,,,,"SUB OUT by HOLMES,BEVERLY",,,"SUB OUT by HOLMES,BEVERLY",1,subbing out,,millsaps college,beverly holmes,,975
32,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,32,16:05,"GOOD JUMPER by STOUGH,MARY GORDON(in the paint)",6 (+4),,2,,CENTRE 6-2 (+4),,"GOOD JUMPER by STOUGH,MARY GORDON(in the paint)",1,jumper,good,Centre,mary gordon stough,2,965
33,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,33,--,"ASSIST  by GUY,ALANNA",,,,,,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
34,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,34,15:52,"FOUL  by GUY,ALANNA",,,,,,,"FOUL  by GUY,ALANNA",1,foul,,Centre,alanna guy,,952
35,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,35,15:52,,,,,"MISS FT by PEREZ,SAM",,,"MISS FT by PEREZ,SAM",1,free throw,missed,millsaps college,sam perez,,952
36,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,36,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,millsaps college,,,
37,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,37,15:52,,6 (+3),,3,"GOOD FT by PEREZ,SAM",MILLSAPS 6-3 (+3),,"GOOD FT by PEREZ,SAM",1,free throw,good,millsaps college,sam perez,1,952
38,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,38,15:52,"SUB IN by GUY,ALEXIS",,,,,,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,952
39,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,39,15:52,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,952
40,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,40,15:28,"TURNOVER  by BAECHLE,PAIGE",,,,,,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,928
41,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,41,15:26,,,,,"STEAL  by PEREZ,SAM",,,"STEAL  by PEREZ,SAM",1,steal,,millsaps college,,,926
42,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,42,15:24,,,,,"TURNOVER  by PEREZ,SAM",,,"TURNOVER  by PEREZ,SAM",1,turnover,,millsaps college,sam perez,,924
43,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,43,15:12,"MISS 3PTR by GUY,ALANNA",,,,,,,"MISS 3PTR by GUY,ALANNA",1,three pointer,missed,Centre,alanna guy,,912
44,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,44,--,"REBOUND OFF by STOUGH,MARY GORDON",,,,,,,"REBOUND OFF by STOUGH,MARY GORDON",1,offensive rebound,,Centre,mary gordon stough,,
45,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,45,14:57,"GOOD 3PTR by HARTLAGE,MAGGIE",9 (+6),,3,,CENTRE 9-3 (+6),,"GOOD 3PTR by HARTLAGE,MAGGIE",1,three pointer,good,Centre,maggie hartlage,3,897
46,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,46,--,"ASSIST  by GUY,ALANNA",,,,,,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
47,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,47,14:31,,9 (+4),,5,"GOOD JUMPER by JOHNSON,VELVET",MILLSAPS 9-5 (+4),,"GOOD JUMPER by JOHNSON,VELVET",1,jumper,good,millsaps college,velvet johnson,2,871
48,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,48,14:09,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",11 (+6),,5,,CENTRE 11-5 (+6),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,849
49,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,49,13:50,,11 (+4),,7,"GOOD JUMPER by FREEMAN,KALA(in the paint)",MILLSAPS 11-7 (+4),,"GOOD JUMPER by FREEMAN,KALA(in the paint)",1,jumper,good,millsaps college,kala freeman,2,830
50,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,50,--,,,,,"ASSIST  by JOHNSON,VELVET",,,"ASSIST  by JOHNSON,VELVET",1,assist,,millsaps college,velvet johnson,,
51,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,51,13:38,"MISS JUMPER by STOUGH,MARY GORDON",,,,,,,"MISS JUMPER by STOUGH,MARY GORDON",1,jumper,missed,Centre,mary gordon stough,,818
52,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,52,--,,,,,"REBOUND DEF by JOHNSON,VELVET",,,"REBOUND DEF by JOHNSON,VELVET",1,defensive rebound,,millsaps college,velvet johnson,,
53,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,53,13:29,,,,,"MISS LAYUP by JOHNSON,VELVET",,,"MISS LAYUP by JOHNSON,VELVET",1,layup,missed,millsaps college,velvet johnson,,809
54,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,54,--,,,,,"REBOUND OFF by FREEMAN,KALA",,,"REBOUND OFF by FREEMAN,KALA",1,offensive rebound,,millsaps college,kala freeman,,
55,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,55,13:27,"FOUL  by BAECHLE,PAIGE",,,,,,,"FOUL  by BAECHLE,PAIGE",1,foul,,Centre,paige baechle,,807
56,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,56,13:27,"SUB IN by RHULE,BONNIE",,,,,,,"SUB IN by RHULE,BONNIE",1,subbing in,,Centre,bonnie rhule,,807
57,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,57,13:27,"SUB IN by COLLIVER,OLIVIA",,,,,,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,807
58,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,58,13:27,"SUB OUT by BAECHLE,PAIGE",,,,,,,"SUB OUT by BAECHLE,PAIGE",1,subbing out,,Centre,paige baechle,,807
59,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,59,13:27,"SUB OUT by HARTLAGE,MAGGIE",,,,,,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,807
60,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,60,13:27,,,,,"SUB IN by BROOKS,MIAH",,,"SUB IN by BROOKS,MIAH",1,subbing in,,millsaps college,miah brooks,,807
61,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,61,13:27,,,,,"SUB IN by EARL,BRITTNEI",,,"SUB IN by EARL,BRITTNEI",1,subbing in,,millsaps college,brittnei earl,,807
62,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,62,13:27,,,,,"SUB IN by HOLMES,BEVERLY",,,"SUB IN by HOLMES,BEVERLY",1,subbing in,,millsaps college,beverly holmes,,807
63,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,63,13:27,,,,,"SUB OUT by KLUNK,KIM",,,"SUB OUT by KLUNK,KIM",1,subbing out,,millsaps college,kim klunk,,807
64,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,64,13:27,,,,,"SUB OUT by JOHNSON,VELVET",,,"SUB OUT by JOHNSON,VELVET",1,subbing out,,millsaps college,velvet johnson,,807
65,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,65,13:27,,,,,"SUB OUT by FREEMAN,KALA",,,"SUB OUT by FREEMAN,KALA",1,subbing out,,millsaps college,kala freeman,,807
66,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,66,13:16,,,,,"SUB IN by WILLIAMS,SUSANNAH",,,"SUB IN by WILLIAMS,SUSANNAH",1,subbing in,,millsaps college,susannah williams,,796
67,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,67,13:16,,,,,"SUB OUT by PEREZ,SAM",,,"SUB OUT by PEREZ,SAM",1,subbing out,,millsaps college,sam perez,,796
68,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,68,13:15,,,,,"MISS LAYUP by BROOKS,MIAH",,,"MISS LAYUP by BROOKS,MIAH",1,layup,missed,millsaps college,miah brooks,,795
69,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,69,--,,,,,"REBOUND OFF by BROOKS,MIAH",,,"REBOUND OFF by BROOKS,MIAH",1,offensive rebound,,millsaps college,miah brooks,,
70,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,70,13:13,,11 (+2),,9,"GOOD LAYUP by BROOKS,MIAH(in the paint)",MILLSAPS 11-9 (+2),,"GOOD LAYUP by BROOKS,MIAH(in the paint)",1,layup,good,millsaps college,miah brooks,2,793
71,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,71,12:54,"GOOD LAYUP by COLLIVER,OLIVIA(in the paint)",13 (+4),,9,,CENTRE 13-9 (+4),,"GOOD LAYUP by COLLIVER,OLIVIA(in the paint)",1,layup,good,Centre,olivia colliver,2,774
72,27,millsaps,Centre College,Millsaps College,78-65,78,65,"39, 39, 78","38, 27, 65",39,39,78,38,27,65,18-9,17-9,03/01/14,Win,583,No Location Recorded,6 p.m.,A,72,12:54,,,,,"SUB IN by JOHNSON,VELVET",,,"SUB IN by JOHNSON,VELVET",1,subbing in,,millsaps college,velvet johnson,,774
