,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,NPU,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,1,19:47,"MISS 3PTR by SHAIN,ANNIE",,,,,,,"MISS 3PTR by SHAIN,ANNIE",1,three pointer,missed,north park,annie shain,,1187
2,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,2,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
3,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,3,19:21,,,,,"MISS 3PTR by RHULE,BONNIE",,,"MISS 3PTR by RHULE,BONNIE",1,three pointer,missed,Centre,bonnie rhule,,1161
4,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,4,--,"REBOUND DEF by TORRES,RACHEL",,,,,,,"REBOUND DEF by TORRES,RACHEL",1,defensive rebound,,north park,rachel torres,,
5,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,5,19:11,"MISS JUMPER by WILLIAMS,DOMINIKQUE",,,,,,,"MISS JUMPER by WILLIAMS,DOMINIKQUE",1,jumper,missed,north park,dominikque williams,,1151
6,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,6,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
7,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,7,18:44,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,1124
8,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,8,--,,,,,"REBOUND OFF by GUY,ALANNA",,,"REBOUND OFF by GUY,ALANNA",1,offensive rebound,,Centre,alanna guy,,
9,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,9,18:39,,0,,2 (+2),"GOOD LAYUP by STOUGH,MARY GORDON(in the paint)",CENTRE_W 0-2 (+2),,"GOOD LAYUP by STOUGH,MARY GORDON(in the paint)",1,layup,good,Centre,mary gordon stough,2,1119
