,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,UCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,1,19:35,,,,,"TURNOVER  by STOUGH,MARY GORDON",,,"TURNOVER  by STOUGH,MARY GORDON",1,turnover,,Centre,mary gordon stough,,1175
2,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,2,19:35,"STEAL  by MOORE,CAITLIN",,,,,,,"STEAL  by MOORE,CAITLIN",1,steal,,university of chicago,,,1175
3,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,3,19:28,"GOOD 3PTR by MUGUIRA,JULIE",3 (+3),,0,,UCW 3-0 (-3),,"GOOD 3PTR by MUGUIRA,JULIE",1,three pointer,good,university of chicago,julie muguira,3,1168
4,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,4,--,"ASSIST  by ELY,MAGGIE",,,,,,,"ASSIST  by ELY,MAGGIE",1,assist,,university of chicago,maggie ely,,
5,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,5,19:00,,,,,"MISS JUMPER by STOUGH,MARY GORDON",,,"MISS JUMPER by STOUGH,MARY GORDON",1,jumper,missed,Centre,mary gordon stough,,1140
6,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,6,--,"REBOUND DEF by MUGUIRA,JULIE",,,,,,,"REBOUND DEF by MUGUIRA,JULIE",1,defensive rebound,,university of chicago,julie muguira,,
7,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,7,18:52,"MISS LAYUP by MOORE,CAITLIN",,,,,,,"MISS LAYUP by MOORE,CAITLIN",1,layup,missed,university of chicago,caitlin moore,,1132
8,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,8,--,,,,,"REBOUND DEF by STOUGH,MARY GORDON",,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
9,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,9,18:40,,,,,"TURNOVER  by STOUGH,MARY GORDON",,,"TURNOVER  by STOUGH,MARY GORDON",1,turnover,,Centre,mary gordon stough,,1120
10,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,10,18:38,"STEAL  by DEVANEY,CLAIRE",,,,,,,"STEAL  by DEVANEY,CLAIRE",1,steal,,university of chicago,,,1118
11,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,11,18:36,"MISS LAYUP by DONOVAN,MORGAN",,,,,,,"MISS LAYUP by DONOVAN,MORGAN",1,layup,missed,university of chicago,morgan donovan,,1116
12,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,12,--,,,,,"REBOUND DEF by STOUGH,MARY GORDON",,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
13,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,13,18:27,,,,,"TURNOVER  by BAECHLE,PAIGE",,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,1107
14,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,14,18:26,"STEAL  by ELY,MAGGIE",,,,,,,"STEAL  by ELY,MAGGIE",1,steal,,university of chicago,,,1106
15,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,15,18:23,"TURNOVER  by MUGUIRA,JULIE",,,,,,,"TURNOVER  by MUGUIRA,JULIE",1,turnover,,university of chicago,julie muguira,,1103
16,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,16,18:06,,3 (+1),,2,"GOOD JUMPER by GUY,ALANNA",CENTRE_W 3-2 (-1),,"GOOD JUMPER by GUY,ALANNA",1,jumper,good,Centre,alanna guy,2,1086
17,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,17,17:51,"TURNOVER  by MOORE,CAITLIN",,,,,,,"TURNOVER  by MOORE,CAITLIN",1,turnover,,university of chicago,caitlin moore,,1071
18,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,18,17:25,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,1045
19,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,19,--,"REBOUND DEF by ELY,MAGGIE",,,,,,,"REBOUND DEF by ELY,MAGGIE",1,defensive rebound,,university of chicago,maggie ely,,
20,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,20,17:14,"MISS 3PTR by MOORE,CAITLIN",,,,,,,"MISS 3PTR by MOORE,CAITLIN",1,three pointer,missed,university of chicago,caitlin moore,,1034
21,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,21,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
22,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,22,17:10,"SUB IN by GREINER,ELLIE",,,,,,,"SUB IN by GREINER,ELLIE",1,subbing in,,university of chicago,ellie greiner,,1030
23,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,23,17:10,"SUB OUT by MUGUIRA,JULIE",,,,,,,"SUB OUT by MUGUIRA,JULIE",1,subbing out,,university of chicago,julie muguira,,1030
24,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,24,16:50,,,,,"TURNOVER  by STOUGH,MARY GORDON",,,"TURNOVER  by STOUGH,MARY GORDON",1,turnover,,Centre,mary gordon stough,,1010
25,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,25,16:49,"STEAL  by MOORE,CAITLIN",,,,,,,"STEAL  by MOORE,CAITLIN",1,steal,,university of chicago,,,1009
26,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,26,16:46,"MISS LAYUP by ELY,MAGGIE",,,,,,,"MISS LAYUP by ELY,MAGGIE",1,layup,missed,university of chicago,maggie ely,,1006
27,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,27,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
28,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,28,16:44,"SUB IN by NORDSTROM,BRITTA",,,,,,,"SUB IN by NORDSTROM,BRITTA",1,subbing in,,university of chicago,britta nordstrom,,1004
29,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,29,16:44,"SUB OUT by ELY,MAGGIE",,,,,,,"SUB OUT by ELY,MAGGIE",1,subbing out,,university of chicago,maggie ely,,1004
30,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,30,16:30,,,,,"MISS LAYUP by BAECHLE,PAIGE",,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,990
31,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,31,--,"REBOUND DEF by GREINER,ELLIE",,,,,,,"REBOUND DEF by GREINER,ELLIE",1,defensive rebound,,university of chicago,ellie greiner,,
32,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,32,16:04,"MISS JUMPER by MOORE,CAITLIN",,,,,,,"MISS JUMPER by MOORE,CAITLIN",1,jumper,missed,university of chicago,caitlin moore,,964
33,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,33,--,,,,,"REBOUND DEF by GUY,ALANNA",,,"REBOUND DEF by GUY,ALANNA",1,defensive rebound,,Centre,alanna guy,,
34,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,34,15:56,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,956
35,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,35,--,"REBOUND DEF by MOORE,CAITLIN",,,,,,,"REBOUND DEF by MOORE,CAITLIN",1,defensive rebound,,university of chicago,caitlin moore,,
36,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,36,15:42,"MISS LAYUP by DONOVAN,MORGAN",,,,,,,"MISS LAYUP by DONOVAN,MORGAN",1,layup,missed,university of chicago,morgan donovan,,942
37,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,37,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
38,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,38,15:40,"SUB IN by ANDERSON,STEPHANIE",,,,,,,"SUB IN by ANDERSON,STEPHANIE",1,subbing in,,university of chicago,stephanie anderson,,940
39,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,39,15:40,"SUB OUT by MOORE,CAITLIN",,,,,,,"SUB OUT by MOORE,CAITLIN",1,subbing out,,university of chicago,caitlin moore,,940
40,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,40,15:40,,,,,"SUB IN by GUY,ALEXIS",,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,940
41,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,41,15:40,,,,,"SUB IN by COLLIVER,OLIVIA",,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,940
42,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,42,15:40,,,,,"SUB OUT by STOUGH,MARY GORDON",,,"SUB OUT by STOUGH,MARY GORDON",1,subbing out,,Centre,mary gordon stough,,940
43,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,43,15:40,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,940
44,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,44,15:15,,,,,"MISS JUMPER by COLLIVER,OLIVIA",,,"MISS JUMPER by COLLIVER,OLIVIA",1,jumper,missed,Centre,olivia colliver,,915
45,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,45,--,"REBOUND DEF by NORDSTROM,BRITTA",,,,,,,"REBOUND DEF by NORDSTROM,BRITTA",1,defensive rebound,,university of chicago,britta nordstrom,,
46,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,46,14:58,"MISS 3PTR by DONOVAN,MORGAN",,,,,,,"MISS 3PTR by DONOVAN,MORGAN",1,three pointer,missed,university of chicago,morgan donovan,,898
47,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,47,--,,,,,"REBOUND DEF by GUY,ALANNA",,,"REBOUND DEF by GUY,ALANNA",1,defensive rebound,,Centre,alanna guy,,
48,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,48,14:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,893
49,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,49,14:53,"SUB IN by SHAW,ALI",,,,,,,"SUB IN by SHAW,ALI",1,subbing in,,university of chicago,ali shaw,,893
50,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,50,14:53,"SUB OUT by DEVANEY,CLAIRE",,,,,,,"SUB OUT by DEVANEY,CLAIRE",1,subbing out,,university of chicago,claire devaney,,893
51,9,chicago,University of Chicago,Centre College,47-50,47,50,"23, 24, 47","24, 26, 50",23,24,47,24,26,50,6-3,5-4,12/18/13,Lose,83,No Location Recorded,6:30 p.m.,H,51,14:40,,3,,5 (+2),"GOOD 3PTR by COLLIVER,OLIVIA",CENTRE_W 3-5 (+2),,"GOOD 3PTR by COLLIVER,OLIVIA",1,three pointer,good,Centre,olivia colliver,3,880
