,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,MVCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,1,19:45,,,,,"FOUL  by HAWN,RACHEL",,,"FOUL  by HAWN,RACHEL",1,foul,,maryville college women,rachel hawn,,1185
2,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,2,19:33,"GOOD LAYUP by GUY,ALEXIS(in the paint)",2 (+2),,0,,CENTRE_W 2-0 (+2),,"GOOD LAYUP by GUY,ALEXIS(in the paint)",1,layup,good,Centre,alexis guy,2,1173
3,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,3,19:10,,,,,"MISS LAYUP by PUCKETT,MACKENZIE",,,"MISS LAYUP by PUCKETT,MACKENZIE",1,layup,missed,maryville college women,mackenzie puckett,,1150
4,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,4,--,,,,,"REBOUND OFF by PUCKETT,MACKENZIE",,,"REBOUND OFF by PUCKETT,MACKENZIE",1,offensive rebound,,maryville college women,mackenzie puckett,,
5,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,5,19:05,,2,,2,"GOOD JUMPER by HAWN,RACHEL(in the paint)",MVCW 2-2 (0),,"GOOD JUMPER by HAWN,RACHEL(in the paint)",1,jumper,good,maryville college women,rachel hawn,2,1145
6,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,6,--,,,,,"ASSIST  by YOUNG,JOANNA",,,"ASSIST  by YOUNG,JOANNA",1,assist,,maryville college women,joanna young,,
7,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,7,18:50,"MISS LAYUP by GUY,ALEXIS",,,,,,,"MISS LAYUP by GUY,ALEXIS",1,layup,missed,Centre,alexis guy,,1130
8,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,8,--,,,,,"REBOUND DEF by BOND,ALEX",,,"REBOUND DEF by BOND,ALEX",1,defensive rebound,,maryville college women,alex bond,,
9,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,9,18:40,,,,,"MISS JUMPER by YOUNG,JOANNA",,,"MISS JUMPER by YOUNG,JOANNA",1,jumper,missed,maryville college women,joanna young,,1120
