,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,1,19:41,"MISS LAYUP by HARTLAGE,MAGGIE",,,,,,,"MISS LAYUP by HARTLAGE,MAGGIE",1,layup,missed,Centre,maggie hartlage,,1181
2,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,2,--,,,,,"REBOUND DEF by FORD,KAYLA",,,"REBOUND DEF by FORD,KAYLA",1,defensive rebound,,birmingham-southern,kayla ford,,
3,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,3,19:31,,,,,"MISS LAYUP by BATTS,JASMYNN",,,"MISS LAYUP by BATTS,JASMYNN",1,layup,missed,birmingham-southern,jasmynn batts,,1171
4,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,4,19:31,"BLOCK  by GUY,ALEXIS",,,,,,,"BLOCK  by GUY,ALEXIS",1,block,,Centre,alexis guy,,1171
5,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,5,--,"REBOUND DEF by GUY,ALEXIS",,,,,,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
6,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,6,19:16,"TURNOVER  by KELLAM,PAIGE",,,,,,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,1156
7,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,7,19:00,,,,,"MISS LAYUP by CARTER,CAMILLIA",,,"MISS LAYUP by CARTER,CAMILLIA",1,layup,missed,birmingham-southern,camillia carter,,1140
8,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,8,--,"REBOUND DEF by GUY,ALEXIS",,,,,,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
9,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,9,18:54,,,,,"FOUL  by HOLMES,JAMEICE",,,"FOUL  by HOLMES,JAMEICE",1,foul,,birmingham-southern,jameice holmes,,1134
10,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,10,18:54,"GOOD FT by GUY,ALEXIS",1 (+1),,0,,CENTRE_W 1-0 (+1),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,1134
