,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREWB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,1,19:42,,0,,2 (+2),"GOOD JUMPER by JOHNSON,VELVET",MILLSAPW 0-2 (-2),,"GOOD JUMPER by JOHNSON,VELVET",1,jumper,good,millsapswbb,velvet johnson,2,1182
2,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,2,19:18,"MISS JUMPER by COLLIVER,OLIVIA",,,,,,,"MISS JUMPER by COLLIVER,OLIVIA",1,jumper,missed,Centre,olivia colliver,,1158
3,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,3,--,,,,,"REBOUND DEF by FREEMAN,KALA",,,"REBOUND DEF by FREEMAN,KALA",1,defensive rebound,,millsapswbb,kala freeman,,
4,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,4,18:52,,,,,"MISS JUMPER by FREEMAN,KALA",,,"MISS JUMPER by FREEMAN,KALA",1,jumper,missed,millsapswbb,kala freeman,,1132
5,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,5,--,"REBOUND DEF by GUY,ALEXIS",,,,,,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
6,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,6,18:41,"MISS 3PTR by GUY,ALEXIS",,,,,,,"MISS 3PTR by GUY,ALEXIS",1,three pointer,missed,Centre,alexis guy,,1121
7,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,7,--,"REBOUND OFF by KELLAM,PAIGE",,,,,,,"REBOUND OFF by KELLAM,PAIGE",1,offensive rebound,,Centre,paige kellam,,
8,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,8,18:35,"MISS LAYUP by KELLAM,PAIGE",,,,,,,"MISS LAYUP by KELLAM,PAIGE",1,layup,missed,Centre,paige kellam,,1115
9,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,9,--,,,,,"REBOUND DEF by BROOKS,MIAH",,,"REBOUND DEF by BROOKS,MIAH",1,defensive rebound,,millsapswbb,miah brooks,,
10,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,10,18:17,,,,,"TURNOVER  by BROOKS,MIAH",,,"TURNOVER  by BROOKS,MIAH",1,turnover,,millsapswbb,miah brooks,,1097
