,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,1,19:44,"MISS JUMPER by WILLIAMS,KALA",,,,,,,"MISS JUMPER by WILLIAMS,KALA",1,jumper,missed,rust,kala williams,,1184
2,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,2,--,,,,,"REBOUND DEF by COLLIVER,OLIVIA",,,"REBOUND DEF by COLLIVER,OLIVIA",1,defensive rebound,,Centre,olivia colliver,,
3,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,3,19:30,,0,,3 (+3),"GOOD 3PTR by GUY,ALEXIS",CENTRE_W 0-3 (+3),,"GOOD 3PTR by GUY,ALEXIS",1,three pointer,good,Centre,alexis guy,3,1170
4,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,4,--,,,,,"ASSIST  by RHULE,BONNIE",,,"ASSIST  by RHULE,BONNIE",1,assist,,Centre,bonnie rhule,,
5,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,5,19:02,"TURNOVER  by WILLIAMS,KALA",,,,,,,"TURNOVER  by WILLIAMS,KALA",1,turnover,,rust,kala williams,,1142
6,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,6,19:00,,,,,"STEAL  by JUDY,MICHELE",,,"STEAL  by JUDY,MICHELE",1,steal,,Centre,,,1140
7,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,7,18:57,,,,,"TURNOVER  by HARTLAGE,MAGGIE",,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,1137
8,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,8,18:40,"MISS 3PTR by WILLIAMS,KALA",,,,,,,"MISS 3PTR by WILLIAMS,KALA",1,three pointer,missed,rust,kala williams,,1120
9,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,9,--,,,,,"REBOUND DEF by JUDY,MICHELE",,,"REBOUND DEF by JUDY,MICHELE",1,defensive rebound,,Centre,michele judy,,
10,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,10,18:32,"FOUL  by GADISON,LATONYA",,,,,,,"FOUL  by GADISON,LATONYA",1,foul,,rust,latonya gadison,,1112
11,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,11,18:32,,0,,4 (+4),"GOOD FT by HARTLAGE,MAGGIE",CENTRE_W 0-4 (+4),,"GOOD FT by HARTLAGE,MAGGIE",1,free throw,good,Centre,maggie hartlage,1,1112
12,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,12,18:32,,0,,5 (+5),"GOOD FT by HARTLAGE,MAGGIE",CENTRE_W 0-5 (+5),,"GOOD FT by HARTLAGE,MAGGIE",1,free throw,good,Centre,maggie hartlage,1,1112
13,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,13,18:06,,,,,"FOUL  by GUY,ALEXIS",,,"FOUL  by GUY,ALEXIS",1,foul,,Centre,alexis guy,,1086
14,2,rust,RUST,Centre College,74-71,74,71,"45, 29, 74","34, 37, 71",45,29,74,34,37,71,1-1,1-3,11/21/14,Win,201,No Location Recorded,7:00 PM,H,14,18:06,"MISS FT by LEWIS,SHERMEKA",,,,,,,"MISS FT by LEWIS,SHERMEKA",1,free throw,missed,rust,shermeka lewis,,1086
