,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Cent,Away Team Score,Play Team Indicator,Home Team Score,Berea,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,1,20:00,,,,,"SUB STARTER by BUTLER,KATELYN",,,"SUB STARTER by BUTLER,KATELYN",1,starter,,berea college,katelyn butler,,1200
2,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,2,20:00,,,,,"SUB STARTER by SMALL,ZACCHEA",,,"SUB STARTER by SMALL,ZACCHEA",1,starter,,berea college,zacchea small,,1200
3,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,3,20:00,,,,,"SUB STARTER by WARREN,JOHNESHA",,,"SUB STARTER by WARREN,JOHNESHA",1,starter,,berea college,johnesha warren,,1200
4,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,4,20:00,,,,,"SUB STARTER by CALHOUN,ALEXUS",,,"SUB STARTER by CALHOUN,ALEXUS",1,starter,,berea college,alexus calhoun,,1200
5,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,5,20:00,,,,,"SUB STARTER by LOVELESS,ANNA",,,"SUB STARTER by LOVELESS,ANNA",1,starter,,berea college,anna loveless,,1200
6,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,6,20:00,"SUB STARTER by COLLIVER,OLIVIA",,,,,,,"SUB STARTER by COLLIVER,OLIVIA",1,starter,,Centre,olivia colliver,,1200
7,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,7,20:00,"SUB STARTER by HARTLAGE,MAGGIE",,,,,,,"SUB STARTER by HARTLAGE,MAGGIE",1,starter,,Centre,maggie hartlage,,1200
8,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,8,20:00,"SUB STARTER by RHULE,BONNIE",,,,,,,"SUB STARTER by RHULE,BONNIE",1,starter,,Centre,bonnie rhule,,1200
9,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,9,20:00,"SUB STARTER by GUY,ALEXIS",,,,,,,"SUB STARTER by GUY,ALEXIS",1,starter,,Centre,alexis guy,,1200
