,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HANOVER,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,1,19:37,"GOOD JUMPER by CAUDILL,MEGAN",2 (+2),,0,,HANOVER 2-0 (-2),,"GOOD JUMPER by CAUDILL,MEGAN",1,jumper,good,hanover college,megan caudill,2,1177
2,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,2,--,"ASSIST  by MALLOY,ASHLEY",,,,,,,"ASSIST  by MALLOY,ASHLEY",1,assist,,hanover college,ashley malloy,,
3,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,3,19:30,,,,,"TURNOVER  by GUY,ALEXIS",,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,1170
4,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,4,19:28,"STEAL  by CAUDILL,MEGAN",,,,,,,"STEAL  by CAUDILL,MEGAN",1,steal,,hanover college,,,1168
5,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,5,19:11,"GOOD JUMPER by CAUDILL,MEGAN",4 (+4),,0,,HANOVER 4-0 (-4),,"GOOD JUMPER by CAUDILL,MEGAN",1,jumper,good,hanover college,megan caudill,2,1151
6,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,6,--,"ASSIST  by NASH,ALLISON",,,,,,,"ASSIST  by NASH,ALLISON",1,assist,,hanover college,allison nash,,
7,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,7,18:54,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,1134
8,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,8,--,"REBOUND DEF by CAUDILL,MEGAN",,,,,,,"REBOUND DEF by CAUDILL,MEGAN",1,defensive rebound,,hanover college,megan caudill,,
9,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,9,18:40,"GOOD JUMPER by NASH,ALLISON",6 (+6),,0,,HANOVER 6-0 (-6),,"GOOD JUMPER by NASH,ALLISON",1,jumper,good,hanover college,allison nash,2,1120
10,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,10,18:31,,,,,"TURNOVER  by MCKNIGHT,KAITLYN",,,"TURNOVER  by MCKNIGHT,KAITLYN",1,turnover,,Centre,kaitlyn mcknight,,1111
11,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,11,18:30,"STEAL  by DAVIDSON,JESSIE",,,,,,,"STEAL  by DAVIDSON,JESSIE",1,steal,,hanover college,,,1110
12,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,12,18:24,,,,,"SUB IN by KELLAM,PAIGE",,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,1104
13,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,13,18:24,,,,,"SUB OUT by MCKNIGHT,KAITLYN",,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,1104
14,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,14,18:20,,,,,"FOUL  by COLLIVER,OLIVIA",,,"FOUL  by COLLIVER,OLIVIA",1,foul,,Centre,olivia colliver,,1100
