,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,AUGIE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,1,19:43,"TURNOVER  by PEZZOPANE,MARISSA",,,,,,,"TURNOVER  by PEZZOPANE,MARISSA",1,turnover,,augustana college,marissa pezzopane,,1183
2,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,2,19:41,,,,,"STEAL  by GUY,ALEXIS",,,"STEAL  by GUY,ALEXIS",1,steal,,Centre,,,1181
3,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,3,19:23,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,1163
4,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,4,--,"REBOUND DEF by PEZZOPANE,MARISSA",,,,,,,"REBOUND DEF by PEZZOPANE,MARISSA",1,defensive rebound,,augustana college,marissa pezzopane,,
5,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,5,19:12,,,,,"FOUL  by HARTLAGE,MAGGIE",,,"FOUL  by HARTLAGE,MAGGIE",1,foul,,Centre,maggie hartlage,,1152
6,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,6,19:09,"MISS JUMPER by VANWATERMEULEN,JENN",,,,,,,"MISS JUMPER by VANWATERMEULEN,JENN",1,jumper,missed,augustana college,jenn vanwatermeulen,,1149
7,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,7,--,"REBOUND OFF by PEZZOPANE,MARISSA",,,,,,,"REBOUND OFF by PEZZOPANE,MARISSA",1,offensive rebound,,augustana college,marissa pezzopane,,
8,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,8,19:06,"GOOD LAYUP by PEZZOPANE,MARISSA(in the paint)",2 (+2),,0,,AUGIE 2-0 (-2),,"GOOD LAYUP by PEZZOPANE,MARISSA(in the paint)",1,layup,good,augustana college,marissa pezzopane,2,1146
9,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,9,18:47,"FOUL  by VANROEYEN,VALERIE",,,,,,,"FOUL  by VANROEYEN,VALERIE",1,foul,,augustana college,valerie vanroeyen,,1127
10,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,10,18:47,,2 (+1),,1,"GOOD FT by GUY,ALEXIS",CENTRE_W 2-1 (-1),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,1127
