,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,GRO,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,1,19:55,,0,,2 (+2),"GOOD JUMPER by HARTLAGE,MAGGIE",CENTRE_W 0-2 (+2),,"GOOD JUMPER by HARTLAGE,MAGGIE",1,jumper,good,Centre,maggie hartlage,2,1195
2,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,2,19:30,"MISS JUMPER by NICKOLOFF,BRANDY",,,,,,,"MISS JUMPER by NICKOLOFF,BRANDY",1,jumper,missed,grove city,brandy nickoloff,,1170
3,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,3,--,,,,,"REBOUND DEF by GUY,ALEXIS",,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
4,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,4,19:21,,0,,5 (+5),"GOOD 3PTR by RHULE,BONNIE",CENTRE_W 0-5 (+5),,"GOOD 3PTR by RHULE,BONNIE",1,three pointer,good,Centre,bonnie rhule,3,1161
5,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,5,--,,,,,"ASSIST  by HARTLAGE,MAGGIE",,,"ASSIST  by HARTLAGE,MAGGIE",1,assist,,Centre,maggie hartlage,,
6,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,6,18:51,"TURNOVER  by ERBELDING,KATHRYN",,,,,,,"TURNOVER  by ERBELDING,KATHRYN",1,turnover,,grove city,kathryn erbelding,,1131
7,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,7,18:50,,,,,"STEAL  by RHULE,BONNIE",,,"STEAL  by RHULE,BONNIE",1,steal,,Centre,,,1130
8,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,8,18:39,,,,,"MISS JUMPER by COLLIVER,OLIVIA",,,"MISS JUMPER by COLLIVER,OLIVIA",1,jumper,missed,Centre,olivia colliver,,1119
9,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,9,--,"REBOUND DEF by MCCLEAN,CAYLEY",,,,,,,"REBOUND DEF by MCCLEAN,CAYLEY",1,defensive rebound,,grove city,cayley mcclean,,
10,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,10,18:08,"GOOD LAYUP by MCCLEAN,CAYLEY(in the paint)",2,,5 (+3),,GRO 2-5 (+3),,"GOOD LAYUP by MCCLEAN,CAYLEY(in the paint)",1,layup,good,grove city,cayley mcclean,2,1088
11,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,11,--,"ASSIST  by NICKOLOFF,BRANDY",,,,,,,"ASSIST  by NICKOLOFF,BRANDY",1,assist,,grove city,brandy nickoloff,,
12,9,grove-city,Grove City,Centre,52-54,52,54,"31, 21, 52","22, 32, 54",31,21,52,22,32,54,3-6,3-5,12/29/14,Lose,251,No Location Recorded,5:00 PM,H,12,17:56,,2,,7 (+5),"GOOD LAYUP by GUY,ALEXIS(in the paint)",CENTRE_W 2-7 (+5),,"GOOD LAYUP by GUY,ALEXIS(in the paint)",1,layup,good,Centre,alexis guy,2,1076
