,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,PCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,1,09:44,,,,,"MISS 3PTR by RUSHTON,MARY KATE",,,"MISS 3PTR by RUSHTON,MARY KATE",1,three pointer,missed,piedmont,mary kate rushton,,584
2,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,2,--,,,,,"REBOUND OFF by SWOSZOWSKI,TAYLOR",,,"REBOUND OFF by SWOSZOWSKI,TAYLOR",1,offensive rebound,,piedmont,taylor swoszowski,,
3,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,3,09:38,,0,,3 (+3),"GOOD 3PTR by SWOSZOWSKI,TAYLOR",PCW 0-3 (-3),,"GOOD 3PTR by SWOSZOWSKI,TAYLOR",1,three pointer,good,piedmont,taylor swoszowski,3,578
4,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,4,09:27,"TURNOVER  by SCHAD,OLIVIA",,,,,,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,567
5,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,5,09:25,,,,,"STEAL  by SWOSZOWSKI,TAYLOR",,,"STEAL  by SWOSZOWSKI,TAYLOR",1,steal,,piedmont,,,565
6,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,6,09:23,,,,,"MISS JUMPER by SWOSZOWSKI,TAYLOR",,,"MISS JUMPER by SWOSZOWSKI,TAYLOR",1,jumper,missed,piedmont,taylor swoszowski,,563
7,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,7,--,,,,,"REBOUND OFF by BARRETT,BRIANNA",,,"REBOUND OFF by BARRETT,BRIANNA",1,offensive rebound,,piedmont,brianna barrett,,
8,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,8,09:00,,,,,"MISS JUMPER by BARRETT,BRIANNA",,,"MISS JUMPER by BARRETT,BRIANNA",1,jumper,missed,piedmont,brianna barrett,,540
9,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,9,09:00,"BLOCK  by STEWART,ABIGAIL",,,,,,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,540
10,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,10,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
11,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,11,08:43,"GOOD JUMPER by MCKNIGHT,KAITLYN",2,,3 (+1),,CENTRE-W 2-3 (-1),,"GOOD JUMPER by MCKNIGHT,KAITLYN",1,jumper,good,Centre,kaitlyn mcknight,2,523
12,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,12,08:24,,2,,5 (+3),"GOOD JUMPER by SULLENS,DAKOTA(in the paint)",PCW 2-5 (-3),,"GOOD JUMPER by SULLENS,DAKOTA(in the paint)",1,jumper,good,piedmont,dakota sullens,2,504
13,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,13,--,,,,,"ASSIST  by BARRETT,BRIANNA",,,"ASSIST  by BARRETT,BRIANNA",1,assist,,piedmont,brianna barrett,,
14,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,14,08:12,,,,,"FOUL  by RUSHTON,MARY KATE",,,"FOUL  by RUSHTON,MARY KATE",1,foul,,piedmont,mary kate rushton,,492
15,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,15,08:12,"GOOD FT by GUY,ALEXIS",3,,5 (+2),,CENTRE-W 3-5 (-2),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,492
16,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,16,08:12,"MISS FT by GUY,ALEXIS",,,,,,,"MISS FT by GUY,ALEXIS",1,free throw,missed,Centre,alexis guy,,492
17,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,17,--,,,,,"REBOUND DEF by RUSHTON,MARY KATE",,,"REBOUND DEF by RUSHTON,MARY KATE",1,defensive rebound,,piedmont,mary kate rushton,,
18,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,18,07:53,,,,,"MISS 3PTR by JONES,LE'SHAUNDA",,,"MISS 3PTR by JONES,LE'SHAUNDA",1,three pointer,missed,piedmont,le'shaunda jones,,473
19,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,19,--,,,,,"REBOUND OFF by JONES,LE'SHAUNDA",,,"REBOUND OFF by JONES,LE'SHAUNDA",1,offensive rebound,,piedmont,le'shaunda jones,,
20,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,20,07:49,,,,,"MISS LAYUP by JONES,LE'SHAUNDA",,,"MISS LAYUP by JONES,LE'SHAUNDA",1,layup,missed,piedmont,le'shaunda jones,,469
21,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,21,07:49,"BLOCK  by MCKNIGHT,KAITLYN",,,,,,,"BLOCK  by MCKNIGHT,KAITLYN",1,block,,Centre,kaitlyn mcknight,,469
22,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,22,--,"REBOUND DEF by MCKNIGHT,KAITLYN",,,,,,,"REBOUND DEF by MCKNIGHT,KAITLYN",1,defensive rebound,,Centre,kaitlyn mcknight,,
