,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SAL,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,1,09:31,,,,,"MISS JUMPER by RHULE,BONNIE",,,"MISS JUMPER by RHULE,BONNIE",1,jumper,missed,Centre,bonnie rhule,,571
2,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,2,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
3,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,3,09:06,,,,,"MISS 3PTR by GUY,ALEXIS",,,"MISS 3PTR by GUY,ALEXIS",1,three pointer,missed,Centre,alexis guy,,546
4,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,4,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
5,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,5,08:56,"MISS JUMPER by WEBB,AALIYAH",,,,,,,"MISS JUMPER by WEBB,AALIYAH",1,jumper,missed,salem,aaliyah webb,,536
6,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,6,--,"REBOUND OFF by LEWIS,QUNTASHEA",,,,,,,"REBOUND OFF by LEWIS,QUNTASHEA",1,offensive rebound,,salem,quntashea lewis,,
7,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,7,08:49,"MISS JUMPER by BLANTON,TAMARA",,,,,,,"MISS JUMPER by BLANTON,TAMARA",1,jumper,missed,salem,tamara blanton,,529
8,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,8,--,,,,,"REBOUND DEF by GUY,ALEXIS",,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
9,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,9,08:29,,,,,"MISS 3PTR by RHULE,BONNIE",,,"MISS 3PTR by RHULE,BONNIE",1,three pointer,missed,Centre,bonnie rhule,,509
10,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,10,--,,,,,"REBOUND OFF by SCHAD,OLIVIA",,,"REBOUND OFF by SCHAD,OLIVIA",1,offensive rebound,,Centre,olivia schad,,
11,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,11,08:20,,0,,2 (+2),"GOOD JUMPER by MCKNIGHT,KAITLYN",CENTRE-W 0-2 (+2),,"GOOD JUMPER by MCKNIGHT,KAITLYN",1,jumper,good,Centre,kaitlyn mcknight,2,500
