,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,centreScorePeriod6,centreScorePeriod7,centreScorePeriod8,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,opponentScorePeriod6,opponentScorePeriod7,opponentScorePeriod8,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,14,hendrix,Hendrix,Centre,76-75,76,75,"11, 11, 18, 7, 8, 11, 10, 76","8, 10, 16, 13, 8, 11, 9, 75",11,11,18,7,8,11,10,76,8,10,16,13,8,11,9,75,"4-10, 2-1 SAA",11-3. 2-1 SAA,01/10/16,Win,375,No Location Recorded,12:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,14,hendrix,Hendrix,Centre,76-75,76,75,"11, 11, 18, 7, 8, 11, 10, 76","8, 10, 16, 13, 8, 11, 9, 75",11,11,18,7,8,11,10,76,8,10,16,13,8,11,9,75,"4-10, 2-1 SAA",11-3. 2-1 SAA,01/10/16,Win,375,No Location Recorded,12:00 PM,H,1,09:35,,,,,"FOUL  by MCKNIGHT,KAITLYN",,,"FOUL  by MCKNIGHT,KAITLYN",1,foul,,Centre,kaitlyn mcknight,,575
2,14,hendrix,Hendrix,Centre,76-75,76,75,"11, 11, 18, 7, 8, 11, 10, 76","8, 10, 16, 13, 8, 11, 9, 75",11,11,18,7,8,11,10,76,8,10,16,13,8,11,9,75,"4-10, 2-1 SAA",11-3. 2-1 SAA,01/10/16,Win,375,No Location Recorded,12:00 PM,H,2,09:18,"GOOD LAYUP by PROWSE,HEATHER(in the paint)",2 (+2),,0,,HC 2-0 (-2),,"GOOD LAYUP by PROWSE,HEATHER(in the paint)",1,layup,good,hendrix,heather prowse,2,558
3,14,hendrix,Hendrix,Centre,76-75,76,75,"11, 11, 18, 7, 8, 11, 10, 76","8, 10, 16, 13, 8, 11, 9, 75",11,11,18,7,8,11,10,76,8,10,16,13,8,11,9,75,"4-10, 2-1 SAA",11-3. 2-1 SAA,01/10/16,Win,375,No Location Recorded,12:00 PM,H,3,--,"ASSIST  by DYSLIN,SARA",,,,,,,"ASSIST  by DYSLIN,SARA",1,assist,,hendrix,sara dyslin,,
4,14,hendrix,Hendrix,Centre,76-75,76,75,"11, 11, 18, 7, 8, 11, 10, 76","8, 10, 16, 13, 8, 11, 9, 75",11,11,18,7,8,11,10,76,8,10,16,13,8,11,9,75,"4-10, 2-1 SAA",11-3. 2-1 SAA,01/10/16,Win,375,No Location Recorded,12:00 PM,H,4,08:51,,,,,"MISS LAYUP by GUY,ALEXIS",,,"MISS LAYUP by GUY,ALEXIS",1,layup,missed,Centre,alexis guy,,531
5,14,hendrix,Hendrix,Centre,76-75,76,75,"11, 11, 18, 7, 8, 11, 10, 76","8, 10, 16, 13, 8, 11, 9, 75",11,11,18,7,8,11,10,76,8,10,16,13,8,11,9,75,"4-10, 2-1 SAA",11-3. 2-1 SAA,01/10/16,Win,375,No Location Recorded,12:00 PM,H,5,08:51,"BLOCK  by GALLIEN,KATY",,,,,,,"BLOCK  by GALLIEN,KATY",1,block,,hendrix,katy gallien,,531
6,14,hendrix,Hendrix,Centre,76-75,76,75,"11, 11, 18, 7, 8, 11, 10, 76","8, 10, 16, 13, 8, 11, 9, 75",11,11,18,7,8,11,10,76,8,10,16,13,8,11,9,75,"4-10, 2-1 SAA",11-3. 2-1 SAA,01/10/16,Win,375,No Location Recorded,12:00 PM,H,6,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
7,14,hendrix,Hendrix,Centre,76-75,76,75,"11, 11, 18, 7, 8, 11, 10, 76","8, 10, 16, 13, 8, 11, 9, 75",11,11,18,7,8,11,10,76,8,10,16,13,8,11,9,75,"4-10, 2-1 SAA",11-3. 2-1 SAA,01/10/16,Win,375,No Location Recorded,12:00 PM,H,7,08:49,,,,,"TURNOVER  by RHULE,BONNIE",,,"TURNOVER  by RHULE,BONNIE",1,turnover,,Centre,bonnie rhule,,529
8,14,hendrix,Hendrix,Centre,76-75,76,75,"11, 11, 18, 7, 8, 11, 10, 76","8, 10, 16, 13, 8, 11, 9, 75",11,11,18,7,8,11,10,76,8,10,16,13,8,11,9,75,"4-10, 2-1 SAA",11-3. 2-1 SAA,01/10/16,Win,375,No Location Recorded,12:00 PM,H,8,08:47,"STEAL  by FORBES,BREANN",,,,,,,"STEAL  by FORBES,BREANN",1,steal,,hendrix,,,527
9,14,hendrix,Hendrix,Centre,76-75,76,75,"11, 11, 18, 7, 8, 11, 10, 76","8, 10, 16, 13, 8, 11, 9, 75",11,11,18,7,8,11,10,76,8,10,16,13,8,11,9,75,"4-10, 2-1 SAA",11-3. 2-1 SAA,01/10/16,Win,375,No Location Recorded,12:00 PM,H,9,08:46,"TURNOVER  by FORBES,BREANN",,,,,,,"TURNOVER  by FORBES,BREANN",1,turnover,,hendrix,breann forbes,,526
