,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,1,09:32,,,,,"MISS LAYUP by HOLMES,JAMEICE",,,"MISS LAYUP by HOLMES,JAMEICE",1,layup,missed,birmingham-southern,jameice holmes,,572
2,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,2,--,,,,,"REBOUND OFF by HOLMES,JAMEICE",,,"REBOUND OFF by HOLMES,JAMEICE",1,offensive rebound,,birmingham-southern,jameice holmes,,
3,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,3,09:30,,,,,"MISS JUMPER by HOLMES,JAMEICE",,,"MISS JUMPER by HOLMES,JAMEICE",1,jumper,missed,birmingham-southern,jameice holmes,,570
4,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,4,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
5,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,5,09:15,,,,,"MISS JUMPER by BRYANT,YORISHA",,,"MISS JUMPER by BRYANT,YORISHA",1,jumper,missed,birmingham-southern,yorisha bryant,,555
6,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,6,--,,,,,"REBOUND OFF by PEURSEM,LAURA VAN",,,"REBOUND OFF by PEURSEM,LAURA VAN",1,offensive rebound,,birmingham-southern,laura van peursem,,
7,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,7,08:58,,,,,"TURNOVER  by PEURSEM,LAURA VAN",,,"TURNOVER  by PEURSEM,LAURA VAN",1,turnover,,birmingham-southern,laura van peursem,,538
8,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,8,08:58,"STEAL  by MCKNIGHT,KAITLYN",,,,,,,"STEAL  by MCKNIGHT,KAITLYN",1,steal,,Centre,,,538
9,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,9,08:28,"GOOD LAYUP by SCHAD,OLIVIA(in the paint)",2 (+2),,0,,CENTREW 2-0 (+2),,"GOOD LAYUP by SCHAD,OLIVIA(in the paint)",1,layup,good,Centre,olivia schad,2,508
10,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,10,08:13,,,,,"MISS 3PTR by PEURSEM,LAURA VAN",,,"MISS 3PTR by PEURSEM,LAURA VAN",1,three pointer,missed,birmingham-southern,laura van peursem,,493
11,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,11,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
12,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,12,07:42,"MISS 3PTR by GUY,ALEXIS",,,,,,,"MISS 3PTR by GUY,ALEXIS",1,three pointer,missed,Centre,alexis guy,,462
13,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,13,--,,,,,"REBOUND DEF by BRYANT,YORISHA",,,"REBOUND DEF by BRYANT,YORISHA",1,defensive rebound,,birmingham-southern,yorisha bryant,,
14,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,14,07:24,,2,,2,"GOOD LAYUP by BRYANT,YORISHA(in the paint)",BSC 2-2 (0),,"GOOD LAYUP by BRYANT,YORISHA(in the paint)",1,layup,good,birmingham-southern,yorisha bryant,2,444
15,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,15,07:11,"MISS 3PTR by RHULE,BONNIE",,,,,,,"MISS 3PTR by RHULE,BONNIE",1,three pointer,missed,Centre,bonnie rhule,,431
16,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,16,--,,,,,"REBOUND DEF by BRYANT,YORISHA",,,"REBOUND DEF by BRYANT,YORISHA",1,defensive rebound,,birmingham-southern,yorisha bryant,,
