,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,MILLWBB,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,17,millsaps,CENTREW,Millsaps,40-42,40,42,"7, 12, 10, 11, 40","11, 8, 11, 12, 42",7,12,10,11,40,11,8,11,12,42,4-13,10-7,01/24/16,Lose,147,No Location Recorded,12:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,17,millsaps,CENTREW,Millsaps,40-42,40,42,"7, 12, 10, 11, 40","11, 8, 11, 12, 42",7,12,10,11,40,11,8,11,12,42,4-13,10-7,01/24/16,Lose,147,No Location Recorded,12:00 PM,A,1,09:34,"MISS JUMPER by MCKNIGHT,KAITLYN",,,,,,,"MISS JUMPER by MCKNIGHT,KAITLYN",1,jumper,missed,Centre,kaitlyn mcknight,,574
2,17,millsaps,CENTREW,Millsaps,40-42,40,42,"7, 12, 10, 11, 40","11, 8, 11, 12, 42",7,12,10,11,40,11,8,11,12,42,4-13,10-7,01/24/16,Lose,147,No Location Recorded,12:00 PM,A,2,--,,,,,"REBOUND DEF by BROOKS,MIAH",,,"REBOUND DEF by BROOKS,MIAH",1,defensive rebound,,millsaps,miah brooks,,
3,17,millsaps,CENTREW,Millsaps,40-42,40,42,"7, 12, 10, 11, 40","11, 8, 11, 12, 42",7,12,10,11,40,11,8,11,12,42,4-13,10-7,01/24/16,Lose,147,No Location Recorded,12:00 PM,A,3,09:14,,,,,"MISS LAYUP by KLUNK,KIM",,,"MISS LAYUP by KLUNK,KIM",1,layup,missed,millsaps,kim klunk,,554
4,17,millsaps,CENTREW,Millsaps,40-42,40,42,"7, 12, 10, 11, 40","11, 8, 11, 12, 42",7,12,10,11,40,11,8,11,12,42,4-13,10-7,01/24/16,Lose,147,No Location Recorded,12:00 PM,A,4,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
5,17,millsaps,CENTREW,Millsaps,40-42,40,42,"7, 12, 10, 11, 40","11, 8, 11, 12, 42",7,12,10,11,40,11,8,11,12,42,4-13,10-7,01/24/16,Lose,147,No Location Recorded,12:00 PM,A,5,08:58,"MISS LAYUP by MCKNIGHT,KAITLYN",,,,,,,"MISS LAYUP by MCKNIGHT,KAITLYN",1,layup,missed,Centre,kaitlyn mcknight,,538
6,17,millsaps,CENTREW,Millsaps,40-42,40,42,"7, 12, 10, 11, 40","11, 8, 11, 12, 42",7,12,10,11,40,11,8,11,12,42,4-13,10-7,01/24/16,Lose,147,No Location Recorded,12:00 PM,A,6,--,,,,,"REBOUND DEF by BROOKS,MIAH",,,"REBOUND DEF by BROOKS,MIAH",1,defensive rebound,,millsaps,miah brooks,,
7,17,millsaps,CENTREW,Millsaps,40-42,40,42,"7, 12, 10, 11, 40","11, 8, 11, 12, 42",7,12,10,11,40,11,8,11,12,42,4-13,10-7,01/24/16,Lose,147,No Location Recorded,12:00 PM,A,7,08:30,,,,,"TURNOVER  by BROOKS,MIAH",,,"TURNOVER  by BROOKS,MIAH",1,turnover,,millsaps,miah brooks,,510
8,17,millsaps,CENTREW,Millsaps,40-42,40,42,"7, 12, 10, 11, 40","11, 8, 11, 12, 42",7,12,10,11,40,11,8,11,12,42,4-13,10-7,01/24/16,Lose,147,No Location Recorded,12:00 PM,A,8,08:10,"MISS LAYUP by STEWART,ABIGAIL",,,,,,,"MISS LAYUP by STEWART,ABIGAIL",1,layup,missed,Centre,abigail stewart,,490
9,17,millsaps,CENTREW,Millsaps,40-42,40,42,"7, 12, 10, 11, 40","11, 8, 11, 12, 42",7,12,10,11,40,11,8,11,12,42,4-13,10-7,01/24/16,Lose,147,No Location Recorded,12:00 PM,A,9,08:10,,,,,"BLOCK  by KLUNK,KIM",,,"BLOCK  by KLUNK,KIM",1,block,,millsaps,kim klunk,,490
