,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MILLWBB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,1,09:35,,,,,"MISS JUMPER by RHULE,BONNIE",,,"MISS JUMPER by RHULE,BONNIE",1,jumper,missed,Centre,bonnie rhule,,575
2,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,2,--,"REBOUND DEF by THOMAS,BRAXTON",,,,,,,"REBOUND DEF by THOMAS,BRAXTON",1,defensive rebound,,millsaps,braxton thomas,,
3,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,3,09:11,,,,,"FOUL  by SCHAD,OLIVIA",,,"FOUL  by SCHAD,OLIVIA",1,foul,,Centre,olivia schad,,551
4,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,4,08:52,"GOOD LAYUP by FREEMAN,KALA-JEWEL(in the paint)",2 (+2),,0,,MILLWBB 2-0 (-2),,"GOOD LAYUP by FREEMAN,KALA-JEWEL(in the paint)",1,layup,good,millsaps,kala-jewel freeman,2,532
5,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,5,--,"ASSIST  by CONNOR,KATIE",,,,,,,"ASSIST  by CONNOR,KATIE",1,assist,,millsaps,katie connor,,
6,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,6,08:25,,,,,"MISS JUMPER by MCKNIGHT,KAITLYN",,,"MISS JUMPER by MCKNIGHT,KAITLYN",1,jumper,missed,Centre,kaitlyn mcknight,,505
7,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,7,--,"REBOUND DEF by THOMAS,BRAXTON",,,,,,,"REBOUND DEF by THOMAS,BRAXTON",1,defensive rebound,,millsaps,braxton thomas,,
8,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,8,07:57,"MISS JUMPER by HOLMES,BEVERLY",,,,,,,"MISS JUMPER by HOLMES,BEVERLY",1,jumper,missed,millsaps,beverly holmes,,477
9,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,9,--,"REBOUND OFF by THOMAS,BRAXTON",,,,,,,"REBOUND OFF by THOMAS,BRAXTON",1,offensive rebound,,millsaps,braxton thomas,,
