,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,1,09:43,"FOUL  by RHULE,BONNIE",,,,,,,"FOUL  by RHULE,BONNIE",1,foul,,Centre,bonnie rhule,,583
2,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,2,09:43,,0,,1 (+1),"GOOD FT by KRIESEL-BIGLER,CAIT",HC 0-1 (-1),,"GOOD FT by KRIESEL-BIGLER,CAIT",1,free throw,good,hendrix,cait kriesel-bigler,1,583
3,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,3,09:43,,0,,2 (+2),"GOOD FT by KRIESEL-BIGLER,CAIT",HC 0-2 (-2),,"GOOD FT by KRIESEL-BIGLER,CAIT",1,free throw,good,hendrix,cait kriesel-bigler,1,583
4,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,4,09:28,,,,,"FOUL  by GALLIEN,KATY",,,"FOUL  by GALLIEN,KATY",1,foul,,hendrix,katy gallien,,568
5,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,5,09:28,"MISS FT by GUY,ALEXIS",,,,,,,"MISS FT by GUY,ALEXIS",1,free throw,missed,Centre,alexis guy,,568
6,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,6,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
7,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,7,09:28,"MISS FT by GUY,ALEXIS",,,,,,,"MISS FT by GUY,ALEXIS",1,free throw,missed,Centre,alexis guy,,568
8,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,8,--,,,,,"REBOUND DEF by DYSLIN,SARA",,,"REBOUND DEF by DYSLIN,SARA",1,defensive rebound,,hendrix,sara dyslin,,
9,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,9,09:10,,,,,"MISS JUMPER by FLORES,ESTRELLA",,,"MISS JUMPER by FLORES,ESTRELLA",1,jumper,missed,hendrix,estrella flores,,550
10,23,hendrix,Centre,Hendrix,55-73,55,73,"7, 15, 15, 18, 55","19, 14, 26, 14, 73",7,15,15,18,55,19,14,26,14,73,"5-18, 3-9 SAA","18-5, 9-3 SAA",02/14/16,Lose,268,No Location Recorded,12 p.m.,A,10,--,,,,,"REBOUND OFF by PROWSE,HEATHER",,,"REBOUND OFF by PROWSE,HEATHER",1,offensive rebound,,hendrix,heather prowse,,
