,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,1,09:47,,0,,2 (+2),"GOOD LAYUP by PROWSE,HEATHER(in the paint)",HC 0-2 (-2),,"GOOD LAYUP by PROWSE,HEATHER(in the paint)",1,layup,good,hendrix,heather prowse,2,587
2,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,2,--,,,,,"ASSIST  by KRIESEL-BIGLER,CAIT",,,"ASSIST  by KRIESEL-BIGLER,CAIT",1,assist,,hendrix,cait kriesel-bigler,,
3,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,3,09:24,"GOOD JUMPER by GUY,ALEXIS(in the paint)",2,,2,,CENTREW 2-2 (0),,"GOOD JUMPER by GUY,ALEXIS(in the paint)",1,jumper,good,Centre,alexis guy,2,564
4,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,4,09:21,,,,,"FOUL  by GALLIEN,KATY",,,"FOUL  by GALLIEN,KATY",1,foul,,hendrix,katy gallien,,561
5,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,5,09:21,"GOOD FT by GUY,ALEXIS",3 (+1),,2,,CENTREW 3-2 (+1),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,561
6,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,6,09:03,,,,,"MISS JUMPER by KRIESEL-BIGLER,CAIT",,,"MISS JUMPER by KRIESEL-BIGLER,CAIT",1,jumper,missed,hendrix,cait kriesel-bigler,,543
7,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,7,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
8,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,8,08:37,"GOOD JUMPER by MCKNIGHT,KAITLYN",5 (+3),,2,,CENTREW 5-2 (+3),,"GOOD JUMPER by MCKNIGHT,KAITLYN",1,jumper,good,Centre,kaitlyn mcknight,2,517
9,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,9,08:25,,5 (+1),,4,"GOOD JUMPER by PROWSE,HEATHER",HC 5-4 (+1),,"GOOD JUMPER by PROWSE,HEATHER",1,jumper,good,hendrix,heather prowse,2,505
