,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MAR-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,1,09:47,"GOOD LAYUP by BURKHARDT,CORRIE(in the paint)",2 (+2),,0,,MAR-W 2-0 (-2),,"GOOD LAYUP by BURKHARDT,CORRIE(in the paint)",1,layup,good,marietta,corrie burkhardt,2,587
2,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,2,--,"ASSIST  by FRASURE,ASHLEY",,,,,,,"ASSIST  by FRASURE,ASHLEY",1,assist,,marietta,ashley frasure,,
3,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,3,09:30,,,,,"MISS LAYUP by MCKNIGHT,KAITLYN",,,"MISS LAYUP by MCKNIGHT,KAITLYN",1,layup,missed,Centre,kaitlyn mcknight,,570
4,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,4,--,"REBOUND DEF by FRASURE,ASHLEY",,,,,,,"REBOUND DEF by FRASURE,ASHLEY",1,defensive rebound,,marietta,ashley frasure,,
5,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,5,09:22,"MISS 3PTR by LIEDTKE,MORGAN",,,,,,,"MISS 3PTR by LIEDTKE,MORGAN",1,three pointer,missed,marietta,morgan liedtke,,562
6,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,6,--,,,,,"REBOUND DEF by RHULE,BONNIE",,,"REBOUND DEF by RHULE,BONNIE",1,defensive rebound,,Centre,bonnie rhule,,
7,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,7,09:04,,,,,"MISS JUMPER by MCKNIGHT,KAITLYN",,,"MISS JUMPER by MCKNIGHT,KAITLYN",1,jumper,missed,Centre,kaitlyn mcknight,,544
8,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,8,--,,,,,"REBOUND OFF by JUDY,MICHELE",,,"REBOUND OFF by JUDY,MICHELE",1,offensive rebound,,Centre,michele judy,,
9,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,9,08:46,,,,,"TURNOVER  by GUY,ALEXIS",,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,526
10,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,10,08:44,"STEAL  by BORICH,BROOKE",,,,,,,"STEAL  by BORICH,BROOKE",1,steal,,marietta,,,524
11,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,11,08:42,"GOOD LAYUP by BORICH,BROOKE(in the paint)",4 (+4),,0,,MAR-W 4-0 (-4),,"GOOD LAYUP by BORICH,BROOKE(in the paint)",1,layup,good,marietta,brooke borich,2,522
12,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,12,--,"ASSIST  by LIEDTKE,MORGAN",,,,,,,"ASSIST  by LIEDTKE,MORGAN",1,assist,,marietta,morgan liedtke,,
13,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,13,08:28,,,,,"TURNOVER  by GUY,ALEXIS",,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,508
14,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,14,08:16,"MISS LAYUP by LIEDTKE,MORGAN",,,,,,,"MISS LAYUP by LIEDTKE,MORGAN",1,layup,missed,marietta,morgan liedtke,,496
15,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,15,--,"REBOUND OFF by FRASURE,ASHLEY",,,,,,,"REBOUND OFF by FRASURE,ASHLEY",1,offensive rebound,,marietta,ashley frasure,,
16,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,16,08:13,"GOOD LAYUP by FRASURE,ASHLEY(in the paint)",6 (+6),,0,,MAR-W 6-0 (-6),,"GOOD LAYUP by FRASURE,ASHLEY(in the paint)",1,layup,good,marietta,ashley frasure,2,493
17,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,17,07:53,,,,,"TURNOVER  by MCKNIGHT,KAITLYN",,,"TURNOVER  by MCKNIGHT,KAITLYN",1,turnover,,Centre,kaitlyn mcknight,,473
18,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,18,07:52,"STEAL  by HERD,AMISHA",,,,,,,"STEAL  by HERD,AMISHA",1,steal,,marietta,,,472
