,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,centreScorePeriod6,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,opponentScorePeriod6,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SPALDING,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,1,09:37,,,,,"MISS LAYUP by GUY,ALEXIS",,,"MISS LAYUP by GUY,ALEXIS",1,layup,missed,Centre,alexis guy,,577
2,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,2,09:37,"BLOCK  by HARDIN,MAYA",,,,,,,"BLOCK  by HARDIN,MAYA",1,block,,spalding,maya hardin,,577
3,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,3,--,"REBOUND DEF by HARDIN,MAYA",,,,,,,"REBOUND DEF by HARDIN,MAYA",1,defensive rebound,,spalding,maya hardin,,
4,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,4,09:17,"GOOD JUMPER by MYERS,MACKENZIE(in the paint)",2 (+2),,0,,SPALDING 2-0 (-2),,"GOOD JUMPER by MYERS,MACKENZIE(in the paint)",1,jumper,good,spalding,mackenzie myers,2,557
5,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,5,--,"ASSIST  by SKAGGS,JULIE",,,,,,,"ASSIST  by SKAGGS,JULIE",1,assist,,spalding,julie skaggs,,
6,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,6,09:04,"FOUL  by MYERS,MACKENZIE",,,,,,,"FOUL  by MYERS,MACKENZIE",1,foul,,spalding,mackenzie myers,,544
7,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,7,08:48,,,,,"MISS JUMPER by MCKNIGHT,KAITLYN",,,"MISS JUMPER by MCKNIGHT,KAITLYN",1,jumper,missed,Centre,kaitlyn mcknight,,528
8,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,8,--,"REBOUND DEF by MYERS,MACKENZIE",,,,,,,"REBOUND DEF by MYERS,MACKENZIE",1,defensive rebound,,spalding,mackenzie myers,,
9,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,9,08:29,"MISS JUMPER by HARDIN,MAYA",,,,,,,"MISS JUMPER by HARDIN,MAYA",1,jumper,missed,spalding,maya hardin,,509
10,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,10,--,,,,,"REBOUND DEF by MCKNIGHT,KAITLYN",,,"REBOUND DEF by MCKNIGHT,KAITLYN",1,defensive rebound,,Centre,kaitlyn mcknight,,
11,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,11,08:11,,,,,"MISS 3PTR by MOORE,KATIE",,,"MISS 3PTR by MOORE,KATIE",1,three pointer,missed,Centre,katie moore,,491
12,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,12,--,,,,,"REBOUND OFF by JUDY,MICHELE",,,"REBOUND OFF by JUDY,MICHELE",1,offensive rebound,,Centre,michele judy,,
13,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,13,08:06,,2,,2,"GOOD LAYUP by JUDY,MICHELE(in the paint)",CENTRE-W 2-2 (0),,"GOOD LAYUP by JUDY,MICHELE(in the paint)",1,layup,good,Centre,michele judy,2,486
14,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,14,07:35,"TURNOVER  by SLITER,DEE DEE",,,,,,,"TURNOVER  by SLITER,DEE DEE",1,turnover,,spalding,dee dee sliter,,455
15,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,15,07:33,,,,,"STEAL  by MOORE,KATIE",,,"STEAL  by MOORE,KATIE",1,steal,,Centre,,,453
16,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,16,07:20,,2,,4 (+2),"GOOD LAYUP by JUDY,MICHELE(in the paint)",CENTRE-W 2-4 (+2),,"GOOD LAYUP by JUDY,MICHELE(in the paint)",1,layup,good,Centre,michele judy,2,440
17,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,17,--,,,,,"ASSIST  by MCKNIGHT,KAITLYN",,,"ASSIST  by MCKNIGHT,KAITLYN",1,assist,,Centre,kaitlyn mcknight,,
18,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,18,06:55,"MISS JUMPER by MYERS,MACKENZIE",,,,,,,"MISS JUMPER by MYERS,MACKENZIE",1,jumper,missed,spalding,mackenzie myers,,415
19,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,19,--,,,,,"REBOUND DEF by JUDY,MICHELE",,,"REBOUND DEF by JUDY,MICHELE",1,defensive rebound,,Centre,michele judy,,
20,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,20,06:46,,,,,"MISS LAYUP by MCKNIGHT,KAITLYN",,,"MISS LAYUP by MCKNIGHT,KAITLYN",1,layup,missed,Centre,kaitlyn mcknight,,406
21,4,spalding,Spalding,Centre,53-62,53,62,"9, 13, 11, 13, 7, 53","7, 10, 7, 22, 16, 62",9,13,11,13,7,53,7,10,7,22,16,62,1-3,3-0,11/24/15,Lose,112,No Location Recorded,7:00 PM,H,21,--,"REBOUND DEF by SKAGGS,JULIE",,,,,,,"REBOUND DEF by SKAGGS,JULIE",1,defensive rebound,,spalding,julie skaggs,,
