,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,1,09:42,"MISS JUMPER by STEWART,ABIGAIL",,,,,,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,582
2,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,2,--,,,,,"REBOUND DEF by SANTAMARIA,ALEXA",,,"REBOUND DEF by SANTAMARIA,ALEXA",1,defensive rebound,,thomas more,alexa santamaria,,
3,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,3,09:27,,0,,3 (+3),"GOOD 3PTR by TEMPLE,MADISON",TMC 0-3 (-3),,"GOOD 3PTR by TEMPLE,MADISON",1,three pointer,good,thomas more,madison temple,3,567
4,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,4,--,,,,,"ASSIST  by MOSS,SYDNEY",,,"ASSIST  by MOSS,SYDNEY",1,assist,,thomas more,sydney moss,,
5,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,5,08:59,"MISS JUMPER by KELLAM,PAIGE",,,,,,,"MISS JUMPER by KELLAM,PAIGE",1,jumper,missed,Centre,paige kellam,,539
6,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,6,--,,,,,"REBOUND DEF by OWINGS,ABBY",,,"REBOUND DEF by OWINGS,ABBY",1,defensive rebound,,thomas more,abby owings,,
7,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,7,08:57,"FOUL  by KELLAM,PAIGE",,,,,,,"FOUL  by KELLAM,PAIGE",1,foul,,Centre,paige kellam,,537
8,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,8,08:39,,,,,"MISS 3PTR by MOSS,SYDNEY",,,"MISS 3PTR by MOSS,SYDNEY",1,three pointer,missed,thomas more,sydney moss,,519
9,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,9,--,,,,,"REBOUND OFF by TEMPLE,MADISON",,,"REBOUND OFF by TEMPLE,MADISON",1,offensive rebound,,thomas more,madison temple,,
