,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HANOVER,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,1,09:41,"MISS JUMPER by STEWART,ABIGAIL",,,,,,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,581
2,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,2,--,,,,,"REBOUND DEF by NASH,ALLISON",,,"REBOUND DEF by NASH,ALLISON",1,defensive rebound,,hanover,allison nash,,
3,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,3,09:10,,0,,3 (+3),"GOOD 3PTR by NASH,ALLISON",HANOVER 0-3 (-3),,"GOOD 3PTR by NASH,ALLISON",1,three pointer,good,hanover,allison nash,3,550
4,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,4,--,,,,,"ASSIST  by MALLOY,ASHLEY",,,"ASSIST  by MALLOY,ASHLEY",1,assist,,hanover,ashley malloy,,
5,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,5,09:00,"TURNOVER  by GUY,ALEXIS",,,,,,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,540
6,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,6,08:51,,,,,"MISS JUMPER by BIVINS,MORGAN",,,"MISS JUMPER by BIVINS,MORGAN",1,jumper,missed,hanover,morgan bivins,,531
7,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,7,08:51,"BLOCK  by STEWART,ABIGAIL",,,,,,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,531
8,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,8,--,"REBOUND DEF by RHULE,BONNIE",,,,,,,"REBOUND DEF by RHULE,BONNIE",1,defensive rebound,,Centre,bonnie rhule,,
9,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,9,08:41,,,,,"FOUL  by NASH,ALLISON",,,"FOUL  by NASH,ALLISON",1,foul,,hanover,allison nash,,521
10,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,10,08:41,"GOOD FT by GUY,ALEXIS",1,,3 (+2),,CENTRE-W 1-3 (-2),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,521
11,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,11,08:41,"GOOD FT by GUY,ALEXIS",2,,3 (+1),,CENTRE-W 2-3 (-1),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,521
12,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,12,08:28,,2,,5 (+3),"GOOD JUMPER by NASH,ALLISON",HANOVER 2-5 (-3),,"GOOD JUMPER by NASH,ALLISON",1,jumper,good,hanover,allison nash,2,508
13,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,13,08:13,"MISS LAYUP by GUY,ALEXIS",,,,,,,"MISS LAYUP by GUY,ALEXIS",1,layup,missed,Centre,alexis guy,,493
14,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,14,--,,,,,"REBOUND DEF by NASH,ALLISON",,,"REBOUND DEF by NASH,ALLISON",1,defensive rebound,,hanover,allison nash,,
15,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,15,08:04,,,,,"MISS 3PTR by NASH,ALLISON",,,"MISS 3PTR by NASH,ALLISON",1,three pointer,missed,hanover,allison nash,,484
16,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,16,--,"REBOUND DEF by GUY,ALEXIS",,,,,,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
17,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,17,07:51,"GOOD LAYUP by STEWART,ABIGAIL(in the paint)",4,,5 (+1),,CENTRE-W 4-5 (-1),,"GOOD LAYUP by STEWART,ABIGAIL(in the paint)",1,layup,good,Centre,abigail stewart,2,471
18,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,18,--,"ASSIST  by MCKNIGHT,KAITLYN",,,,,,,"ASSIST  by MCKNIGHT,KAITLYN",1,assist,,Centre,kaitlyn mcknight,,
19,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,19,07:39,,,,,"MISS JUMPER by NASH,ALLISON",,,"MISS JUMPER by NASH,ALLISON",1,jumper,missed,hanover,allison nash,,459
20,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,20,--,,,,,"REBOUND OFF by MAUPIN,MACI",,,"REBOUND OFF by MAUPIN,MACI",1,offensive rebound,,hanover,maci maupin,,
