,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENW,Away Team Score,Play Team Indicator,Home Team Score,METW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,10,methodist,Centre,Methodist,59-47,59,47,"14, 22, 11, 12, 59","8, 14, 11, 14, 47",14,22,11,12,59,8,14,11,14,47,3-7,2-8,12/18/16,Win,150,No Location Recorded,2 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,10,methodist,Centre,Methodist,59-47,59,47,"14, 22, 11, 12, 59","8, 14, 11, 14, 47",14,22,11,12,59,8,14,11,14,47,3-7,2-8,12/18/16,Win,150,No Location Recorded,2 p.m.,A,1,09:45,"FOUL  by VANCE,DAY",,,,,,,"FOUL  by VANCE,DAY",1,foul,,Centre,day vance,,585
2,10,methodist,Centre,Methodist,59-47,59,47,"14, 22, 11, 12, 59","8, 14, 11, 14, 47",14,22,11,12,59,8,14,11,14,47,3-7,2-8,12/18/16,Win,150,No Location Recorded,2 p.m.,A,2,09:45,,,,,"FOUL  by CAMPBELL,JALISIA",,,"FOUL  by CAMPBELL,JALISIA",1,foul,,methodist,jalisia campbell,,585
3,10,methodist,Centre,Methodist,59-47,59,47,"14, 22, 11, 12, 59","8, 14, 11, 14, 47",14,22,11,12,59,8,14,11,14,47,3-7,2-8,12/18/16,Win,150,No Location Recorded,2 p.m.,A,3,09:45,,,,,"TURNOVER  by CAMPBELL,JALISIA",,,"TURNOVER  by CAMPBELL,JALISIA",1,turnover,,methodist,jalisia campbell,,585
4,10,methodist,Centre,Methodist,59-47,59,47,"14, 22, 11, 12, 59","8, 14, 11, 14, 47",14,22,11,12,59,8,14,11,14,47,3-7,2-8,12/18/16,Win,150,No Location Recorded,2 p.m.,A,4,09:45,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,585
5,10,methodist,Centre,Methodist,59-47,59,47,"14, 22, 11, 12, 59","8, 14, 11, 14, 47",14,22,11,12,59,8,14,11,14,47,3-7,2-8,12/18/16,Win,150,No Location Recorded,2 p.m.,A,5,09:45,"SUB OUT by VANCE,DAY",,,,,,,"SUB OUT by VANCE,DAY",1,subbing out,,Centre,day vance,,585
6,10,methodist,Centre,Methodist,59-47,59,47,"14, 22, 11, 12, 59","8, 14, 11, 14, 47",14,22,11,12,59,8,14,11,14,47,3-7,2-8,12/18/16,Win,150,No Location Recorded,2 p.m.,A,6,09:16,"MISS JUMPER by ANDREASSEN,CAROLINE",,,,,,,"MISS JUMPER by ANDREASSEN,CAROLINE",1,jumper,missed,Centre,caroline andreassen,,556
7,10,methodist,Centre,Methodist,59-47,59,47,"14, 22, 11, 12, 59","8, 14, 11, 14, 47",14,22,11,12,59,8,14,11,14,47,3-7,2-8,12/18/16,Win,150,No Location Recorded,2 p.m.,A,7,09:16,,,,,"BLOCK  by BRYAN,SYDNEY",,,"BLOCK  by BRYAN,SYDNEY",1,block,,methodist,sydney bryan,,556
8,10,methodist,Centre,Methodist,59-47,59,47,"14, 22, 11, 12, 59","8, 14, 11, 14, 47",14,22,11,12,59,8,14,11,14,47,3-7,2-8,12/18/16,Win,150,No Location Recorded,2 p.m.,A,8,--,,,,,"REBOUND DEF by BRYAN,SYDNEY",,,"REBOUND DEF by BRYAN,SYDNEY",1,defensive rebound,,methodist,sydney bryan,,
9,10,methodist,Centre,Methodist,59-47,59,47,"14, 22, 11, 12, 59","8, 14, 11, 14, 47",14,22,11,12,59,8,14,11,14,47,3-7,2-8,12/18/16,Win,150,No Location Recorded,2 p.m.,A,9,08:53,,,,,"MISS JUMPER by SANDERS,CHRISTIAN",,,"MISS JUMPER by SANDERS,CHRISTIAN",1,jumper,missed,methodist,christian sanders,,533
