,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BU-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,1,09:50,,0,,2 (+2),"GOOD LAYUP by BEINING,RACHEL(in the paint)",BU-W 0-2 (-2),,"GOOD LAYUP by BEINING,RACHEL(in the paint)",1,layup,good,bluffton university,rachel beining,2,590
2,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,2,--,,,,,"ASSIST  by SHEERER,MACEY",,,"ASSIST  by SHEERER,MACEY",1,assist,,bluffton university,macey sheerer,,
3,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,3,09:23,"FOUL  by SCHAD,OLIVIA",,,,,,,"FOUL  by SCHAD,OLIVIA",1,foul,,Centre,olivia schad,,563
4,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,4,09:23,"TURNOVER  by SCHAD,OLIVIA",,,,,,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,563
5,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,5,09:03,,0,,4 (+4),"GOOD JUMPER by O'DONNELL,ABIGAIL",BU-W 0-4 (-4),,"GOOD JUMPER by O'DONNELL,ABIGAIL",1,jumper,good,bluffton university,abigail o'donnell,2,543
6,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,6,--,,,,,"ASSIST  by BEINING,RACHEL",,,"ASSIST  by BEINING,RACHEL",1,assist,,bluffton university,rachel beining,,
7,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,7,08:42,"MISS LAYUP by SCHAD,OLIVIA",,,,,,,"MISS LAYUP by SCHAD,OLIVIA",1,layup,missed,Centre,olivia schad,,522
8,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,8,--,,,,,"REBOUND DEF by BEINING,RACHEL",,,"REBOUND DEF by BEINING,RACHEL",1,defensive rebound,,bluffton university,rachel beining,,
9,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,9,08:25,,,,,"MISS JUMPER by ROWE,KAYCEE",,,"MISS JUMPER by ROWE,KAYCEE",1,jumper,missed,bluffton university,kaycee rowe,,505
10,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,10,--,,,,,"REBOUND OFF by SHEERER,MACEY",,,"REBOUND OFF by SHEERER,MACEY",1,offensive rebound,,bluffton university,macey sheerer,,
11,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,11,08:19,,,,,"MISS LAYUP by SHEERER,MACEY",,,"MISS LAYUP by SHEERER,MACEY",1,layup,missed,bluffton university,macey sheerer,,499
12,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,12,--,"REBOUND DEF by VANCE,DAY",,,,,,,"REBOUND DEF by VANCE,DAY",1,defensive rebound,,Centre,day vance,,
13,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,13,08:15,"SUB IN by KELLAM,PAIGE",,,,,,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,495
14,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,14,08:15,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,495
15,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,15,08:04,"GOOD JUMPER by KELLAM,PAIGE(in the paint)",2,,4 (+2),,CENTRE-W 2-4 (-2),,"GOOD JUMPER by KELLAM,PAIGE(in the paint)",1,jumper,good,Centre,paige kellam,2,484
16,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,16,07:46,,,,,"MISS JUMPER by SHEERER,MACEY",,,"MISS JUMPER by SHEERER,MACEY",1,jumper,missed,bluffton university,macey sheerer,,466
17,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,17,--,"REBOUND DEF by ANDREASSEN,CAROLINE",,,,,,,"REBOUND DEF by ANDREASSEN,CAROLINE",1,defensive rebound,,Centre,caroline andreassen,,
18,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,18,07:37,"TURNOVER  by ANDREASSEN,CAROLINE",,,,,,,"TURNOVER  by ANDREASSEN,CAROLINE",1,turnover,,Centre,caroline andreassen,,457
19,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,19,07:31,,2,,6 (+4),"GOOD LAYUP by BEINING,RACHEL(fastbreak)(in the paint)",BU-W 2-6 (-4),,"GOOD LAYUP by BEINING,RACHEL(fastbreak)(in the paint)",1,layup,good,bluffton university,rachel(fastbreak) beining,2,451
20,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,20,--,,,,,"ASSIST  by MILLS,TJ",,,"ASSIST  by MILLS,TJ",1,assist,,bluffton university,tj mills,,
21,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,21,07:15,"MISS LAYUP by ANDREASSEN,CAROLINE",,,,,,,"MISS LAYUP by ANDREASSEN,CAROLINE",1,layup,missed,Centre,caroline andreassen,,435
22,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,22,07:15,,,,,"BLOCK  by BEINING,RACHEL",,,"BLOCK  by BEINING,RACHEL",1,block,,bluffton university,rachel beining,,435
23,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,23,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
24,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,24,07:06,"TURNOVER  by MILLER,LAKKEN",,,,,,,"TURNOVER  by MILLER,LAKKEN",1,turnover,,Centre,lakken miller,,426
25,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,25,07:06,"SUB IN by SCHAD,OLIVIA",,,,,,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,426
26,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,26,07:06,"SUB OUT by MILLER,LAKKEN",,,,,,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,426
27,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,27,06:35,,,,,"TURNOVER  by ROWE,KAYCEE",,,"TURNOVER  by ROWE,KAYCEE",1,turnover,,bluffton university,kaycee rowe,,395
28,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,28,06:35,"STEAL  by ANDREASSEN,CAROLINE",,,,,,,"STEAL  by ANDREASSEN,CAROLINE",1,steal,,Centre,,,395
29,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,29,06:13,"MISS JUMPER by VANCE,DAY",,,,,,,"MISS JUMPER by VANCE,DAY",1,jumper,missed,Centre,day vance,,373
30,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,30,--,"REBOUND OFF by SCHAD,OLIVIA",,,,,,,"REBOUND OFF by SCHAD,OLIVIA",1,offensive rebound,,Centre,olivia schad,,
31,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,31,06:07,"MISS LAYUP by KELLAM,PAIGE",,,,,,,"MISS LAYUP by KELLAM,PAIGE",1,layup,missed,Centre,paige kellam,,367
