,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,1,09:39,,,,,"MISS 3PTR by MILLER,LAKKEN",,,"MISS 3PTR by MILLER,LAKKEN",1,three pointer,missed,Centre,lakken miller,,579
2,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,2,--,"REBOUND DEF by SMITH,BLAIRE",,,,,,,"REBOUND DEF by SMITH,BLAIRE",1,defensive rebound,,rhodes,blaire smith,,
3,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,3,09:24,"GOOD JUMPER by YOUNG,ALLIE",2 (+2),,0,,RHO 2-0 (-2),,"GOOD JUMPER by YOUNG,ALLIE",1,jumper,good,rhodes,allie young,2,564
4,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,4,09:04,,,,,"MISS JUMPER by VANCE,DAY",,,"MISS JUMPER by VANCE,DAY",1,jumper,missed,Centre,day vance,,544
5,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,5,--,,,,,"REBOUND OFF by STEWART,ABIGAIL",,,"REBOUND OFF by STEWART,ABIGAIL",1,offensive rebound,,Centre,abigail stewart,,
6,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,6,08:56,,,,,"MISS LAYUP by STEWART,ABIGAIL",,,"MISS LAYUP by STEWART,ABIGAIL",1,layup,missed,Centre,abigail stewart,,536
7,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,7,--,"REBOUND DEF by KRAMER,BAILEY",,,,,,,"REBOUND DEF by KRAMER,BAILEY",1,defensive rebound,,rhodes,bailey kramer,,
8,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,8,08:36,"TURNOVER  by KRAMER,BAILEY",,,,,,,"TURNOVER  by KRAMER,BAILEY",1,turnover,,rhodes,bailey kramer,,516
9,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,9,08:36,,2,,2,"GOOD LAYUP by ANDREASSEN,CAROLINE(in the paint)",CENTRE-W 2-2 (0),,"GOOD LAYUP by ANDREASSEN,CAROLINE(in the paint)",1,layup,good,Centre,caroline andreassen,2,516
10,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,10,--,,,,,"ASSIST  by STEWART,ABIGAIL",,,"ASSIST  by STEWART,ABIGAIL",1,assist,,Centre,abigail stewart,,
11,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,11,08:36,"MISS 3PTR by KRAMER,BAILEY",,,,,,,"MISS 3PTR by KRAMER,BAILEY",1,three pointer,missed,rhodes,bailey kramer,,516
12,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,12,--,,,,,"REBOUND DEF by SCHAD,OLIVIA",,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
13,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,13,08:35,,,,,"TURNOVER  by SCHAD,OLIVIA",,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,515
14,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,14,08:29,"GOOD JUMPER by DEERY,ERIN",4 (+2),,2,,RHO 4-2 (-2),,"GOOD JUMPER by DEERY,ERIN",1,jumper,good,rhodes,erin deery,2,509
15,15,rhodes,Rhodes,Centre,43-37,43,37,"14, 6, 11, 12, 43","12, 11, 5, 9, 37",14,6,11,12,43,12,11,5,9,37,"4-11, 2-2 SAA","1-14, 0-4 SAA",01/13/17,Win,451,No Location Recorded,6:00 PM,H,15,08:29,,,,,"MISS JUMPER by VANCE,DAY",,,"MISS JUMPER by VANCE,DAY",1,jumper,missed,Centre,day vance,,509
