,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,16BSC-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,1,09:39,"MISS LAYUP by PEURSEM,LAURA VAN",,,,,,,"MISS LAYUP by PEURSEM,LAURA VAN",1,layup,missed,birmingham-southern,laura van peursem,,579
2,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,2,--,"REBOUND OFF by PEURSEM,LAURA VAN",,,,,,,"REBOUND OFF by PEURSEM,LAURA VAN",1,offensive rebound,,birmingham-southern,laura van peursem,,
3,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,3,09:36,"GOOD LAYUP by PEURSEM,LAURA VAN(in the paint)",2 (+2),,0,,16BSC-W 2-0 (-2),,"GOOD LAYUP by PEURSEM,LAURA VAN(in the paint)",1,layup,good,birmingham-southern,laura van peursem,2,576
4,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,4,09:16,,,,,"MISS JUMPER by STEWART,ABIGAIL",,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,556
5,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,5,--,,,,,"REBOUND OFF by STEWART,ABIGAIL",,,"REBOUND OFF by STEWART,ABIGAIL",1,offensive rebound,,Centre,abigail stewart,,
6,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,6,09:13,,,,,"MISS JUMPER by STEWART,ABIGAIL",,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,553
7,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,7,--,"REBOUND DEF by OLSEN,EMILEE",,,,,,,"REBOUND DEF by OLSEN,EMILEE",1,defensive rebound,,birmingham-southern,emilee olsen,,
8,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,8,09:02,"TURNOVER  by PEURSEM,LAURA VAN",,,,,,,"TURNOVER  by PEURSEM,LAURA VAN",1,turnover,,birmingham-southern,laura van peursem,,542
9,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,9,09:01,,,,,"STEAL  by SCHAD,OLIVIA",,,"STEAL  by SCHAD,OLIVIA",1,steal,,Centre,,,541
