,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,1,09:36,,0,,3 (+3),"GOOD 3PTR by SCHAD,OLIVIA",CENTRE-W 0-3 (+3),,"GOOD 3PTR by SCHAD,OLIVIA",1,three pointer,good,Centre,olivia schad,3,576
2,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,2,--,,,,,"ASSIST  by MILLER,LAKKEN",,,"ASSIST  by MILLER,LAKKEN",1,assist,,Centre,lakken miller,,
3,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,3,09:15,"GOOD LAYUP by KLUNK,KIM(in the paint)",2,,3 (+1),,MILLSAPS 2-3 (+1),,"GOOD LAYUP by KLUNK,KIM(in the paint)",1,layup,good,millsaps,kim klunk,2,555
4,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,4,08:54,,,,,"TURNOVER  by VANCE,DAY",,,"TURNOVER  by VANCE,DAY",1,turnover,,Centre,day vance,,534
5,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,5,08:53,"STEAL  by GUILBEAU,CAROLINE",,,,,,,"STEAL  by GUILBEAU,CAROLINE",1,steal,,millsaps,,,533
6,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,6,08:47,"MISS JUMPER by THOMAS,BRAXTON",,,,,,,"MISS JUMPER by THOMAS,BRAXTON",1,jumper,missed,millsaps,braxton thomas,,527
7,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,7,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
8,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,8,08:40,,,,,"SUB IN by KELLAM,PAIGE",,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,520
9,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,9,08:40,,,,,"SUB OUT by SCHAD,OLIVIA",,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,520
10,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,10,08:13,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1,turnover,,Centre,,,493
11,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,11,08:13,"MISS LAYUP by CONNOR,KATIE",,,,,,,"MISS LAYUP by CONNOR,KATIE",1,layup,missed,millsaps,katie connor,,493
12,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,12,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
13,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,13,08:13,,,,,"TURNOVER  by VANCE,DAY",,,"TURNOVER  by VANCE,DAY",1,turnover,,Centre,day vance,,493
14,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,14,08:13,"STEAL  by FREEMAN,KALA-JEWEL",,,,,,,"STEAL  by FREEMAN,KALA-JEWEL",1,steal,,millsaps,,,493
15,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,15,08:13,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,493
16,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,16,08:13,,,,,"SUB IN by BALLARD,AMI",,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,493
17,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,17,08:13,,,,,"SUB OUT by VANCE,DAY",,,"SUB OUT by VANCE,DAY",1,subbing out,,Centre,day vance,,493
18,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,18,08:13,,,,,"SUB OUT by MILLER,LAKKEN",,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,493
19,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,19,07:53,"TURNOVER  by CONNOR,KATIE",,,,,,,"TURNOVER  by CONNOR,KATIE",1,turnover,,millsaps,katie connor,,473
20,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,20,07:34,"FOUL  by KLUNK,KIM",,,,,,,"FOUL  by KLUNK,KIM",1,foul,,millsaps,kim klunk,,454
21,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,21,07:34,"SUB IN by NEWELL,AMBER",,,,,,,"SUB IN by NEWELL,AMBER",1,subbing in,,millsaps,amber newell,,454
22,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,22,07:34,"SUB OUT by KLUNK,KIM",,,,,,,"SUB OUT by KLUNK,KIM",1,subbing out,,millsaps,kim klunk,,454
23,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,23,07:30,,,,,"MISS 3PTR by BALLARD,AMI",,,"MISS 3PTR by BALLARD,AMI",1,three pointer,missed,Centre,ami ballard,,450
24,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,24,--,,,,,"REBOUND OFF by KELLAM,PAIGE",,,"REBOUND OFF by KELLAM,PAIGE",1,offensive rebound,,Centre,paige kellam,,
25,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,25,07:14,,2,,5 (+3),"GOOD JUMPER by STEWART,ABIGAIL",CENTRE-W 2-5 (+3),,"GOOD JUMPER by STEWART,ABIGAIL",1,jumper,good,Centre,abigail stewart,2,434
26,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,26,--,,,,,"ASSIST  by KELLAM,PAIGE",,,"ASSIST  by KELLAM,PAIGE",1,assist,,Centre,paige kellam,,
27,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,27,07:00,"MISS LAYUP by FREEMAN,KALA-JEWEL",,,,,,,"MISS LAYUP by FREEMAN,KALA-JEWEL",1,layup,missed,millsaps,kala-jewel freeman,,420
28,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,28,--,"REBOUND OFF by NEWELL,AMBER",,,,,,,"REBOUND OFF by NEWELL,AMBER",1,offensive rebound,,millsaps,amber newell,,
29,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,29,06:56,"TURNOVER  by NEWELL,AMBER",,,,,,,"TURNOVER  by NEWELL,AMBER",1,turnover,,millsaps,amber newell,,416
30,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,30,06:39,,,,,"MISS 3PTR by BALLARD,AMI",,,"MISS 3PTR by BALLARD,AMI",1,three pointer,missed,Centre,ami ballard,,399
31,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,31,--,,,,,"REBOUND OFF by BUNNER,CHEYENNE",,,"REBOUND OFF by BUNNER,CHEYENNE",1,offensive rebound,,Centre,cheyenne bunner,,
32,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,32,06:38,"FOUL  by THOMAS,BRAXTON",,,,,,,"FOUL  by THOMAS,BRAXTON",1,foul,,millsaps,braxton thomas,,398
33,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,33,06:27,,2,,7 (+5),"GOOD JUMPER by STEWART,ABIGAIL(in the paint)",CENTRE-W 2-7 (+5),,"GOOD JUMPER by STEWART,ABIGAIL(in the paint)",1,jumper,good,Centre,abigail stewart,2,387
34,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,34,--,,,,,"ASSIST  by KELLAM,PAIGE",,,"ASSIST  by KELLAM,PAIGE",1,assist,,Centre,paige kellam,,
35,20,millsaps,Millsaps,Centre,56-52,56,52,"13, 13, 15, 15, 56","5, 17, 11, 19, 52",13,13,15,15,56,5,17,11,19,52,"6-14, 4-5 SAA","13-7, 6-3 SAA",01/29/17,Win,475,No Location Recorded,12:00 PM,H,35,05:55,"MISS JUMPER by CONNOR,KATIE",,,,,,,"MISS JUMPER by CONNOR,KATIE",1,jumper,missed,millsaps,katie connor,,355
