,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,1,09:40,"GOOD JUMPER by MILLER,LAKKEN",2 (+2),,0,,CENTRE 2-0 (+2),,"GOOD JUMPER by MILLER,LAKKEN",1,jumper,good,Centre,lakken miller,2,580
2,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,2,--,"ASSIST  by ANDREASSEN,CAROLINE",,,,,,,"ASSIST  by ANDREASSEN,CAROLINE",1,assist,,Centre,caroline andreassen,,
3,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,3,09:24,,2,,2,"GOOD LAYUP by TAYLOR,BELLA(in the paint)",SEWANEE 2-2 (0),,"GOOD LAYUP by TAYLOR,BELLA(in the paint)",1,layup,good,sewanee,bella taylor,2,564
4,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,4,09:02,"GOOD 3PTR by MILLER,LAKKEN",5 (+3),,2,,CENTRE 5-2 (+3),,"GOOD 3PTR by MILLER,LAKKEN",1,three pointer,good,Centre,lakken miller,3,542
5,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,5,08:33,"FOUL  by SCHAD,OLIVIA",,,,,,,"FOUL  by SCHAD,OLIVIA",1,foul,,Centre,olivia schad,,513
6,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,6,08:33,,,,,"SUB IN by TAYLOR,BELLA",,,"SUB IN by TAYLOR,BELLA",1,subbing in,,sewanee,bella taylor,,513
7,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,7,08:33,,,,,"SUB OUT by KIM,SUE",,,"SUB OUT by KIM,SUE",1,subbing out,,sewanee,sue kim,,513
8,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,8,08:30,,,,,"MISS JUMPER by MCCORMACK,HANNAH",,,"MISS JUMPER by MCCORMACK,HANNAH",1,jumper,missed,sewanee,hannah mccormack,,510
9,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,9,--,,,,,"REBOUND OFF by ROSE,SAVANNAH",,,"REBOUND OFF by ROSE,SAVANNAH",1,offensive rebound,,sewanee,savannah rose,,
10,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,10,08:13,,,,,"MISS 3PTR by ROSE,SAVANNAH",,,"MISS 3PTR by ROSE,SAVANNAH",1,three pointer,missed,sewanee,savannah rose,,493
11,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,11,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
12,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,12,08:05,"GOOD 3PTR by MILLER,LAKKEN",8 (+6),,2,,CENTRE 8-2 (+6),,"GOOD 3PTR by MILLER,LAKKEN",1,three pointer,good,Centre,lakken miller,3,485
13,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,13,--,"ASSIST  by SCHAD,OLIVIA",,,,,,,"ASSIST  by SCHAD,OLIVIA",1,assist,,Centre,olivia schad,,
14,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,14,07:47,"FOUL  by VANCE,DAY",,,,,,,"FOUL  by VANCE,DAY",1,foul,,Centre,day vance,,467
15,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,15,07:47,,8 (+5),,3,"GOOD FT by CAULDER,COREY",SEWANEE 8-3 (+5),,"GOOD FT by CAULDER,COREY",1,free throw,good,sewanee,corey caulder,1,467
16,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,16,07:47,,8 (+4),,4,"GOOD FT by CAULDER,COREY",SEWANEE 8-4 (+4),,"GOOD FT by CAULDER,COREY",1,free throw,good,sewanee,corey caulder,1,467
17,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,17,07:47,"SUB IN by MOORE,LAUREN",,,,,,,"SUB IN by MOORE,LAUREN",1,subbing in,,Centre,lauren moore,,467
18,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,18,07:47,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,467
19,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,19,07:47,"SUB OUT by VANCE,DAY",,,,,,,"SUB OUT by VANCE,DAY",1,subbing out,,Centre,day vance,,467
20,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,20,07:47,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,467
21,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,21,07:32,"GOOD JUMPER by BUNNER,CHEYENNE",10 (+6),,4,,CENTRE 10-4 (+6),,"GOOD JUMPER by BUNNER,CHEYENNE",1,jumper,good,Centre,cheyenne bunner,2,452
