,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,1,09:31,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,571
2,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,2,--,"REBOUND DEF by DIRKSE,CLARA",,,,,,,"REBOUND DEF by DIRKSE,CLARA",1,defensive rebound,,covenant,clara dirkse,,
3,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,3,09:18,"GOOD JUMPER by PRICE,RACHEL",2 (+2),,0,,CCW 2-0 (-2),,"GOOD JUMPER by PRICE,RACHEL",1,jumper,good,covenant,rachel price,2,558
4,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,4,--,"ASSIST  by HALLMARK,KALEY",,,,,,,"ASSIST  by HALLMARK,KALEY",1,assist,,covenant,kaley hallmark,,
5,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,5,08:47,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,527
6,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,6,--,"REBOUND DEF by GRIMES,EMMA",,,,,,,"REBOUND DEF by GRIMES,EMMA",1,defensive rebound,,covenant,emma grimes,,
7,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,7,08:35,"MISS 3PTR by GRIMES,EMMA",,,,,,,"MISS 3PTR by GRIMES,EMMA",1,three pointer,missed,covenant,emma grimes,,515
8,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,8,--,,,,,"REBOUND DEF by MILLER,LAKKEN",,,"REBOUND DEF by MILLER,LAKKEN",1,defensive rebound,,Centre,lakken miller,,
9,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,9,08:09,"FOUL  by SMITH,JOANNA",,,,,,,"FOUL  by SMITH,JOANNA",1,foul,,covenant,joanna smith,,489
10,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,10,08:09,,,,,"MISS FT by MILLER,LAKKEN",,,"MISS FT by MILLER,LAKKEN",1,free throw,missed,Centre,lakken miller,,489
11,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,11,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
12,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,12,08:09,,2 (+1),,1,"GOOD FT by MILLER,LAKKEN",CENTRE-W 2-1 (-1),,"GOOD FT by MILLER,LAKKEN",1,free throw,good,Centre,lakken miller,1,489
